index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	25	-140.60926818847656	48	12	-27.93722152709961	0
1	52	32	-163.6525421142578	52	12	-28.953365325927734	0
2	52	31	-171.843505859375	52	12	-26.487857818603516	0
3	65	34	-206.29026794433594	65	16	-37.637943267822266	0
4	37	20	-123.99187469482422	37	11	-24.102802276611328	0
5	46	24	-147.97755432128906	46	13	-31.41360092163086	0
6	62	36	-196.71104431152344	62	16	-39.41438293457031	0
7	35	23	-120.37667083740234	35	14	-23.923954010009766	0
8	46	25	-162.6747589111328	46	12	-33.841861724853516	0
9	63	31	-199.68048095703125	63	13	-32.02788543701172	0
10	93	55	-282.2359619140625	93	21	-52.94271469116211	0
11	60	36	-203.36758422851562	60	14	-38.37535858154297	0
12	53	26	-172.80935668945312	53	14	-32.106292724609375	0
13	49	31	-163.3039093017578	49	14	-36.10759735107422	0
14	64	39	-210.41835021972656	64	11	-29.38847541809082	0
15	44	23	-151.58209228515625	44	11	-31.455020904541016	0
16	90	47	-273.0709228515625	90	20	-53.77836227416992	0
17	69	38	-232.32228088378906	69	19	-42.806087493896484	0
18	70	39	-228.52511596679688	70	16	-40.61770248413086	0
19	83	43	-252.00912475585938	83	20	-35.57762908935547	0
20	65	35	-204.7446746826172	65	15	-35.572120666503906	0
21	70	41	-227.9893035888672	70	14	-29.387317657470703	0
22	65	40	-217.43850708007812	65	13	-34.81201934814453	0
23	74	37	-229.71331787109375	74	21	-45.26503372192383	0
24	69	39	-222.26239013671875	69	16	-42.615394592285156	0
25	66	41	-207.86880493164062	66	13	-29.896778106689453	0
26	133	76	-430.7501220703125	133	34	-75.66192626953125	0
27	50	28	-166.2104949951172	50	10	-36.58509826660156	0
28	124	65	-383.0555725097656	124	26	-57.69941329956055	0
29	205	107	-623.8385620117188	205	39	-114.3672103881836	0
30	104	57	-342.072265625	104	21	-56.213897705078125	0
31	124	59	-384.4554748535156	124	22	-52.600440979003906	0
32	91	48	-263.4158020019531	91	22	-51.83712387084961	0
33	82	42	-243.68359375	82	18	-54.44925308227539	0
34	140	76	-399.5340270996094	140	30	-81.36456298828125	0
35	70	43	-226.93954467773438	70	18	-54.637413024902344	0
36	83	46	-273.0612487792969	83	18	-45.597023010253906	0
37	148	78	-478.287109375	148	35	-84.19001007080078	0
38	91	52	-284.5523986816406	91	23	-50.3885383605957	0
39	56	29	-177.27525329589844	56	16	-36.98693084716797	0
40	146	77	-426.05780029296875	146	33	-81.09586334228516	0
41	162	84	-481.9810791015625	162	32	-90.02587890625	0
42	72	41	-206.08677673339844	72	20	-47.17103958129883	0
43	137	69	-424.7349853515625	137	28	-69.82656860351562	0
