index	prompt	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0		48	22	-140.60926818847656	48	11	-27.93722152709961	1
1		52	26	-163.6525421142578	52	11	-28.953365325927734	1
2		52	25	-171.843505859375	52	11	-26.487857818603516	1
3		65	31	-206.29026794433594	65	15	-37.637943267822266	1
4		37	18	-123.99187469482422	37	10	-24.102802276611328	1
5		46	21	-147.97755432128906	46	11	-31.41360092163086	1
6		62	29	-196.71104431152344	62	15	-39.41438293457031	1
7		35	19	-120.37667083740234	35	12	-23.923954010009766	1
8		46	22	-162.6747589111328	46	10	-33.841861724853516	1
9		63	27	-199.68048095703125	63	12	-32.02788543701172	1
10		93	42	-282.2359619140625	93	19	-52.94271469116211	1
11		60	30	-203.36758422851562	60	12	-38.37535858154297	1
12		53	24	-172.80935668945312	53	13	-32.106292724609375	1
13		49	23	-163.3039093017578	49	12	-36.10759735107422	1
14		64	35	-210.41835021972656	64	11	-29.38847541809082	0
15		44	21	-151.58209228515625	44	10	-31.455020904541016	1
16		90	37	-273.0709228515625	90	18	-53.77836227416992	1
17		69	34	-232.32228088378906	69	16	-42.806087493896484	0
18		70	31	-228.52511596679688	70	15	-40.61770248413086	0
19		83	35	-252.00912475585938	83	16	-35.57762908935547	1
20		65	30	-204.7446746826172	65	13	-35.572120666503906	1
21		70	33	-227.9893035888672	70	11	-29.387317657470703	1
22		65	37	-217.43850708007812	65	12	-34.81201934814453	0
23		74	34	-229.71331787109375	74	17	-45.26503372192383	0
24		69	33	-222.26239013671875	69	13	-42.615394592285156	1
25		66	34	-207.86880493164062	66	12	-29.896778106689453	1
26		133	66	-430.7501220703125	133	27	-75.66192626953125	0
27		50	25	-166.2104949951172	50	9	-36.58509826660156	0
28		124	55	-383.0555725097656	124	21	-57.69941329956055	0
29		205	95	-623.8385620117188	205	36	-114.3672103881836	1
30		104	48	-342.072265625	104	19	-56.213897705078125	1
31		124	56	-384.4554748535156	124	21	-52.600440979003906	1
32		91	40	-263.4158020019531	91	21	-51.83712387084961	1
33		82	38	-243.68359375	82	17	-54.44925308227539	1
34		140	66	-399.5340270996094	140	27	-81.36456298828125	0
35		70	36	-226.93954467773438	70	16	-54.637413024902344	1
36		83	40	-273.0612487792969	83	18	-45.597023010253906	0
37		148	71	-478.287109375	148	27	-84.19001007080078	0
38		91	45	-284.5523986816406	91	20	-50.3885383605957	1
39		56	25	-177.27525329589844	56	14	-36.98693084716797	1
40		146	69	-426.05780029296875	146	31	-81.09586334228516	1
41		162	74	-481.9810791015625	162	28	-90.02587890625	0
42		72	34	-206.08677673339844	72	17	-47.17103958129883	1
43		137	63	-424.7349853515625	137	26	-69.82656860351562	1
44		29	17	-109.52323913574219	29	8	-44.1298828125	0
45		97	47	-282.4424133300781	97	24	-49.25296401977539	1
46		93	48	-299.77374267578125	93	18	-52.16108703613281	1
47		82	36	-262.5921325683594	82	17	-44.25444793701172	1
48		114	53	-341.84576416015625	114	17	-61.24848175048828	0
49		63	32	-185.0388641357422	63	13	-50.787513732910156	1
50		135	64	-410.6871032714844	135	26	-86.52629089355469	0
51		77	35	-243.626220703125	77	15	-54.41032409667969	0
52		140	64	-428.3730163574219	140	26	-66.41773986816406	1
53		57	25	-172.66238403320312	57	12	-34.22383499145508	1
54		123	59	-379.0599365234375	123	21	-85.32579040527344	1
55		85	39	-255.73135375976562	85	17	-50.14432144165039	0
56		151	68	-445.0868225097656	151	31	-92.17733764648438	0
57		141	60	-380.3782043457031	141	26	-83.23876953125	0
58		112	57	-334.5094299316406	112	32	-60.456268310546875	1
59		138	66	-385.4324951171875	138	29	-80.72598266601562	1
60		70	31	-224.07330322265625	70	13	-35.653202056884766	0
61		60	28	-200.88563537597656	60	10	-37.39452362060547	0
62		87	44	-268.4716491699219	87	19	-52.46434783935547	0
63		155	75	-493.432861328125	155	31	-67.22700500488281	0
64		111	48	-285.4029846191406	111	27	-88.43778228759766	0
65		118	55	-353.8905334472656	118	23	-80.39952850341797	1
66		49	23	-157.02804565429688	49	10	-37.599117279052734	0
67		90	43	-271.04486083984375	90	20	-60.950889587402344	1
