index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	21	-140.60926818847656	48	11	-27.93722152709961	0
1	52	24	-163.6525421142578	52	11	-28.953365325927734	0
2	52	24	-171.843505859375	52	11	-26.487857818603516	0
3	65	30	-206.29026794433594	65	15	-37.637943267822266	0
4	37	21	-123.99187469482422	37	10	-24.102802276611328	0
5	46	24	-147.97755432128906	46	12	-31.41360092163086	0
6	62	31	-196.71104431152344	62	15	-39.41438293457031	0
7	35	18	-120.37667083740234	35	13	-23.923954010009766	0
8	46	21	-162.6747589111328	46	10	-33.841861724853516	0
9	63	29	-199.68048095703125	63	12	-32.02788543701172	0
10	93	46	-282.2359619140625	93	19	-52.94271469116211	0
11	60	32	-203.36758422851562	60	12	-38.37535858154297	0
12	53	24	-172.80935668945312	53	13	-32.106292724609375	0
13	49	26	-163.3039093017578	49	12	-36.10759735107422	0
14	64	33	-210.41835021972656	64	10	-29.38847541809082	0
15	44	21	-151.58209228515625	44	10	-31.455020904541016	0
16	90	40	-273.0709228515625	90	18	-53.77836227416992	0
17	69	32	-232.32228088378906	69	17	-42.806087493896484	0
18	70	32	-228.52511596679688	70	15	-40.61770248413086	0
19	83	34	-252.00912475585938	83	16	-35.57762908935547	0
20	65	31	-204.7446746826172	65	13	-35.572120666503906	0
21	70	32	-227.9893035888672	70	11	-29.387317657470703	0
22	65	32	-217.43850708007812	65	12	-34.81201934814453	0
23	74	35	-229.71331787109375	74	17	-45.26503372192383	0
24	69	29	-222.26239013671875	69	14	-42.615394592285156	0
25	66	30	-207.86880493164062	66	12	-29.896778106689453	0
26	133	60	-430.7501220703125	133	30	-75.66192626953125	0
27	50	22	-166.2104949951172	50	9	-36.58509826660156	0
28	124	57	-383.0555725097656	124	21	-57.69941329956055	0
29	205	87	-623.8385620117188	205	36	-114.3672103881836	0
30	104	45	-342.072265625	104	18	-56.213897705078125	0
31	124	52	-384.4554748535156	124	21	-52.600440979003906	0
32	91	44	-263.4158020019531	91	21	-51.83712387084961	0
33	82	39	-243.68359375	82	17	-54.44925308227539	0
34	140	65	-399.5340270996094	140	27	-81.36456298828125	0
35	70	35	-226.93954467773438	70	17	-54.637413024902344	0
36	83	40	-273.0612487792969	83	16	-45.597023010253906	0
37	148	66	-478.287109375	148	28	-84.19001007080078	0
38	91	46	-284.5523986816406	91	22	-50.3885383605957	0
39	56	26	-177.27525329589844	56	15	-36.98693084716797	0
40	146	68	-426.05780029296875	146	31	-81.09586334228516	0
41	162	76	-481.9810791015625	162	28	-90.02587890625	0
42	72	35	-206.08677673339844	72	19	-47.17103958129883	0
43	137	59	-424.7349853515625	137	25	-69.82656860351562	0
44	29	15	-109.52323913574219	29	9	-44.1298828125	0
45	97	48	-282.4424133300781	97	24	-49.25296401977539	0
46	93	45	-299.77374267578125	93	18	-52.16108703613281	0
47	82	36	-262.5921325683594	82	17	-44.25444793701172	0
48	114	52	-341.84576416015625	114	17	-61.24848175048828	0
49	63	28	-185.0388641357422	63	13	-50.787513732910156	0
50	135	62	-410.6871032714844	135	26	-86.52629089355469	0
51	77	32	-243.626220703125	77	15	-54.41032409667969	0
52	140	64	-428.3730163574219	140	26	-66.41773986816406	0
53	57	24	-172.66238403320312	57	12	-34.22383499145508	0
54	123	56	-379.0599365234375	123	21	-85.32579040527344	0
55	85	38	-255.73135375976562	85	17	-50.14432144165039	0
56	151	74	-445.0868225097656	151	31	-92.17733764648438	0
57	141	61	-380.3782043457031	141	25	-83.23876953125	0
58	112	59	-334.5094299316406	112	36	-60.456268310546875	0
59	138	61	-385.4324951171875	138	30	-80.72598266601562	0
60	70	31	-224.07330322265625	70	12	-35.653202056884766	0
61	60	27	-200.88563537597656	60	10	-37.39452362060547	0
62	87	42	-268.4716491699219	87	19	-52.46434783935547	0
63	155	68	-493.432861328125	155	28	-67.22700500488281	0
64	111	50	-285.4029846191406	111	27	-88.43778228759766	0
65	118	55	-353.8905334472656	118	23	-80.39952850341797	0
66	49	22	-157.02804565429688	49	10	-37.599117279052734	0
67	90	40	-271.04486083984375	90	20	-60.950889587402344	0
68	68	33	-226.1498565673828	68	16	-41.370140075683594	0
69	72	34	-224.24850463867188	72	15	-56.90277099609375	0
70	124	53	-367.7408752441406	124	26	-79.6325454711914	0
71	116	49	-351.0451354980469	116	21	-65.73139190673828	0
72	143	67	-452.1546630859375	143	25	-81.18196105957031	0
73	148	65	-433.47064208984375	148	30	-73.00980377197266	0
