index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	11	-27.93722152709961	48	20	-140.60926818847656	0
1	52	11	-28.953365325927734	52	23	-163.6525421142578	0
2	52	11	-26.487857818603516	52	23	-171.843505859375	0
3	65	15	-37.637943267822266	65	28	-206.29026794433594	0
4	37	10	-24.102802276611328	37	18	-123.99187469482422	0
5	46	12	-31.41360092163086	46	23	-147.97755432128906	0
6	62	15	-39.41438293457031	62	27	-196.71104431152344	0
7	35	13	-23.923954010009766	35	18	-120.37667083740234	0
8	46	10	-33.841861724853516	46	20	-162.6747589111328	0
9	63	12	-32.02788543701172	63	27	-199.68048095703125	0
10	93	19	-52.94271469116211	93	42	-282.2359619140625	0
11	60	12	-38.37535858154297	60	28	-203.36758422851562	0
12	53	13	-32.106292724609375	53	21	-172.80935668945312	0
13	49	12	-36.10759735107422	49	23	-163.3039093017578	0
14	64	10	-29.38847541809082	64	32	-210.41835021972656	0
15	44	10	-31.455020904541016	44	20	-151.58209228515625	0
16	90	18	-53.77836227416992	90	36	-273.0709228515625	0
17	69	17	-42.806087493896484	69	31	-232.32228088378906	0
18	70	15	-40.61770248413086	70	30	-228.52511596679688	0
19	83	16	-35.57762908935547	83	32	-252.00912475585938	0
20	65	13	-35.572120666503906	65	30	-204.7446746826172	0
21	70	11	-29.387317657470703	70	30	-227.9893035888672	0
22	65	12	-34.81201934814453	65	32	-217.43850708007812	0
23	74	17	-45.26503372192383	74	31	-229.71331787109375	0
24	69	14	-42.615394592285156	69	31	-222.26239013671875	0
25	66	12	-29.896778106689453	66	29	-207.86880493164062	0
26	133	30	-75.66192626953125	133	61	-430.7501220703125	0
27	50	9	-36.58509826660156	50	22	-166.2104949951172	0
28	124	21	-57.69941329956055	124	54	-383.0555725097656	0
29	205	36	-114.3672103881836	205	85	-623.8385620117188	0
30	104	17	-56.213897705078125	104	47	-342.072265625	0
31	124	21	-52.600440979003906	124	51	-384.4554748535156	0
32	91	21	-51.83712387084961	91	37	-263.4158020019531	0
33	82	17	-54.44925308227539	82	37	-243.68359375	0
34	140	27	-81.36456298828125	140	63	-399.5340270996094	0
35	70	17	-54.637413024902344	70	36	-226.93954467773438	0
36	83	16	-45.597023010253906	83	36	-273.0612487792969	0
37	148	28	-84.19001007080078	148	66	-478.287109375	0
38	91	22	-50.3885383605957	91	42	-284.5523986816406	0
39	56	15	-36.98693084716797	56	24	-177.27525329589844	0
40	146	31	-81.09586334228516	146	62	-426.05780029296875	0
41	162	28	-90.02587890625	162	74	-481.9810791015625	0
42	72	19	-47.17103958129883	72	36	-206.08677673339844	0
43	137	25	-69.82656860351562	137	57	-424.7349853515625	0
44	29	9	-44.1298828125	29	13	-109.52323913574219	0
45	97	24	-49.25296401977539	97	45	-282.4424133300781	0
46	93	18	-52.16108703613281	93	40	-299.77374267578125	0
47	82	17	-44.25444793701172	82	35	-262.5921325683594	0
48	114	17	-61.24848175048828	114	51	-341.84576416015625	0
49	63	12	-50.787513732910156	63	27	-185.0388641357422	0
50	135	26	-86.52629089355469	135	61	-410.6871032714844	0
51	77	15	-54.41032409667969	77	34	-243.626220703125	0
52	140	26	-66.41773986816406	140	61	-428.3730163574219	0
53	57	12	-34.22383499145508	57	22	-172.66238403320312	0
54	123	21	-85.32579040527344	123	53	-379.0599365234375	0
55	85	17	-50.14432144165039	85	35	-255.73135375976562	0
56	151	31	-92.17733764648438	151	64	-445.0868225097656	0
57	141	25	-83.23876953125	141	56	-380.3782043457031	0
58	112	36	-60.456268310546875	112	57	-334.5094299316406	0
59	138	30	-80.72598266601562	138	59	-385.4324951171875	0
60	70	12	-35.653202056884766	70	30	-224.07330322265625	0
61	60	10	-37.39452362060547	60	25	-200.88563537597656	0
62	87	19	-52.46434783935547	87	39	-268.4716491699219	0
63	155	29	-67.22700500488281	155	69	-493.432861328125	0
64	111	27	-88.43778228759766	111	42	-285.4029846191406	0
65	118	23	-80.39952850341797	118	51	-353.8905334472656	0
66	49	10	-37.599117279052734	49	21	-157.02804565429688	0
67	90	20	-60.950889587402344	90	39	-271.04486083984375	0
68	68	16	-41.370140075683594	68	31	-226.1498565673828	0
69	72	16	-56.90277099609375	72	31	-224.24850463867188	0
70	124	26	-79.6325454711914	124	50	-367.7408752441406	0
71	116	21	-65.73139190673828	116	53	-351.0451354980469	0
72	143	25	-81.18196105957031	143	61	-452.1546630859375	0
73	148	30	-73.00980377197266	148	59	-433.47064208984375	0
74	66	14	-37.51624298095703	66	29	-209.92449951171875	0
75	221	46	-117.86180114746094	221	95	-627.6616821289062	0
76	89	20	-56.938880920410156	89	39	-281.6177673339844	0
77	202	34	-138.35169982910156	202	92	-620.1790161132812	0
78	242	40	-122.52127075195312	242	115	-704.1738891601562	0
79	62	15	-50.67271041870117	62	27	-198.04124450683594	0
80	179	35	-89.49186706542969	179	74	-534.82373046875	0
81	108	20	-69.29358673095703	108	47	-332.3370056152344	0
82	83	21	-47.37077713012695	83	34	-223.19696044921875	0
83	101	20	-67.709716796875	101	41	-289.717529296875	0
84	76	14	-59.89448928833008	76	33	-239.978759765625	0
85	100	18	-63.276084899902344	100	45	-316.48394775390625	0
86	183	39	-113.96508026123047	183	74	-519.1609497070312	0
87	161	28	-99.6169662475586	161	67	-483.0204162597656	0
88	67	14	-42.1377067565918	67	29	-213.91233825683594	0
89	44	10	-36.54104995727539	44	19	-142.19284057617188	0
90	58	10	-36.95106887817383	58	25	-178.13400268554688	0
91	249	42	-113.09381866455078	249	107	-707.9033203125	0
92	138	26	-81.65805053710938	138	65	-443.46466064453125	0
93	154	27	-103.782470703125	154	67	-477.74676513671875	0
94	128	25	-46.309505462646484	128	52	-381.60333251953125	0
95	74	13	-55.2039680480957	74	31	-238.79171752929688	0
96	80	14	-46.31581497192383	80	35	-251.6475830078125	0
97	95	21	-81.11656188964844	95	46	-312.8843688964844	0
98	118	18	-65.86801147460938	118	55	-357.5229187011719	0
99	134	27	-84.08912658691406	134	62	-416.58074951171875	0
0	48	11	-50.79518127441406	48	22	-146.9497528076172	0
1	52	11	-44.44107437133789	52	23	-165.9361114501953	0
2	52	11	-42.101173400878906	52	25	-163.7982940673828	0
3	65	15	-63.09587860107422	65	28	-200.99351501464844	0
4	37	10	-39.92292785644531	37	18	-122.39498901367188	0
5	46	12	-51.946739196777344	46	23	-155.09214782714844	0
6	62	15	-51.437339782714844	62	27	-195.62710571289062	0
7	35	13	-35.79888916015625	35	17	-120.29542541503906	0
8	46	10	-65.35826873779297	46	22	-165.15223693847656	0
9	63	12	-69.75829315185547	63	28	-200.63909912109375	0
10	93	19	-82.00928497314453	93	39	-292.7210998535156	0
11	60	12	-67.68131256103516	60	28	-191.7830810546875	0
12	53	13	-49.774513244628906	53	22	-169.65272521972656	0
13	49	12	-49.6719970703125	49	20	-164.52227783203125	0
14	64	10	-50.27645492553711	64	29	-213.6966094970703	0
15	44	10	-51.65141296386719	44	19	-147.44232177734375	0
16	90	18	-109.70639038085938	90	38	-288.1502990722656	0
17	69	17	-55.8104133605957	69	33	-232.20233154296875	0
18	70	15	-70.21802520751953	70	33	-234.75384521484375	0
19	83	16	-45.05502700805664	83	34	-248.43148803710938	0
20	65	13	-55.69329071044922	65	31	-206.66989135742188	0
21	70	11	-50.64158630371094	70	31	-226.48574829101562	0
22	65	12	-66.71744537353516	65	31	-214.59072875976562	0
23	74	17	-58.634700775146484	74	30	-226.93446350097656	0
24	69	14	-62.501243591308594	69	29	-229.01161193847656	0
25	66	12	-73.40629577636719	66	29	-213.09609985351562	0
26	133	30	-83.10807800292969	133	62	-429.02655029296875	0
27	50	9	-51.61259841918945	50	21	-162.89964294433594	0
28	124	21	-85.34262084960938	124	55	-386.2166442871094	0
29	205	36	-165.1591796875	205	86	-611.6363525390625	0
30	104	17	-89.64090728759766	104	49	-322.8312683105469	0
31	124	21	-85.13056945800781	124	50	-388.38665771484375	0
32	91	21	-71.79545593261719	91	37	-261.85711669921875	0
33	82	17	-81.69886779785156	82	36	-247.9827423095703	0
34	140	27	-132.84454345703125	140	64	-425.42059326171875	0
35	70	17	-87.8216552734375	70	34	-214.24285888671875	0
36	83	16	-65.78739929199219	83	38	-271.7998352050781	0
37	148	28	-120.35548400878906	148	65	-485.32513427734375	0
38	91	22	-91.77582550048828	91	42	-297.2827453613281	0
39	56	15	-47.135372161865234	56	24	-178.07406616210938	0
40	146	31	-115.51676940917969	146	61	-430.28216552734375	0
41	162	28	-144.81146240234375	162	75	-480.4786376953125	0
42	72	19	-65.83251953125	72	36	-231.1224365234375	0
43	137	25	-117.00875854492188	137	55	-422.6782531738281	0
44	29	9	-56.14591598510742	29	13	-116.61206817626953	0
45	97	24	-61.676483154296875	97	45	-280.5705261230469	0
46	93	18	-74.10143280029297	93	41	-292.97906494140625	0
47	82	17	-65.21685791015625	82	36	-263.3499755859375	0
48	114	17	-110.3782730102539	114	53	-362.55072021484375	0
49	63	13	-67.47413635253906	63	26	-188.09974670410156	0
50	135	26	-127.38660430908203	135	59	-422.62396240234375	0
51	77	15	-74.06902313232422	77	34	-242.05337524414062	0
52	140	26	-103.23493194580078	140	64	-431.2535705566406	0
53	57	12	-61.4296989440918	57	28	-181.51226806640625	0
54	123	21	-112.32110595703125	123	53	-377.23382568359375	0
55	85	17	-75.02105712890625	85	39	-260.8598937988281	0
56	151	31	-130.64503479003906	151	66	-432.0793151855469	0
57	141	25	-136.26255798339844	141	63	-425.5033264160156	0
58	112	36	-80.31573486328125	112	58	-323.2555847167969	0
59	138	30	-110.83162689208984	138	61	-376.6837463378906	0
60	70	12	-56.19609069824219	70	28	-215.2921142578125	0
61	60	10	-64.80462646484375	60	26	-210.82284545898438	0
62	87	19	-75.00497436523438	87	37	-267.01129150390625	0
63	155	29	-91.46568298339844	155	70	-485.5616455078125	0
64	111	27	-105.79190063476562	111	43	-297.2470397949219	0
65	118	23	-114.54583740234375	118	47	-358.54144287109375	0
66	49	10	-48.43193817138672	49	20	-160.51043701171875	0
67	90	20	-77.8280029296875	90	40	-287.03912353515625	0
68	68	16	-54.97897720336914	68	29	-221.79501342773438	0
69	72	16	-74.79994201660156	72	32	-238.29965209960938	0
70	124	26	-99.04592895507812	124	52	-359.3602600097656	0
71	116	21	-113.03765869140625	116	51	-356.2295227050781	0
72	143	25	-120.24822998046875	143	61	-445.0350646972656	0
73	148	30	-107.35808563232422	148	60	-433.1244812011719	0
74	66	14	-82.45768737792969	66	28	-217.76797485351562	0
75	221	46	-164.6824951171875	221	98	-656.8468627929688	0
76	89	20	-92.25746154785156	89	44	-285.0568542480469	0
77	202	34	-186.1468963623047	202	92	-610.583740234375	0
78	242	39	-189.57958984375	242	111	-690.2127685546875	0
79	62	15	-53.2928466796875	62	28	-199.71414184570312	0
80	179	35	-132.50340270996094	179	79	-561.4418334960938	0
81	108	20	-100.08389282226562	108	49	-326.7529602050781	0
82	83	21	-59.151084899902344	83	36	-245.1221923828125	0
83	101	20	-89.73997497558594	101	40	-298.3924865722656	0
84	76	14	-87.89288330078125	76	36	-237.58078002929688	0
85	100	18	-70.30451202392578	100	44	-319.0065002441406	0
86	183	39	-149.71946716308594	183	76	-516.3204956054688	0
87	161	28	-152.24423217773438	161	68	-488.6006774902344	0
88	67	14	-68.79451751708984	67	32	-221.31173706054688	0
89	44	10	-44.815650939941406	44	19	-142.25900268554688	0
90	58	10	-52.32679748535156	58	24	-178.6671142578125	0
91	249	42	-177.66371154785156	249	105	-688.908935546875	0
92	138	26	-106.43067169189453	138	64	-449.642578125	0
93	154	27	-167.107421875	154	67	-464.7045593261719	0
94	128	25	-53.68091583251953	128	54	-376.2232666015625	0
95	74	13	-76.01293182373047	74	32	-234.472412109375	0
96	80	14	-67.5533447265625	80	35	-248.0361785888672	0
97	95	21	-105.5912094116211	95	47	-306.714111328125	0
98	118	18	-111.32455444335938	118	53	-364.7532653808594	0
99	134	27	-117.1230697631836	134	63	-426.5449523925781	0
0	48	11	-73.63700103759766	48	22	-149.4553985595703	0
1	52	11	-66.68743896484375	52	23	-168.0345916748047	0
2	52	11	-59.80039978027344	52	25	-165.0040740966797	0
3	65	15	-100.904052734375	65	28	-194.62466430664062	0
4	37	10	-70.14012145996094	37	18	-126.3932876586914	0
5	46	12	-79.20280456542969	46	23	-156.29559326171875	0
6	62	15	-101.35277557373047	62	27	-200.92111206054688	0
7	35	13	-64.19994354248047	35	17	-119.78642272949219	0
8	46	10	-84.27983093261719	46	22	-164.1685333251953	0
9	63	12	-93.08232116699219	63	28	-194.447021484375	0
10	93	19	-147.43690490722656	93	39	-297.62200927734375	0
11	60	12	-91.26068115234375	60	28	-191.8060760498047	0
12	53	13	-104.01158142089844	53	22	-160.53988647460938	0
13	49	12	-87.06396484375	49	20	-163.39785766601562	0
14	64	10	-87.08296203613281	64	29	-219.53366088867188	0
15	44	10	-75.81602478027344	44	19	-159.3396759033203	0
16	90	18	-141.23928833007812	90	38	-288.59478759765625	0
17	69	17	-109.79920959472656	69	33	-229.1360321044922	0
18	70	15	-105.9284439086914	70	33	-224.27735900878906	0
19	83	16	-109.63018798828125	83	34	-254.44607543945312	0
20	65	13	-88.39380645751953	65	31	-205.54660034179688	0
21	70	11	-87.59657287597656	70	31	-229.433837890625	0
22	65	12	-85.09185028076172	65	31	-210.42117309570312	0
23	74	17	-114.66706085205078	74	30	-225.2438507080078	0
24	69	14	-105.26534271240234	69	29	-227.4466552734375	0
25	66	12	-98.36259460449219	66	29	-208.31138610839844	0
26	133	30	-199.6099090576172	133	62	-436.90460205078125	0
27	50	9	-65.43809509277344	50	21	-171.19908142089844	0
28	124	21	-173.24929809570312	124	55	-398.9859619140625	0
29	205	36	-279.27532958984375	205	86	-617.979248046875	0
30	104	17	-129.98818969726562	104	49	-326.2580261230469	0
31	124	21	-151.16387939453125	124	50	-397.6419372558594	0
32	91	21	-143.89126586914062	91	37	-257.178466796875	0
33	82	17	-123.74644470214844	82	36	-242.5635223388672	0
34	140	27	-190.2277374267578	140	64	-420.29815673828125	0
35	70	17	-119.03473663330078	70	34	-222.90118408203125	0
36	83	16	-127.45463562011719	83	38	-261.2787780761719	0
37	148	28	-199.7920379638672	148	65	-478.8646545410156	0
38	91	22	-141.24351501464844	91	42	-302.5297546386719	0
39	56	15	-86.03892517089844	56	24	-173.281005859375	0
40	146	31	-233.2223358154297	146	61	-430.4088134765625	0
41	162	28	-213.6304473876953	162	75	-531.2880249023438	0
42	72	19	-122.24630737304688	72	36	-233.39703369140625	0
43	137	25	-194.45433044433594	137	55	-434.6011047363281	0
44	29	9	-62.18340301513672	29	13	-112.06497192382812	0
45	97	24	-153.40321350097656	97	45	-290.87225341796875	0
46	93	18	-137.84420776367188	93	41	-288.2765808105469	0
47	82	17	-129.80673217773438	82	36	-263.3457946777344	0
48	114	17	-141.1846923828125	114	53	-356.16473388671875	0
49	63	13	-95.2775650024414	63	26	-194.2924346923828	0
50	135	26	-189.81893920898438	135	59	-413.2650451660156	0
51	77	15	-107.21244812011719	77	34	-243.29727172851562	0
52	140	26	-194.55824279785156	140	64	-442.17462158203125	0
53	57	12	-97.10848999023438	57	28	-188.30455017089844	0
54	123	21	-187.3815155029297	123	53	-389.4556884765625	0
55	85	17	-127.56370544433594	85	39	-265.15478515625	0
56	151	31	-233.907958984375	151	66	-443.979248046875	0
57	141	25	-208.21676635742188	141	63	-417.70574951171875	0
58	112	36	-171.9922332763672	112	58	-354.0317687988281	0
59	138	30	-212.28985595703125	138	61	-387.5330505371094	0
60	70	12	-85.98776245117188	70	28	-224.1577911376953	0
61	60	10	-79.98814392089844	60	26	-193.64454650878906	0
62	87	19	-126.08354187011719	87	37	-262.6983337402344	0
63	155	29	-204.65797424316406	155	70	-471.29754638671875	0
64	111	27	-180.29017639160156	111	43	-300.56781005859375	0
65	118	23	-172.56732177734375	118	47	-347.7430725097656	0
66	49	10	-72.82288360595703	49	20	-166.02601623535156	0
67	90	20	-143.77688598632812	90	40	-274.9417724609375	0
68	68	16	-102.49209594726562	68	29	-210.42393493652344	0
69	72	16	-122.9381103515625	72	32	-239.07505798339844	0
