index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	11	-27.93722152709961	48	22	-140.60926818847656	1
1	52	11	-28.953365325927734	52	26	-163.6525421142578	0
2	52	11	-26.487857818603516	52	25	-171.843505859375	1
3	65	15	-37.637943267822266	65	31	-206.29026794433594	1
4	37	10	-24.102802276611328	37	18	-123.99187469482422	1
5	46	11	-31.41360092163086	46	21	-147.97755432128906	1
6	62	15	-39.41438293457031	62	29	-196.71104431152344	1
7	35	12	-23.923954010009766	35	19	-120.37667083740234	1
8	46	10	-33.841861724853516	46	22	-162.6747589111328	0
9	63	12	-32.02788543701172	63	27	-199.68048095703125	1
10	93	19	-52.94271469116211	93	42	-282.2359619140625	0
11	60	12	-38.37535858154297	60	30	-203.36758422851562	0
12	53	13	-32.106292724609375	53	24	-172.80935668945312	1
13	49	12	-36.10759735107422	49	23	-163.3039093017578	0
14	64	11	-29.38847541809082	64	35	-210.41835021972656	0
15	44	10	-31.455020904541016	44	21	-151.58209228515625	1
16	90	18	-53.77836227416992	90	37	-273.0709228515625	0
17	69	16	-42.806087493896484	69	34	-232.32228088378906	0
18	70	15	-40.61770248413086	70	31	-228.52511596679688	0
19	83	16	-35.57762908935547	83	35	-252.00912475585938	0
20	65	13	-35.572120666503906	65	30	-204.7446746826172	0
21	70	11	-29.387317657470703	70	33	-227.9893035888672	0
22	65	12	-34.81201934814453	65	37	-217.43850708007812	0
23	74	17	-45.26503372192383	74	34	-229.71331787109375	0
24	69	13	-42.615394592285156	69	33	-222.26239013671875	1
25	66	12	-29.896778106689453	66	34	-207.86880493164062	0
26	133	27	-75.66192626953125	133	66	-430.7501220703125	0
27	50	9	-36.58509826660156	50	25	-166.2104949951172	0
28	124	21	-57.69941329956055	124	55	-383.0555725097656	0
29	205	36	-114.3672103881836	205	95	-623.8385620117188	0
30	104	19	-56.213897705078125	104	48	-342.072265625	0
31	124	21	-52.600440979003906	124	56	-384.4554748535156	0
32	91	21	-51.83712387084961	91	40	-263.4158020019531	1
33	82	17	-54.44925308227539	82	38	-243.68359375	0
34	140	27	-81.36456298828125	140	66	-399.5340270996094	0
35	70	16	-54.637413024902344	70	36	-226.93954467773438	0
36	83	18	-45.597023010253906	83	40	-273.0612487792969	0
37	148	27	-84.19001007080078	148	71	-478.287109375	0
38	91	20	-50.3885383605957	91	45	-284.5523986816406	0
39	56	14	-36.98693084716797	56	25	-177.27525329589844	1
40	146	31	-81.09586334228516	146	69	-426.05780029296875	0
41	162	28	-90.02587890625	162	74	-481.9810791015625	0
42	72	17	-47.17103958129883	72	34	-206.08677673339844	1
43	137	26	-69.82656860351562	137	63	-424.7349853515625	0
44	29	8	-44.1298828125	29	17	-109.52323913574219	0
45	97	24	-49.25296401977539	97	47	-282.4424133300781	1
46	93	18	-52.16108703613281	93	48	-299.77374267578125	0
47	82	17	-44.25444793701172	82	36	-262.5921325683594	0
48	114	17	-61.24848175048828	114	53	-341.84576416015625	0
49	63	13	-50.787513732910156	63	32	-185.0388641357422	0
50	135	26	-86.52629089355469	135	64	-410.6871032714844	0
51	77	15	-54.41032409667969	77	35	-243.626220703125	0
52	140	26	-66.41773986816406	140	64	-428.3730163574219	0
53	57	12	-34.22383499145508	57	25	-172.66238403320312	1
54	123	21	-85.32579040527344	123	59	-379.0599365234375	0
55	85	17	-50.14432144165039	85	39	-255.73135375976562	0
56	151	31	-92.17733764648438	151	68	-445.0868225097656	0
57	141	26	-83.23876953125	141	60	-380.3782043457031	0
58	112	32	-60.456268310546875	112	57	-334.5094299316406	0
59	138	29	-80.72598266601562	138	66	-385.4324951171875	0
60	70	13	-35.653202056884766	70	31	-224.07330322265625	0
61	60	10	-37.39452362060547	60	28	-200.88563537597656	1
62	87	19	-52.46434783935547	87	44	-268.4716491699219	0
63	155	31	-67.22700500488281	155	75	-493.432861328125	0
64	111	27	-88.43778228759766	111	48	-285.4029846191406	0
65	118	23	-80.39952850341797	118	55	-353.8905334472656	0
66	49	10	-37.599117279052734	49	23	-157.02804565429688	1
67	90	20	-60.950889587402344	90	43	-271.04486083984375	0
68	68	16	-41.370140075683594	68	33	-226.1498565673828	0
69	72	16	-56.90277099609375	72	34	-224.24850463867188	0
70	124	25	-79.6325454711914	124	60	-367.7408752441406	1
71	116	21	-65.73139190673828	116	54	-351.0451354980469	0
72	143	25	-81.18196105957031	143	68	-452.1546630859375	0
73	148	30	-73.00980377197266	148	68	-433.47064208984375	0
74	66	14	-37.51624298095703	66	31	-209.92449951171875	0
75	221	44	-117.86180114746094	221	98	-627.6616821289062	0
76	89	19	-56.938880920410156	89	41	-281.6177673339844	0
77	202	32	-138.35169982910156	202	94	-620.1790161132812	0
78	242	39	-122.52127075195312	242	119	-704.1738891601562	0
79	62	15	-50.67271041870117	62	28	-198.04124450683594	1
80	179	35	-89.49186706542969	179	83	-534.82373046875	0
81	108	20	-69.29358673095703	108	48	-332.3370056152344	0
82	83	21	-47.37077713012695	83	35	-223.19696044921875	1
83	101	22	-67.709716796875	101	46	-289.717529296875	0
84	76	14	-59.89448928833008	76	37	-239.978759765625	0
85	100	19	-63.276084899902344	100	48	-316.48394775390625	0
86	183	39	-113.96508026123047	183	82	-519.1609497070312	0
87	161	31	-99.6169662475586	161	74	-483.0204162597656	0
88	67	14	-42.1377067565918	67	32	-213.91233825683594	0
89	44	10	-36.54104995727539	44	21	-142.19284057617188	0
90	58	12	-36.95106887817383	58	27	-178.13400268554688	0
91	249	46	-113.09381866455078	249	117	-707.9033203125	0
92	138	26	-81.65805053710938	138	67	-443.46466064453125	0
93	154	27	-103.782470703125	154	73	-477.74676513671875	0
94	128	26	-46.309505462646484	128	55	-381.60333251953125	0
95	74	15	-55.2039680480957	74	35	-238.79171752929688	0
96	80	14	-46.31581497192383	80	39	-251.6475830078125	0
97	95	22	-81.11656188964844	95	49	-312.8843688964844	0
98	118	18	-65.86801147460938	118	59	-357.5229187011719	0
99	134	29	-84.08912658691406	134	66	-416.58074951171875	0
0	48	11	-50.79518127441406	48	22	-146.9497528076172	1
1	52	11	-44.44107437133789	52	24	-165.9361114501953	0
2	52	11	-42.101173400878906	52	27	-163.7982940673828	1
3	65	15	-63.09587860107422	65	31	-200.99351501464844	0
4	37	10	-39.92292785644531	37	18	-122.39498901367188	1
5	46	11	-51.946739196777344	46	22	-155.09214782714844	0
6	62	15	-51.437339782714844	62	28	-195.62710571289062	1
7	35	12	-35.79888916015625	35	18	-120.29542541503906	0
8	46	10	-65.35826873779297	46	23	-165.15223693847656	0
9	63	12	-69.75829315185547	63	29	-200.63909912109375	0
10	93	19	-82.00928497314453	93	41	-292.7210998535156	0
11	60	12	-67.68131256103516	60	29	-191.7830810546875	0
12	53	13	-49.774513244628906	53	25	-169.65272521972656	0
13	49	12	-49.6719970703125	49	22	-164.52227783203125	0
14	64	11	-50.27645492553711	64	35	-213.6966094970703	0
15	44	10	-51.65141296386719	44	20	-147.44232177734375	0
16	90	18	-109.70639038085938	90	40	-288.1502990722656	0
17	69	16	-55.8104133605957	69	36	-232.20233154296875	1
18	70	15	-70.21802520751953	70	33	-234.75384521484375	0
19	83	16	-45.05502700805664	83	38	-248.43148803710938	0
20	65	13	-55.69329071044922	65	33	-206.66989135742188	0
21	70	11	-50.64158630371094	70	35	-226.48574829101562	0
22	65	12	-66.71744537353516	65	33	-214.59072875976562	0
23	74	17	-58.634700775146484	74	34	-226.93446350097656	0
24	69	13	-62.501243591308594	69	33	-229.01161193847656	0
25	66	12	-73.40629577636719	66	32	-213.09609985351562	0
26	133	27	-83.10807800292969	133	66	-429.02655029296875	0
27	50	9	-51.61259841918945	50	25	-162.89964294433594	0
28	124	21	-85.34262084960938	124	60	-386.2166442871094	0
29	205	36	-165.1591796875	205	93	-611.6363525390625	0
30	104	19	-89.64090728759766	104	50	-322.8312683105469	0
31	124	21	-85.13056945800781	124	56	-388.38665771484375	0
32	91	21	-71.79545593261719	91	39	-261.85711669921875	0
33	82	17	-81.69886779785156	82	38	-247.9827423095703	0
34	140	27	-132.84454345703125	140	64	-425.42059326171875	0
35	70	16	-87.8216552734375	70	37	-214.24285888671875	0
36	83	18	-65.78739929199219	83	41	-271.7998352050781	0
37	148	27	-120.35548400878906	148	69	-485.32513427734375	0
38	91	20	-91.77582550048828	91	49	-297.2827453613281	0
39	56	14	-47.135372161865234	56	26	-178.07406616210938	1
40	146	31	-115.51676940917969	146	67	-430.28216552734375	0
41	162	28	-144.81146240234375	162	75	-480.4786376953125	0
42	72	17	-65.83251953125	72	35	-231.1224365234375	0
43	137	26	-117.00875854492188	137	61	-422.6782531738281	0
44	29	8	-56.14591598510742	29	16	-116.61206817626953	1
45	97	24	-61.676483154296875	97	47	-280.5705261230469	1
46	93	18	-74.10143280029297	93	47	-292.97906494140625	0
47	82	17	-65.21685791015625	82	38	-263.3499755859375	0
48	114	17	-110.3782730102539	114	59	-362.55072021484375	0
49	63	13	-67.47413635253906	63	31	-188.09974670410156	1
50	135	26	-127.38660430908203	135	63	-422.62396240234375	0
51	77	15	-74.06902313232422	77	36	-242.05337524414062	0
52	140	26	-103.23493194580078	140	66	-431.2535705566406	0
53	57	12	-61.4296989440918	57	28	-181.51226806640625	0
54	123	21	-112.32110595703125	123	60	-377.23382568359375	0
55	85	17	-75.02105712890625	85	40	-260.8598937988281	0
56	151	31	-130.64503479003906	151	72	-432.0793151855469	0
57	141	26	-136.26255798339844	141	64	-425.5033264160156	0
58	112	32	-80.31573486328125	112	59	-323.2555847167969	0
59	138	29	-110.83162689208984	138	66	-376.6837463378906	0
60	70	13	-56.19609069824219	70	31	-215.2921142578125	0
61	60	10	-64.80462646484375	60	30	-210.82284545898438	0
62	87	19	-75.00497436523438	87	42	-267.01129150390625	0
63	155	31	-91.46568298339844	155	76	-485.5616455078125	0
64	111	27	-105.79190063476562	111	49	-297.2470397949219	0
65	118	23	-114.54583740234375	118	54	-358.54144287109375	0
66	49	10	-48.43193817138672	49	21	-160.51043701171875	0
67	90	20	-77.8280029296875	90	43	-287.03912353515625	0
68	68	16	-54.97897720336914	68	32	-221.79501342773438	0
69	72	16	-74.79994201660156	72	33	-238.29965209960938	0
70	124	25	-99.04592895507812	124	62	-359.3602600097656	0
71	116	21	-113.03765869140625	116	54	-356.2295227050781	0
72	143	25	-120.24822998046875	143	66	-445.0350646972656	0
73	148	30	-107.35808563232422	148	68	-433.1244812011719	0
74	66	14	-82.45768737792969	66	30	-217.76797485351562	0
75	221	44	-164.6824951171875	221	101	-656.8468627929688	0
76	89	19	-92.25746154785156	89	45	-285.0568542480469	0
77	202	32	-186.1468963623047	202	96	-610.583740234375	0
78	242	39	-189.57958984375	242	116	-690.2127685546875	0
79	62	15	-53.2928466796875	62	28	-199.71414184570312	0
80	179	35	-132.50340270996094	179	86	-561.4418334960938	0
81	108	20	-100.08389282226562	108	51	-326.7529602050781	0
82	83	21	-59.151084899902344	83	37	-245.1221923828125	1
83	101	22	-89.73997497558594	101	46	-298.3924865722656	0
84	76	14	-87.89288330078125	76	39	-237.58078002929688	0
85	100	19	-70.30451202392578	100	46	-319.0065002441406	0
86	183	39	-149.71946716308594	183	85	-516.3204956054688	0
87	161	31	-152.24423217773438	161	73	-488.6006774902344	0
88	67	14	-68.79451751708984	67	32	-221.31173706054688	0
89	44	10	-44.815650939941406	44	22	-142.25900268554688	0
90	58	12	-52.32679748535156	58	27	-178.6671142578125	0
91	249	46	-177.66371154785156	249	117	-688.908935546875	0
92	138	26	-106.43067169189453	138	67	-449.642578125	0
93	154	27	-167.107421875	154	71	-464.7045593261719	0
94	128	26	-53.68091583251953	128	57	-376.2232666015625	0
95	74	15	-76.01293182373047	74	34	-234.472412109375	0
96	80	14	-67.5533447265625	80	38	-248.0361785888672	0
97	95	22	-105.5912094116211	95	50	-306.714111328125	0
98	118	18	-111.32455444335938	118	55	-364.7532653808594	0
99	134	29	-117.1230697631836	134	63	-426.5449523925781	0
0	48	11	-73.63700103759766	48	22	-149.4553985595703	0
1	52	11	-66.68743896484375	52	24	-168.0345916748047	0
2	52	11	-59.80039978027344	52	27	-165.0040740966797	1
3	65	15	-100.904052734375	65	31	-194.62466430664062	0
4	37	10	-70.14012145996094	37	18	-126.3932876586914	1
5	46	11	-79.20280456542969	46	22	-156.29559326171875	0
6	62	15	-101.35277557373047	62	28	-200.92111206054688	1
7	35	12	-64.19994354248047	35	18	-119.78642272949219	1
8	46	10	-84.27983093261719	46	23	-164.1685333251953	0
9	63	12	-93.08232116699219	63	29	-194.447021484375	0
10	93	19	-147.43690490722656	93	41	-297.62200927734375	0
11	60	12	-91.26068115234375	60	29	-191.8060760498047	0
12	53	13	-104.01158142089844	53	25	-160.53988647460938	0
13	49	12	-87.06396484375	49	22	-163.39785766601562	0
14	64	11	-87.08296203613281	64	35	-219.53366088867188	0
15	44	10	-75.81602478027344	44	20	-159.3396759033203	0
16	90	18	-141.23928833007812	90	40	-288.59478759765625	0
17	69	16	-109.79920959472656	69	36	-229.1360321044922	0
18	70	15	-105.9284439086914	70	33	-224.27735900878906	0
19	83	16	-109.63018798828125	83	38	-254.44607543945312	1
20	65	13	-88.39380645751953	65	33	-205.54660034179688	0
21	70	11	-87.59657287597656	70	35	-229.433837890625	0
22	65	12	-85.09185028076172	65	33	-210.42117309570312	0
23	74	17	-114.66706085205078	74	34	-225.2438507080078	0
24	69	13	-105.26534271240234	69	33	-227.4466552734375	0
25	66	12	-98.36259460449219	66	32	-208.31138610839844	0
26	133	27	-199.6099090576172	133	66	-436.90460205078125	0
27	50	9	-65.43809509277344	50	25	-171.19908142089844	1
28	124	21	-173.24929809570312	124	60	-398.9859619140625	0
29	205	36	-279.27532958984375	205	93	-617.979248046875	0
30	104	19	-129.98818969726562	104	50	-326.2580261230469	0
31	124	21	-151.16387939453125	124	56	-397.6419372558594	0
32	91	21	-143.89126586914062	91	39	-257.178466796875	0
33	82	17	-123.74644470214844	82	38	-242.5635223388672	0
34	140	27	-190.2277374267578	140	64	-420.29815673828125	0
35	70	16	-119.03473663330078	70	37	-222.90118408203125	0
36	83	18	-127.45463562011719	83	41	-261.2787780761719	0
37	148	27	-199.7920379638672	148	69	-478.8646545410156	0
38	91	20	-141.24351501464844	91	49	-302.5297546386719	0
39	56	14	-86.03892517089844	56	26	-173.281005859375	1
40	146	31	-233.2223358154297	146	67	-430.4088134765625	0
41	162	28	-213.6304473876953	162	75	-531.2880249023438	0
42	72	17	-122.24630737304688	72	35	-233.39703369140625	0
43	137	26	-194.45433044433594	137	61	-434.6011047363281	0
44	29	8	-62.18340301513672	29	16	-112.06497192382812	1
45	97	24	-153.40321350097656	97	47	-290.87225341796875	1
46	93	18	-137.84420776367188	93	47	-288.2765808105469	0
47	82	17	-129.80673217773438	82	38	-263.3457946777344	0
48	114	17	-141.1846923828125	114	59	-356.16473388671875	0
49	63	13	-95.2775650024414	63	31	-194.2924346923828	1
50	135	26	-189.81893920898438	135	63	-413.2650451660156	0
51	77	15	-107.21244812011719	77	36	-243.29727172851562	0
52	140	26	-194.55824279785156	140	66	-442.17462158203125	0
53	57	12	-97.10848999023438	57	28	-188.30455017089844	0
54	123	21	-187.3815155029297	123	60	-389.4556884765625	0
55	85	17	-127.56370544433594	85	40	-265.15478515625	0
56	151	31	-233.907958984375	151	72	-443.979248046875	0
57	141	26	-208.21676635742188	141	64	-417.70574951171875	0
58	112	32	-171.9922332763672	112	59	-354.0317687988281	0
59	138	29	-212.28985595703125	138	66	-387.5330505371094	0
60	70	13	-85.98776245117188	70	31	-224.1577911376953	0
61	60	10	-79.98814392089844	60	30	-193.64454650878906	0
62	87	19	-126.08354187011719	87	42	-262.6983337402344	0
63	155	31	-204.65797424316406	155	76	-471.29754638671875	0
64	111	27	-180.29017639160156	111	49	-300.56781005859375	0
65	118	23	-172.56732177734375	118	54	-347.7430725097656	0
66	49	10	-72.82288360595703	49	21	-166.02601623535156	0
67	90	20	-143.77688598632812	90	43	-274.9417724609375	0
68	68	16	-102.49209594726562	68	32	-210.42393493652344	0
69	72	16	-122.9381103515625	72	33	-239.07505798339844	0
70	124	25	-192.2061767578125	124	62	-361.7044677734375	0
71	116	21	-184.1699981689453	116	54	-369.0227966308594	0
72	143	25	-206.59439086914062	143	66	-448.74908447265625	0
73	148	30	-225.6604461669922	148	68	-432.8388977050781	0
74	66	14	-103.71043395996094	66	30	-216.60781860351562	0
75	221	44	-319.7403564453125	221	101	-682.480712890625	0
76	89	19	-140.14280700683594	89	45	-285.0839538574219	0
77	202	32	-266.30938720703125	202	96	-638.7725830078125	0
78	242	39	-250.44923400878906	242	116	-691.77783203125	0
79	62	15	-100.70437622070312	62	28	-188.62255859375	1
80	179	35	-251.978515625	179	86	-565.980712890625	0
81	108	20	-162.55990600585938	108	51	-323.0541687011719	0
82	83	21	-147.70578002929688	83	37	-240.97413635253906	0
83	101	22	-150.19497680664062	101	46	-291.84283447265625	0
84	76	14	-114.86186981201172	76	39	-257.50189208984375	0
85	100	19	-129.99879455566406	100	46	-329.1773376464844	0
86	183	39	-279.9393615722656	183	85	-525.2630004882812	0
87	161	31	-248.5366973876953	161	73	-494.9720458984375	0
88	67	14	-99.84365844726562	67	32	-219.61146545410156	0
89	44	10	-73.71011352539062	44	22	-151.2558135986328	0
90	58	12	-79.51617431640625	58	27	-181.0558319091797	0
91	249	46	-311.7531433105469	249	117	-695.2831420898438	0
92	138	26	-199.14373779296875	138	67	-460.9745178222656	0
93	154	27	-238.70762634277344	154	71	-467.3912353515625	0
