index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	12	-27.93722152709961	48	23	-140.60926818847656	0
1	52	12	-28.953365325927734	52	25	-163.6525421142578	0
2	52	12	-26.487857818603516	52	26	-171.843505859375	0
3	65	16	-37.637943267822266	65	32	-206.29026794433594	0
4	37	11	-24.102802276611328	37	19	-123.99187469482422	0
5	46	12	-31.41360092163086	46	22	-147.97755432128906	0
6	62	16	-39.41438293457031	62	30	-196.71104431152344	0
7	35	13	-23.923954010009766	35	20	-120.37667083740234	0
8	46	11	-33.841861724853516	46	23	-162.6747589111328	0
9	63	13	-32.02788543701172	63	28	-199.68048095703125	0
10	93	20	-52.94271469116211	93	42	-282.2359619140625	0
11	60	13	-38.37535858154297	60	31	-203.36758422851562	0
12	53	14	-32.106292724609375	53	25	-172.80935668945312	0
13	49	13	-36.10759735107422	49	24	-163.3039093017578	0
14	64	12	-29.38847541809082	64	36	-210.41835021972656	0
15	44	11	-31.455020904541016	44	22	-151.58209228515625	0
16	90	19	-53.77836227416992	90	38	-273.0709228515625	0
17	69	17	-42.806087493896484	69	35	-232.32228088378906	0
18	70	16	-40.61770248413086	70	32	-228.52511596679688	0
19	83	17	-35.57762908935547	83	36	-252.00912475585938	0
20	65	14	-35.572120666503906	65	31	-204.7446746826172	0
21	70	12	-29.387317657470703	70	34	-227.9893035888672	0
22	65	13	-34.81201934814453	65	38	-217.43850708007812	0
23	74	18	-45.26503372192383	74	35	-229.71331787109375	0
24	69	14	-42.615394592285156	69	34	-222.26239013671875	0
25	66	13	-29.896778106689453	66	35	-207.86880493164062	0
26	133	28	-75.66192626953125	133	67	-430.7501220703125	0
27	50	10	-36.58509826660156	50	26	-166.2104949951172	0
28	124	22	-57.69941329956055	124	56	-383.0555725097656	0
29	205	37	-114.3672103881836	205	96	-623.8385620117188	0
30	104	20	-56.213897705078125	104	49	-342.072265625	0
31	124	22	-52.600440979003906	124	57	-384.4554748535156	0
32	91	22	-51.83712387084961	91	41	-263.4158020019531	0
33	82	18	-54.44925308227539	82	39	-243.68359375	0
34	140	28	-81.36456298828125	140	67	-399.5340270996094	0
35	70	17	-54.637413024902344	70	37	-226.93954467773438	0
36	83	19	-45.597023010253906	83	41	-273.0612487792969	0
37	148	28	-84.19001007080078	148	72	-478.287109375	0
38	91	21	-50.3885383605957	91	46	-284.5523986816406	0
39	56	15	-36.98693084716797	56	26	-177.27525329589844	0
40	146	32	-81.09586334228516	146	70	-426.05780029296875	0
41	162	29	-90.02587890625	162	75	-481.9810791015625	0
42	72	18	-47.17103958129883	72	35	-206.08677673339844	0
43	137	27	-69.82656860351562	137	64	-424.7349853515625	0
44	29	9	-44.1298828125	29	18	-109.52323913574219	0
45	97	25	-49.25296401977539	97	48	-282.4424133300781	0
46	93	19	-52.16108703613281	93	48	-299.77374267578125	0
47	82	18	-44.25444793701172	82	36	-262.5921325683594	0
48	114	18	-61.24848175048828	114	54	-341.84576416015625	0
49	63	14	-50.787513732910156	63	33	-185.0388641357422	0
50	135	27	-86.52629089355469	135	65	-410.6871032714844	0
51	77	16	-54.41032409667969	77	36	-243.626220703125	0
52	140	27	-66.41773986816406	140	65	-428.3730163574219	0
53	57	13	-34.22383499145508	57	26	-172.66238403320312	0
54	123	22	-85.32579040527344	123	60	-379.0599365234375	0
55	85	18	-50.14432144165039	85	40	-255.73135375976562	0
56	151	32	-92.17733764648438	151	69	-445.0868225097656	0
57	141	27	-83.23876953125	141	61	-380.3782043457031	0
58	112	33	-60.456268310546875	112	58	-334.5094299316406	0
59	138	30	-80.72598266601562	138	66	-385.4324951171875	0
60	70	14	-35.653202056884766	70	32	-224.07330322265625	0
61	60	11	-37.39452362060547	60	29	-200.88563537597656	0
62	87	20	-52.46434783935547	87	44	-268.4716491699219	0
