index	prompt	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0		48	11	-27.93722152709961	48	22	-140.60926818847656	1
1		52	11	-28.953365325927734	52	26	-163.6525421142578	0
2		52	11	-26.487857818603516	52	25	-171.843505859375	1
3		65	15	-37.637943267822266	65	31	-206.29026794433594	1
4		37	10	-24.102802276611328	37	18	-123.99187469482422	1
5		46	11	-31.41360092163086	46	21	-147.97755432128906	1
6		62	15	-39.41438293457031	62	29	-196.71104431152344	1
7		35	12	-23.923954010009766	35	19	-120.37667083740234	1
8		46	10	-33.841861724853516	46	22	-162.6747589111328	0
9		63	12	-32.02788543701172	63	27	-199.68048095703125	1
10		93	19	-52.94271469116211	93	42	-282.2359619140625	0
11		60	12	-38.37535858154297	60	30	-203.36758422851562	0
12		53	13	-32.106292724609375	53	24	-172.80935668945312	1
13		49	12	-36.10759735107422	49	23	-163.3039093017578	0
14		64	11	-29.38847541809082	64	35	-210.41835021972656	0
15		44	10	-31.455020904541016	44	21	-151.58209228515625	1
16		90	18	-53.77836227416992	90	37	-273.0709228515625	0
17		69	16	-42.806087493896484	69	34	-232.32228088378906	0
18		70	15	-40.61770248413086	70	31	-228.52511596679688	0
19		83	16	-35.57762908935547	83	35	-252.00912475585938	0
20		65	13	-35.572120666503906	65	30	-204.7446746826172	0
21		70	11	-29.387317657470703	70	33	-227.9893035888672	0
22		65	12	-34.81201934814453	65	37	-217.43850708007812	0
23		74	17	-45.26503372192383	74	34	-229.71331787109375	0
24		69	13	-42.615394592285156	69	33	-222.26239013671875	1
25		66	12	-29.896778106689453	66	34	-207.86880493164062	0
26		133	27	-75.66192626953125	133	66	-430.7501220703125	0
27		50	9	-36.58509826660156	50	25	-166.2104949951172	0
28		124	21	-57.69941329956055	124	55	-383.0555725097656	0
29		205	36	-114.3672103881836	205	95	-623.8385620117188	0
30		104	19	-56.213897705078125	104	48	-342.072265625	0
31		124	21	-52.600440979003906	124	56	-384.4554748535156	0
32		91	21	-51.83712387084961	91	40	-263.4158020019531	1
33		82	17	-54.44925308227539	82	38	-243.68359375	0
34		140	27	-81.36456298828125	140	66	-399.5340270996094	0
35		70	16	-54.637413024902344	70	36	-226.93954467773438	0
36		83	18	-45.597023010253906	83	40	-273.0612487792969	0
37		148	27	-84.19001007080078	148	71	-478.287109375	0
38		91	20	-50.3885383605957	91	45	-284.5523986816406	0
39		56	14	-36.98693084716797	56	25	-177.27525329589844	1
40		146	31	-81.09586334228516	146	69	-426.05780029296875	0
41		162	28	-90.02587890625	162	74	-481.9810791015625	0
42		72	17	-47.17103958129883	72	34	-206.08677673339844	1
43		137	26	-69.82656860351562	137	63	-424.7349853515625	0
44		29	8	-44.1298828125	29	17	-109.52323913574219	0
45		97	24	-49.25296401977539	97	47	-282.4424133300781	1
46		93	18	-52.16108703613281	93	48	-299.77374267578125	0
47		82	17	-44.25444793701172	82	36	-262.5921325683594	0
48		114	17	-61.24848175048828	114	53	-341.84576416015625	0
49		63	13	-50.787513732910156	63	32	-185.0388641357422	0
50		135	26	-86.52629089355469	135	64	-410.6871032714844	0
51		77	15	-54.41032409667969	77	35	-243.626220703125	0
52		140	26	-66.41773986816406	140	64	-428.3730163574219	0
53		57	12	-34.22383499145508	57	25	-172.66238403320312	1
54		123	21	-85.32579040527344	123	59	-379.0599365234375	0
55		85	17	-50.14432144165039	85	39	-255.73135375976562	0
56		151	31	-92.17733764648438	151	68	-445.0868225097656	0
57		141	26	-83.23876953125	141	60	-380.3782043457031	0
58		112	32	-60.456268310546875	112	57	-334.5094299316406	0
59		138	29	-80.72598266601562	138	66	-385.4324951171875	0
60		70	13	-35.653202056884766	70	31	-224.07330322265625	0
61		60	10	-37.39452362060547	60	28	-200.88563537597656	1
62		87	19	-52.46434783935547	87	44	-268.4716491699219	0
63		155	31	-67.22700500488281	155	75	-493.432861328125	0
64		111	27	-88.43778228759766	111	48	-285.4029846191406	0
65		118	23	-80.39952850341797	118	55	-353.8905334472656	0
66		49	10	-37.599117279052734	49	23	-157.02804565429688	1
67		90	20	-60.950889587402344	90	43	-271.04486083984375	0
68		68	16	-41.370140075683594	68	33	-226.1498565673828	0
69		72	16	-56.90277099609375	72	34	-224.24850463867188	0
70		124	25	-79.6325454711914	124	60	-367.7408752441406	1
71		116	21	-65.73139190673828	116	54	-351.0451354980469	0
72		143	25	-81.18196105957031	143	68	-452.1546630859375	0
73		148	30	-73.00980377197266	148	68	-433.47064208984375	0
74		66	14	-37.51624298095703	66	31	-209.92449951171875	0
75		221	44	-117.86180114746094	221	98	-627.6616821289062	0
76		89	19	-56.938880920410156	89	41	-281.6177673339844	0
77		202	32	-138.35169982910156	202	94	-620.1790161132812	0
78		242	39	-122.52127075195312	242	119	-704.1738891601562	0
79		62	15	-50.67271041870117	62	28	-198.04124450683594	1
80		179	35	-89.49186706542969	179	83	-534.82373046875	0
81		108	20	-69.29358673095703	108	48	-332.3370056152344	0
82		83	21	-47.37077713012695	83	35	-223.19696044921875	1
83		101	22	-67.709716796875	101	46	-289.717529296875	0
84		76	14	-59.89448928833008	76	37	-239.978759765625	0
85		100	19	-63.276084899902344	100	48	-316.48394775390625	0
86		183	39	-113.96508026123047	183	82	-519.1609497070312	0
87		161	31	-99.6169662475586	161	74	-483.0204162597656	0
88		67	14	-42.1377067565918	67	32	-213.91233825683594	0
89		44	10	-36.54104995727539	44	21	-142.19284057617188	0
90		58	12	-36.95106887817383	58	27	-178.13400268554688	0
91		249	46	-113.09381866455078	249	117	-707.9033203125	0
92		138	26	-81.65805053710938	138	67	-443.46466064453125	0
93		154	27	-103.782470703125	154	73	-477.74676513671875	0
94		128	26	-46.309505462646484	128	55	-381.60333251953125	0
95		74	15	-55.2039680480957	74	35	-238.79171752929688	0
96		80	14	-46.31581497192383	80	39	-251.6475830078125	0
97		95	22	-81.11656188964844	95	49	-312.8843688964844	0
98		118	18	-65.86801147460938	118	59	-357.5229187011719	0
99		134	29	-84.08912658691406	134	66	-416.58074951171875	0
0	step	48	11	-27.93722152709961	48	22	-140.60926818847656	1
1	step	52	11	-28.953365325927734	52	26	-163.6525421142578	0
2	step	52	11	-26.487857818603516	52	25	-171.843505859375	1
3	step	65	15	-37.637943267822266	65	31	-206.29026794433594	1
4	step	37	10	-24.102802276611328	37	18	-123.99187469482422	1
5	step	46	11	-31.41360092163086	46	21	-147.97755432128906	1
6	step	62	15	-39.41438293457031	62	29	-196.71104431152344	1
7	step	35	12	-23.923954010009766	35	19	-120.37667083740234	1
8	step	46	10	-33.841861724853516	46	22	-162.6747589111328	0
9	step	63	12	-32.02788543701172	63	27	-199.68048095703125	1
10	step	93	19	-52.94271469116211	93	42	-282.2359619140625	0
11	step	60	12	-38.37535858154297	60	30	-203.36758422851562	0
12	step	53	13	-32.106292724609375	53	24	-172.80935668945312	0
13	step	49	12	-36.10759735107422	49	23	-163.3039093017578	0
14	step	64	11	-29.38847541809082	64	35	-210.41835021972656	0
15	step	44	10	-31.455020904541016	44	21	-151.58209228515625	1
16	step	90	18	-53.77836227416992	90	37	-273.0709228515625	0
17	step	69	16	-42.806087493896484	69	34	-232.32228088378906	0
18	step	70	15	-40.61770248413086	70	31	-228.52511596679688	0
19	step	83	16	-35.57762908935547	83	35	-252.00912475585938	0
20	step	65	13	-35.572120666503906	65	30	-204.7446746826172	0
21	step	70	11	-29.387317657470703	70	33	-227.9893035888672	0
22	step	65	12	-34.81201934814453	65	37	-217.43850708007812	0
23	step	74	17	-45.26503372192383	74	34	-229.71331787109375	0
24	step	69	13	-42.615394592285156	69	33	-222.26239013671875	1
25	step	66	12	-29.896778106689453	66	34	-207.86880493164062	0
26	step	133	27	-75.66192626953125	133	66	-430.7501220703125	0
27	step	50	9	-36.58509826660156	50	25	-166.2104949951172	0
28	step	124	21	-57.69941329956055	124	55	-383.0555725097656	0
29	step	205	36	-114.3672103881836	205	95	-623.8385620117188	0
30	step	104	19	-56.213897705078125	104	48	-342.072265625	0
31	step	124	21	-52.600440979003906	124	56	-384.4554748535156	0
32	step	91	21	-51.83712387084961	91	40	-263.4158020019531	1
33	step	82	17	-54.44925308227539	82	38	-243.68359375	0
34	step	140	27	-81.36456298828125	140	66	-399.5340270996094	0
35	step	70	16	-54.637413024902344	70	36	-226.93954467773438	0
36	step	83	18	-45.597023010253906	83	40	-273.0612487792969	0
37	step	148	27	-84.19001007080078	148	71	-478.287109375	0
38	step	91	20	-50.3885383605957	91	45	-284.5523986816406	0
39	step	56	14	-36.98693084716797	56	25	-177.27525329589844	1
40	step	146	31	-81.09586334228516	146	69	-426.05780029296875	0
41	step	162	28	-90.02587890625	162	74	-481.9810791015625	0
42	step	72	17	-47.17103958129883	72	34	-206.08677673339844	1
43	step	137	26	-69.82656860351562	137	63	-424.7349853515625	0
44	step	29	8	-44.1298828125	29	17	-109.52323913574219	0
45	step	97	24	-49.25296401977539	97	47	-282.4424133300781	1
46	step	93	18	-52.16108703613281	93	48	-299.77374267578125	0
47	step	82	17	-44.25444793701172	82	36	-262.5921325683594	0
48	step	114	17	-61.24848175048828	114	53	-341.84576416015625	0
49	step	63	13	-50.787513732910156	63	32	-185.0388641357422	0
50	step	135	26	-86.52629089355469	135	64	-410.6871032714844	0
51	step	77	15	-54.41032409667969	77	35	-243.626220703125	0
52	step	140	26	-66.41773986816406	140	64	-428.3730163574219	0
53	step	57	12	-34.22383499145508	57	25	-172.66238403320312	0
54	step	123	21	-85.32579040527344	123	59	-379.0599365234375	0
55	step	85	17	-50.14432144165039	85	39	-255.73135375976562	0
56	step	151	31	-92.17733764648438	151	68	-445.0868225097656	0
57	step	141	26	-83.23876953125	141	60	-380.3782043457031	0
58	step	112	32	-60.456268310546875	112	57	-334.5094299316406	0
59	step	138	29	-80.72598266601562	138	66	-385.4324951171875	0
60	step	70	13	-35.653202056884766	70	31	-224.07330322265625	0
61	step	60	10	-37.39452362060547	60	28	-200.88563537597656	1
62	step	87	19	-52.46434783935547	87	44	-268.4716491699219	0
63	step	155	31	-67.22700500488281	155	75	-493.432861328125	0
64	step	111	27	-88.43778228759766	111	48	-285.4029846191406	0
65	step	118	23	-80.39952850341797	118	55	-353.8905334472656	0
66	step	49	10	-37.599117279052734	49	23	-157.02804565429688	0
67	step	90	20	-60.950889587402344	90	43	-271.04486083984375	0
68	step	68	16	-41.370140075683594	68	33	-226.1498565673828	0
69	step	72	16	-56.90277099609375	72	34	-224.24850463867188	0
70	step	124	25	-79.6325454711914	124	60	-367.7408752441406	1
71	step	116	21	-65.73139190673828	116	54	-351.0451354980469	0
72	step	143	25	-81.18196105957031	143	68	-452.1546630859375	0
73	step	148	30	-73.00980377197266	148	68	-433.47064208984375	0
74	step	66	14	-37.51624298095703	66	31	-209.92449951171875	0
75	step	221	44	-117.86180114746094	221	98	-627.6616821289062	0
76	step	89	19	-56.938880920410156	89	41	-281.6177673339844	0
77	step	202	32	-138.35169982910156	202	94	-620.1790161132812	0
78	step	242	39	-122.52127075195312	242	119	-704.1738891601562	0
79	step	62	15	-50.67271041870117	62	28	-198.04124450683594	1
80	step	179	35	-89.49186706542969	179	83	-534.82373046875	0
81	step	108	20	-69.29358673095703	108	48	-332.3370056152344	0
82	step	83	21	-47.37077713012695	83	35	-223.19696044921875	1
83	step	101	22	-67.709716796875	101	46	-289.717529296875	0
84	step	76	14	-59.89448928833008	76	37	-239.978759765625	0
85	step	100	19	-63.276084899902344	100	48	-316.48394775390625	0
86	step	183	39	-113.96508026123047	183	82	-519.1609497070312	0
87	step	161	31	-99.6169662475586	161	74	-483.0204162597656	0
88	step	67	14	-42.1377067565918	67	32	-213.91233825683594	0
89	step	44	10	-36.54104995727539	44	21	-142.19284057617188	0
90	step	58	12	-36.95106887817383	58	27	-178.13400268554688	1
91	step	249	46	-113.09381866455078	249	117	-707.9033203125	0
92	step	138	26	-81.65805053710938	138	67	-443.46466064453125	0
93	step	154	27	-103.782470703125	154	73	-477.74676513671875	0
94	step	128	26	-46.309505462646484	128	55	-381.60333251953125	0
95	step	74	15	-55.2039680480957	74	35	-238.79171752929688	0
96	step	80	14	-46.31581497192383	80	39	-251.6475830078125	1
97	step	95	22	-81.11656188964844	95	49	-312.8843688964844	0
98	step	118	18	-65.86801147460938	118	59	-357.5229187011719	0
99	step	134	29	-84.08912658691406	134	66	-416.58074951171875	0
0	cot	48	11	-27.93722152709961	48	22	-140.60926818847656	1
1	cot	52	11	-28.953365325927734	52	26	-163.6525421142578	0
2	cot	52	11	-26.487857818603516	52	25	-171.843505859375	0
3	cot	65	15	-37.637943267822266	65	31	-206.29026794433594	1
4	cot	37	10	-24.102802276611328	37	18	-123.99187469482422	1
5	cot	46	11	-31.41360092163086	46	21	-147.97755432128906	0
6	cot	62	15	-39.41438293457031	62	29	-196.71104431152344	1
7	cot	35	12	-23.923954010009766	35	19	-120.37667083740234	1
8	cot	46	10	-33.841861724853516	46	22	-162.6747589111328	0
9	cot	63	12	-32.02788543701172	63	27	-199.68048095703125	1
10	cot	93	19	-52.94271469116211	93	42	-282.2359619140625	0
11	cot	60	12	-38.37535858154297	60	30	-203.36758422851562	0
12	cot	53	13	-32.106292724609375	53	24	-172.80935668945312	1
13	cot	49	12	-36.10759735107422	49	23	-163.3039093017578	0
14	cot	64	11	-29.38847541809082	64	35	-210.41835021972656	0
15	cot	44	10	-31.455020904541016	44	21	-151.58209228515625	1
16	cot	90	18	-53.77836227416992	90	37	-273.0709228515625	0
17	cot	69	16	-42.806087493896484	69	34	-232.32228088378906	0
18	cot	70	15	-40.61770248413086	70	31	-228.52511596679688	0
19	cot	83	16	-35.57762908935547	83	35	-252.00912475585938	0
20	cot	65	13	-35.572120666503906	65	30	-204.7446746826172	0
21	cot	70	11	-29.387317657470703	70	33	-227.9893035888672	0
22	cot	65	12	-34.81201934814453	65	37	-217.43850708007812	0
23	cot	74	17	-45.26503372192383	74	34	-229.71331787109375	0
24	cot	69	13	-42.615394592285156	69	33	-222.26239013671875	0
25	cot	66	12	-29.896778106689453	66	34	-207.86880493164062	0
26	cot	133	27	-75.66192626953125	133	66	-430.7501220703125	0
27	cot	50	9	-36.58509826660156	50	25	-166.2104949951172	0
28	cot	124	21	-57.69941329956055	124	55	-383.0555725097656	0
29	cot	205	36	-114.3672103881836	205	95	-623.8385620117188	0
30	cot	104	19	-56.213897705078125	104	48	-342.072265625	0
31	cot	124	21	-52.600440979003906	124	56	-384.4554748535156	0
32	cot	91	21	-51.83712387084961	91	40	-263.4158020019531	0
33	cot	82	17	-54.44925308227539	82	38	-243.68359375	0
34	cot	140	27	-81.36456298828125	140	66	-399.5340270996094	0
35	cot	70	16	-54.637413024902344	70	36	-226.93954467773438	0
36	cot	83	18	-45.597023010253906	83	40	-273.0612487792969	0
37	cot	148	27	-84.19001007080078	148	71	-478.287109375	0
38	cot	91	20	-50.3885383605957	91	45	-284.5523986816406	0
39	cot	56	14	-36.98693084716797	56	25	-177.27525329589844	0
40	cot	146	31	-81.09586334228516	146	69	-426.05780029296875	0
41	cot	162	28	-90.02587890625	162	74	-481.9810791015625	0
42	cot	72	17	-47.17103958129883	72	34	-206.08677673339844	1
43	cot	137	26	-69.82656860351562	137	63	-424.7349853515625	0
44	cot	29	8	-44.1298828125	29	17	-109.52323913574219	0
45	cot	97	24	-49.25296401977539	97	47	-282.4424133300781	0
46	cot	93	18	-52.16108703613281	93	48	-299.77374267578125	0
47	cot	82	17	-44.25444793701172	82	36	-262.5921325683594	0
48	cot	114	17	-61.24848175048828	114	53	-341.84576416015625	0
49	cot	63	13	-50.787513732910156	63	32	-185.0388641357422	0
50	cot	135	26	-86.52629089355469	135	64	-410.6871032714844	0
51	cot	77	15	-54.41032409667969	77	35	-243.626220703125	0
52	cot	140	26	-66.41773986816406	140	64	-428.3730163574219	0
53	cot	57	12	-34.22383499145508	57	25	-172.66238403320312	0
54	cot	123	21	-85.32579040527344	123	59	-379.0599365234375	0
55	cot	85	17	-50.14432144165039	85	39	-255.73135375976562	0
56	cot	151	31	-92.17733764648438	151	68	-445.0868225097656	0
57	cot	141	26	-83.23876953125	141	60	-380.3782043457031	0
58	cot	112	32	-60.456268310546875	112	57	-334.5094299316406	0
59	cot	138	29	-80.72598266601562	138	66	-385.4324951171875	0
60	cot	70	13	-35.653202056884766	70	31	-224.07330322265625	0
61	cot	60	10	-37.39452362060547	60	28	-200.88563537597656	0
62	cot	87	19	-52.46434783935547	87	44	-268.4716491699219	0
63	cot	155	31	-67.22700500488281	155	75	-493.432861328125	0
64	cot	111	27	-88.43778228759766	111	48	-285.4029846191406	0
65	cot	118	23	-80.39952850341797	118	55	-353.8905334472656	0
66	cot	49	10	-37.599117279052734	49	23	-157.02804565429688	1
67	cot	90	20	-60.950889587402344	90	43	-271.04486083984375	0
68	cot	68	16	-41.370140075683594	68	33	-226.1498565673828	0
69	cot	72	16	-56.90277099609375	72	34	-224.24850463867188	0
70	cot	124	25	-79.6325454711914	124	60	-367.7408752441406	0
71	cot	116	21	-65.73139190673828	116	54	-351.0451354980469	0
72	cot	143	25	-81.18196105957031	143	68	-452.1546630859375	0
73	cot	148	30	-73.00980377197266	148	68	-433.47064208984375	0
74	cot	66	14	-37.51624298095703	66	31	-209.92449951171875	0
75	cot	221	44	-117.86180114746094	221	98	-627.6616821289062	0
76	cot	89	19	-56.938880920410156	89	41	-281.6177673339844	0
77	cot	202	32	-138.35169982910156	202	94	-620.1790161132812	0
78	cot	242	39	-122.52127075195312	242	119	-704.1738891601562	0
79	cot	62	15	-50.67271041870117	62	28	-198.04124450683594	0
