index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	64	42	-125.83950805664062	64	42	-107.58109283447266	0
1	58	38	-108.06063842773438	58	38	-99.96964263916016	1
2	52	33	-103.18387603759766	52	33	-91.31629943847656	1
3	91	59	-170.39065551757812	91	59	-136.21243286132812	1
4	82	54	-148.76451110839844	82	54	-127.16949462890625	0
5	117	77	-210.45521545410156	117	77	-160.26760864257812	0
6	99	65	-180.25482177734375	99	65	-147.64401245117188	0
7	64	42	-117.53739929199219	64	42	-93.75889587402344	1
8	75	49	-137.96243286132812	75	49	-112.82384490966797	1
9	57	37	-117.23685455322266	57	37	-96.26825714111328	0
10	105	69	-187.10079956054688	105	69	-148.084228515625	1
11	94	62	-163.26254272460938	94	62	-131.10536193847656	1
12	99	65	-180.70108032226562	99	65	-135.41966247558594	0
13	64	42	-132.32321166992188	64	42	-105.74618530273438	0
14	99	65	-184.2787628173828	99	65	-136.90516662597656	1
15	58	38	-121.77809143066406	58	38	-109.43122100830078	1
16	98	64	-185.914306640625	98	64	-141.98291015625	1
17	67	44	-136.46900939941406	67	44	-101.38616943359375	0
18	87	57	-156.46746826171875	87	57	-126.28712463378906	1
19	55	36	-111.70205688476562	55	36	-89.87353515625	1
20	64	42	-123.53658294677734	64	42	-100.3425521850586	1
21	82	54	-154.21304321289062	82	54	-129.82846069335938	1
22	87	57	-166.81602478027344	87	57	-126.05664825439453	1
23	97	63	-182.1480712890625	97	63	-138.24859619140625	0
24	93	61	-172.94664001464844	93	61	-133.13832092285156	1
25	87	57	-163.98997497558594	87	57	-122.0704116821289	1
26	70	46	-127.8712158203125	70	46	-107.02948760986328	1
27	106	70	-200.73263549804688	106	70	-156.5194549560547	1
28	56	37	-119.48480987548828	56	37	-93.83865356445312	1
29	105	69	-191.2367401123047	105	69	-140.97727966308594	1
30	105	69	-187.1450958251953	105	69	-143.85350036621094	0
31	74	48	-145.6415252685547	74	48	-108.50646209716797	0
32	75	49	-138.76487731933594	75	49	-109.8354721069336	1
33	70	46	-130.2390899658203	70	46	-109.07821655273438	1
34	92	60	-169.86302185058594	92	60	-135.5150909423828	0
35	76	50	-135.48623657226562	76	50	-115.09748840332031	1
36	64	42	-121.29867553710938	64	42	-100.17957305908203	1
37	92	60	-163.28128051757812	92	60	-137.80068969726562	1
38	63	41	-121.82832336425781	63	41	-92.52214050292969	1
39	117	77	-197.2064666748047	117	77	-154.93275451660156	0
40	72	46	-132.7354736328125	72	46	-107.35318756103516	0
41	93	61	-165.14364624023438	93	61	-126.74549865722656	1
42	81	53	-143.3394317626953	81	53	-117.00428771972656	0
43	64	42	-131.7145538330078	64	42	-109.86080169677734	1
44	82	54	-146.62083435058594	82	54	-121.08776092529297	1
45	69	45	-135.17501831054688	69	45	-109.64161682128906	1
46	110	72	-211.33578491210938	110	72	-155.3760986328125	0
47	118	78	-212.13943481445312	118	78	-169.40048217773438	1
48	87	57	-158.53494262695312	87	57	-127.93086242675781	0
49	92	60	-173.43182373046875	92	60	-135.96177673339844	1
50	64	42	-123.2896499633789	64	42	-106.49845123291016	1
51	102	66	-178.98721313476562	102	66	-146.3788604736328	0
52	104	68	-191.90322875976562	104	68	-136.8426513671875	0
53	101	66	-189.2711181640625	101	66	-144.2629852294922	1
54	100	66	-179.4396209716797	100	66	-141.0691375732422	1
55	116	76	-210.3658447265625	116	76	-157.5471649169922	0
56	110	72	-200.85084533691406	110	72	-152.17767333984375	1
57	92	60	-170.83718872070312	92	60	-135.78807067871094	1
58	110	72	-207.03695678710938	110	72	-154.44908142089844	1
59	91	60	-173.37290954589844	91	60	-130.92147827148438	1
60	93	61	-164.14297485351562	93	61	-124.30379486083984	0
61	114	74	-213.7344970703125	114	74	-158.54116821289062	0
62	58	38	-113.77021026611328	58	38	-93.7638931274414	1
63	81	53	-150.92672729492188	81	53	-117.94441986083984	1
64	93	61	-166.56443786621094	93	61	-133.7623291015625	1
65	67	43	-136.09225463867188	67	43	-109.13758850097656	0
66	108	70	-195.0548553466797	108	70	-154.87184143066406	0
67	118	78	-215.6949462890625	118	78	-170.04879760742188	1
68	76	50	-143.04757690429688	76	50	-120.47811889648438	1
69	104	68	-189.51626586914062	104	68	-146.83261108398438	1
70	103	67	-185.563720703125	103	67	-144.9565887451172	0
71	98	64	-187.7633056640625	98	64	-144.59678649902344	1
72	75	49	-140.81642150878906	75	49	-107.88999938964844	1
