index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	91	31	-127.50792694091797	91	31	-116.68226623535156	1
1	120	35	-132.46456909179688	120	35	-119.8327407836914	1
2	153	42	-177.43423461914062	153	42	-170.79852294921875	0
3	99	30	-134.7862548828125	99	30	-119.60803985595703	1
4	99	30	-116.39552307128906	99	30	-120.16801452636719	1
5	188	55	-220.0435791015625	188	55	-197.01541137695312	1
6	99	29	-106.35845947265625	99	29	-105.80565643310547	1
7	115	35	-144.1119842529297	115	35	-129.4136505126953	0
8	116	34	-137.12843322753906	116	34	-129.18960571289062	0
9	118	33	-136.2429656982422	118	33	-134.61187744140625	1
10	113	34	-126.05485534667969	113	34	-121.4381332397461	0
11	117	36	-130.28187561035156	117	36	-126.56897735595703	1
12	141	45	-176.95608520507812	141	45	-165.6710968017578	1
13	135	41	-156.85223388671875	135	41	-146.60215759277344	1
14	172	50	-189.594970703125	172	50	-173.05238342285156	1
15	159	46	-179.86590576171875	159	46	-176.11106872558594	0
16	167	49	-185.59231567382812	167	49	-181.44839477539062	0
17	83	29	-121.16777038574219	83	29	-119.53092956542969	1
18	177	55	-200.10540771484375	177	55	-166.55551147460938	1
19	133	38	-154.75904846191406	133	38	-130.9075164794922	1
20	107	34	-129.36729431152344	107	34	-127.486328125	1
21	111	35	-145.6895751953125	111	35	-122.15086364746094	1
22	188	57	-214.23739624023438	188	57	-203.13296508789062	1
23	115	36	-145.07225036621094	115	36	-132.0218048095703	1
24	128	41	-146.59898376464844	128	41	-136.93539428710938	1
25	80	24	-105.84819030761719	80	24	-98.83629608154297	1
26	104	30	-133.609619140625	104	30	-120.79267120361328	1
27	133	36	-157.58880615234375	133	36	-141.65574645996094	1
28	91	27	-102.87602233886719	91	27	-100.73359680175781	1
29	150	45	-177.9429168701172	150	45	-161.31680297851562	1
30	144	44	-178.34805297851562	144	44	-154.63661193847656	0
31	154	42	-133.71873474121094	154	42	-139.4280548095703	1
32	185	61	-226.09230041503906	185	61	-204.3208465576172	0
33	156	43	-160.26109313964844	156	43	-152.39842224121094	0
34	176	49	-189.66464233398438	176	49	-173.7613525390625	1
35	174	45	-173.19802856445312	174	45	-161.8301239013672	1
36	109	31	-134.4842529296875	109	31	-125.90852355957031	1
37	172	53	-216.52005004882812	172	53	-189.2060089111328	1
38	141	39	-156.33197021484375	141	39	-150.518310546875	1
39	170	54	-213.68356323242188	170	54	-183.80499267578125	1
40	200	54	-208.1848602294922	200	54	-199.7306365966797	0
41	165	47	-175.0460205078125	165	47	-157.93243408203125	1
42	119	38	-137.72171020507812	119	38	-134.53289794921875	1
43	163	51	-184.34945678710938	163	51	-158.84078979492188	0
44	168	50	-187.6585235595703	168	50	-168.30584716796875	0
45	107	31	-137.32174682617188	107	31	-132.65130615234375	0
46	98	28	-117.9251708984375	98	28	-108.98735046386719	1
47	101	30	-121.37861633300781	101	30	-123.42112731933594	1
48	124	33	-139.48385620117188	124	33	-134.96824645996094	1
49	204	62	-230.225830078125	204	62	-193.67095947265625	1
50	145	41	-154.5294647216797	145	41	-149.3229217529297	1
51	134	41	-156.8460693359375	134	41	-152.28662109375	1
52	182	51	-181.9321746826172	182	51	-168.54226684570312	0
53	199	63	-230.58340454101562	199	63	-220.7333526611328	0
54	99	34	-125.20987701416016	99	34	-106.9116439819336	1
55	112	33	-146.206787109375	112	33	-133.4501953125	0
56	99	31	-131.53033447265625	99	31	-111.77027893066406	1
57	101	31	-116.89132690429688	101	31	-114.51737976074219	0
58	89	25	-102.01311492919922	89	25	-99.59906005859375	0
59	165	47	-182.17535400390625	165	47	-169.89346313476562	1
60	101	32	-146.54525756835938	101	32	-126.47021484375	0
61	152	40	-161.60128784179688	152	40	-139.8922119140625	1
62	93	30	-126.99273681640625	93	30	-115.32938385009766	1
63	155	55	-187.93258666992188	155	55	-164.2440185546875	1
64	176	59	-222.18515014648438	176	59	-187.43408203125	1
65	142	43	-173.3658905029297	142	43	-148.3892059326172	1
66	138	37	-144.5596466064453	138	37	-138.51109313964844	1
67	156	47	-171.18106079101562	156	47	-164.15106201171875	1
68	182	59	-205.4493865966797	182	59	-192.8582305908203	1
69	126	39	-150.52891540527344	126	39	-136.28358459472656	1
70	116	35	-136.8502960205078	116	35	-134.68775939941406	1
71	167	51	-200.78204345703125	167	51	-188.18600463867188	1
72	193	58	-219.32907104492188	193	58	-189.26463317871094	1
73	193	57	-222.8382110595703	193	57	-200.36859130859375	0
74	145	48	-187.09193420410156	145	48	-166.71807861328125	1
75	116	36	-138.52813720703125	116	36	-142.98049926757812	1
76	116	36	-143.7879638671875	116	36	-132.1826171875	0
77	197	63	-233.7901611328125	197	63	-193.9073944091797	1
78	135	38	-147.0317840576172	135	38	-149.9512939453125	1
79	150	44	-182.23458862304688	150	44	-173.6368408203125	1
80	125	35	-155.00254821777344	125	35	-132.74583435058594	1
81	178	57	-215.7241668701172	178	57	-198.45286560058594	1
82	158	47	-174.53280639648438	158	47	-166.7500762939453	1
83	105	31	-130.9320068359375	105	31	-121.04421997070312	1
84	115	30	-135.62916564941406	115	30	-125.75625610351562	1
85	144	49	-185.82205200195312	144	49	-167.89117431640625	0
86	189	59	-219.0389404296875	189	59	-201.6352081298828	1
87	100	33	-140.83920288085938	100	33	-117.23294067382812	1
88	129	39	-143.0343780517578	129	39	-132.3617706298828	1
89	194	55	-208.87425231933594	194	55	-194.6575469970703	1
90	208	59	-217.1366424560547	208	59	-186.0321807861328	0
91	128	37	-164.17303466796875	128	37	-134.3894500732422	1
92	128	35	-138.60385131835938	128	35	-136.5693359375	1
93	129	37	-150.12710571289062	129	37	-136.58746337890625	1
94	105	32	-137.0594024658203	105	32	-111.93204498291016	1
95	152	44	-164.6989288330078	152	44	-164.36558532714844	1
96	92	26	-107.19001007080078	92	26	-106.56837463378906	1
97	105	30	-127.64945220947266	105	30	-122.56440734863281	0
98	122	38	-151.3140869140625	122	38	-138.4681854248047	1
99	133	40	-146.84091186523438	133	40	-149.40977478027344	1
