index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	91	31	-127.50792694091797	91	31	-126.84663391113281	0
1	120	35	-132.46456909179688	120	35	-123.45843505859375	1
2	153	42	-177.43423461914062	153	42	-179.45013427734375	0
3	99	30	-134.7862548828125	99	30	-137.05764770507812	0
4	99	30	-116.39552307128906	99	30	-121.01505279541016	1
5	188	55	-220.0435791015625	188	55	-211.621826171875	0
6	99	29	-106.35845947265625	99	29	-112.59830474853516	1
7	115	35	-144.1119842529297	115	35	-137.82763671875	1
8	116	34	-137.12843322753906	116	34	-142.4168243408203	1
9	118	33	-136.2429656982422	118	33	-140.596435546875	1
10	113	34	-126.05485534667969	113	34	-129.50830078125	0
11	117	36	-130.28187561035156	117	36	-131.87893676757812	0
12	141	45	-176.95608520507812	141	45	-173.84829711914062	1
13	135	41	-156.85223388671875	135	41	-159.62667846679688	0
14	172	50	-189.594970703125	172	50	-192.42691040039062	1
15	159	46	-179.86590576171875	159	46	-177.4822998046875	0
16	167	49	-185.59231567382812	167	49	-185.3148651123047	0
17	83	29	-121.16777038574219	83	29	-122.52793884277344	0
18	177	55	-200.10540771484375	177	55	-197.95895385742188	0
19	133	38	-154.75904846191406	133	38	-144.82470703125	0
20	107	34	-129.36729431152344	107	34	-123.5979995727539	1
21	111	35	-145.6895751953125	111	35	-138.98448181152344	0
22	188	57	-214.23739624023438	188	57	-214.3192596435547	0
23	115	36	-145.07225036621094	115	36	-146.64561462402344	0
24	128	41	-146.59898376464844	128	41	-148.7703399658203	1
25	80	24	-105.84819030761719	80	24	-99.8902816772461	0
26	104	30	-133.609619140625	104	30	-139.07525634765625	1
27	133	36	-157.58880615234375	133	36	-156.68927001953125	1
28	91	27	-102.87602233886719	91	27	-103.52732849121094	0
29	150	45	-177.9429168701172	150	45	-181.65110778808594	0
30	144	44	-178.34805297851562	144	44	-172.28302001953125	0
31	154	42	-133.71873474121094	154	42	-144.2432403564453	0
32	185	61	-226.09230041503906	185	61	-234.31378173828125	0
33	156	43	-160.26109313964844	156	43	-153.0386505126953	0
34	176	49	-189.66464233398438	176	49	-191.0581512451172	0
35	174	45	-173.19802856445312	174	45	-178.9056854248047	0
36	109	31	-134.4842529296875	109	31	-126.52835845947266	1
37	172	53	-216.52005004882812	172	53	-210.9047088623047	0
38	141	39	-156.33197021484375	141	39	-145.75160217285156	1
