index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ascending	64	64	-121.90702056884766	64	64	-104.21918487548828	1
1	ascending	58	58	-104.33441162109375	58	58	-96.52241516113281	1
2	ascending	52	52	-99.49874114990234	52	52	-88.1674575805664	0
3	ascending	91	91	-166.68650817871094	91	91	-133.25128173828125	0
4	ascending	82	82	-145.1361083984375	82	82	-124.06780242919922	1
5	ascending	117	117	-206.9476318359375	117	117	-157.55120849609375	1
6	ascending	99	99	-176.64971923828125	99	99	-144.69113159179688	0
7	ascending	64	64	-113.8643569946289	64	64	-90.82893371582031	1
8	ascending	75	75	-134.33184814453125	75	75	-109.77455139160156	1
9	ascending	57	57	-113.19420623779297	57	57	-92.94866180419922	1
10	ascending	105	105	-183.43214416503906	105	105	-145.1806182861328	1
11	ascending	94	94	-159.78887939453125	94	94	-128.37399291992188	1
12	ascending	99	99	-177.1579132080078	99	99	-132.71127319335938	0
13	ascending	64	64	-128.1881103515625	64	64	-102.44161987304688	1
14	ascending	99	99	-180.4396209716797	99	99	-134.052978515625	0
15	ascending	58	58	-117.42887115478516	58	58	-105.65773010253906	1
16	ascending	98	98	-182.19601440429688	98	98	-139.14324951171875	1
17	ascending	67	67	-132.45521545410156	67	67	-98.40422821044922	0
18	ascending	87	87	-152.8286895751953	87	87	-123.3502197265625	1
19	ascending	55	55	-107.71269989013672	55	55	-86.66376495361328	1
20	ascending	64	64	-119.67606353759766	64	64	-97.20684814453125	1
21	ascending	82	82	-150.3577117919922	82	82	-126.49952697753906	1
22	ascending	87	87	-162.93658447265625	87	87	-123.1250991821289	0
23	ascending	97	97	-178.3533172607422	97	97	-135.368408203125	0
24	ascending	93	93	-169.1869354248047	93	93	-130.2440185546875	1
25	ascending	87	87	-160.17625427246094	87	87	-119.16397094726562	1
26	ascending	70	70	-124.21775817871094	70	70	-103.97149658203125	1
27	ascending	106	106	-196.94522094726562	106	106	-153.56625366210938	0
28	ascending	56	56	-115.36463928222656	56	56	-90.60283660888672	1
29	ascending	105	105	-187.6284942626953	105	105	-138.31732177734375	1
30	ascending	105	105	-183.54615783691406	105	105	-141.0870819091797	1
31	ascending	74	74	-141.7052764892578	74	74	-105.57386016845703	1
32	ascending	75	75	-135.0144805908203	75	75	-106.86695098876953	1
33	ascending	70	70	-126.5179672241211	70	70	-105.9616928100586	1
34	ascending	92	92	-166.00250244140625	92	92	-132.43521118164062	0
35	ascending	76	76	-132.01222229003906	76	76	-112.14627075195312	1
36	ascending	64	64	-117.50809478759766	64	64	-97.04895782470703	1
37	ascending	92	92	-159.65280151367188	92	92	-134.7384490966797	0
38	ascending	63	63	-117.89837646484375	63	63	-89.53755950927734	1
39	ascending	117	117	-193.7467041015625	117	117	-152.21463012695312	0
40	ascending	72	72	-129.04837036132812	72	72	-104.37115478515625	0
41	ascending	93	93	-161.47378540039062	93	93	-123.9289321899414	1
42	ascending	81	81	-139.75595092773438	81	81	-114.07918548583984	0
43	ascending	64	64	-127.4656982421875	64	64	-106.31690979003906	1
44	ascending	82	82	-143.04470825195312	82	82	-118.1343994140625	1
45	ascending	69	69	-131.31288146972656	69	69	-106.41686248779297	1
46	ascending	110	110	-207.49331665039062	110	110	-152.55108642578125	0
47	ascending	118	118	-208.54385375976562	118	118	-166.52928161621094	1
48	ascending	87	87	-155.01193237304688	87	87	-125.0233383178711	1
49	ascending	92	92	-169.74179077148438	92	92	-133.00608825683594	0
50	ascending	64	64	-119.31256866455078	64	64	-103.06301879882812	1
51	ascending	102	102	-175.54515075683594	102	102	-143.5638885498047	0
52	ascending	104	104	-188.28240966796875	104	104	-134.26071166992188	0
53	ascending	101	101	-185.63128662109375	101	101	-141.4886932373047	1
54	ascending	100	100	-175.53875732421875	100	100	-138.00242614746094	1
55	ascending	116	116	-206.80032348632812	116	116	-154.83084106445312	0
56	ascending	110	110	-197.26422119140625	110	110	-149.41079711914062	1
57	ascending	92	92	-167.04080200195312	92	92	-132.7705535888672	0
58	ascending	110	110	-203.13059997558594	110	110	-151.53494262695312	1
59	ascending	91	91	-169.6039276123047	91	91	-128.0753631591797	0
60	ascending	93	93	-160.65057373046875	93	93	-121.6015396118164	0
61	ascending	114	114	-209.91781616210938	114	114	-155.7100830078125	1
62	ascending	58	58	-109.84709930419922	58	58	-90.53065490722656	1
63	ascending	81	81	-147.24559020996094	81	81	-115.06773376464844	1
64	ascending	93	93	-163.0205078125	93	93	-130.91632080078125	1
65	ascending	67	67	-132.2039031982422	67	67	-105.92765808105469	0
66	ascending	108	108	-191.50840759277344	108	108	-152.10626220703125	0
67	ascending	118	118	-211.97605895996094	118	118	-167.11692810058594	1
68	ascending	76	76	-139.28317260742188	76	76	-117.30764770507812	1
69	ascending	104	104	-185.80026245117188	104	104	-143.9535369873047	1
70	ascending	103	103	-181.99517822265625	103	103	-142.16896057128906	0
71	ascending	98	98	-183.931396484375	98	98	-141.6458282470703	1
72	ascending	75	75	-137.1107177734375	75	75	-104.97406005859375	1
73	ascending	64	64	-123.20808410644531	64	64	-95.95526885986328	1
74	ascending	57	57	-111.69860076904297	57	57	-90.36963653564453	1
75	ascending	63	63	-122.776611328125	63	63	-94.56352996826172	1
76	ascending	57	57	-109.2295913696289	57	57	-93.54935455322266	1
77	ascending	102	102	-194.414794921875	102	102	-147.2880859375	1
78	ascending	67	67	-128.3658905029297	67	67	-106.31781768798828	1
79	ascending	75	75	-143.01406860351562	75	75	-105.21282958984375	1
80	ascending	88	88	-154.47303771972656	88	88	-133.43399047851562	1
81	ascending	69	69	-129.30191040039062	69	69	-98.98698425292969	1
82	ascending	81	81	-148.8378143310547	81	81	-114.50695037841797	1
83	ascending	98	98	-181.68386840820312	98	98	-137.15724182128906	1
84	ascending	99	99	-176.2460174560547	99	99	-133.0743865966797	0
85	ascending	87	87	-155.2436981201172	87	87	-113.05194854736328	1
86	ascending	86	86	-161.33868408203125	86	86	-125.01095581054688	0
87	ascending	94	94	-170.93087768554688	94	94	-134.77500915527344	1
88	ascending	93	93	-171.47361755371094	93	93	-133.29148864746094	1
89	ascending	90	90	-169.66342163085938	90	90	-128.55929565429688	0
90	ascending	109	109	-201.4984893798828	109	109	-154.96694946289062	1
91	ascending	103	103	-183.77174377441406	103	103	-147.52633666992188	1
92	ascending	116	116	-204.52407836914062	116	116	-152.32508850097656	1
93	ascending	70	70	-127.91339874267578	70	70	-102.6851806640625	1
94	ascending	111	111	-197.13926696777344	111	111	-152.09210205078125	1
95	ascending	87	87	-153.97438049316406	87	87	-122.32538604736328	1
96	ascending	99	99	-170.48008728027344	99	99	-143.55996704101562	0
97	ascending	103	103	-187.7477569580078	103	103	-141.59474182128906	1
98	ascending	75	75	-129.47145080566406	75	75	-107.60003662109375	0
99	ascending	63	63	-119.84336853027344	63	63	-96.11164093017578	1
0	descending	64	64	-121.90702056884766	64	64	-113.57241821289062	1
1	descending	58	58	-104.33441162109375	58	58	-95.6978759765625	0
2	descending	52	52	-99.49874114990234	52	52	-98.30085754394531	1
3	descending	91	91	-166.68650817871094	91	91	-141.9584197998047	0
4	descending	82	82	-145.1361083984375	82	82	-131.08258056640625	1
5	descending	117	117	-206.9476318359375	117	117	-168.5682830810547	1
6	descending	99	99	-176.64971923828125	99	99	-145.9439239501953	0
7	descending	64	64	-113.8643569946289	64	64	-99.79991912841797	1
8	descending	75	75	-134.33184814453125	75	75	-119.99617004394531	0
9	descending	57	57	-113.19420623779297	57	57	-101.04177856445312	0
10	descending	105	105	-183.43214416503906	105	105	-160.23623657226562	0
11	descending	94	94	-159.78887939453125	94	94	-138.6323699951172	1
12	descending	99	99	-177.1579132080078	99	99	-147.19456481933594	0
13	descending	64	64	-128.1881103515625	64	64	-112.76972198486328	0
14	descending	99	99	-180.4396209716797	99	99	-154.33470153808594	1
15	descending	58	58	-117.42887115478516	58	58	-100.80919647216797	1
16	descending	98	98	-182.19601440429688	98	98	-160.07237243652344	1
17	descending	67	67	-132.45521545410156	67	67	-112.83172607421875	0
18	descending	87	87	-152.8286895751953	87	87	-132.3468017578125	1
19	descending	55	55	-107.71269989013672	55	55	-105.96366119384766	1
20	descending	64	64	-119.67606353759766	64	64	-103.85662841796875	1
21	descending	82	82	-150.3577117919922	82	82	-125.20317077636719	1
22	descending	87	87	-162.93658447265625	87	87	-131.0467529296875	1
23	descending	97	97	-178.3533172607422	97	97	-145.7152557373047	1
24	descending	93	93	-169.1869354248047	93	93	-143.874755859375	1
25	descending	87	87	-160.17625427246094	87	87	-139.82806396484375	1
26	descending	70	70	-124.21775817871094	70	70	-115.29130554199219	0
27	descending	106	106	-196.94522094726562	106	106	-163.737548828125	0
28	descending	56	56	-115.36463928222656	56	56	-93.46212005615234	0
29	descending	105	105	-187.6284942626953	105	105	-148.5858917236328	1
30	descending	105	105	-183.54615783691406	105	105	-159.7476348876953	0
31	descending	74	74	-141.7052764892578	74	74	-119.68585205078125	0
32	descending	75	75	-135.0144805908203	75	75	-116.06806945800781	1
33	descending	70	70	-126.5179672241211	70	70	-110.19278717041016	1
34	descending	92	92	-166.00250244140625	92	92	-146.4059295654297	0
35	descending	76	76	-132.01222229003906	76	76	-117.37189483642578	1
36	descending	64	64	-117.50809478759766	64	64	-104.71562957763672	1
37	descending	92	92	-159.65280151367188	92	92	-140.85621643066406	1
38	descending	63	63	-117.89837646484375	63	63	-105.60723876953125	0
39	descending	117	117	-193.7467041015625	117	117	-169.74485778808594	0
40	descending	72	72	-129.04837036132812	72	72	-110.05815887451172	0
41	descending	93	93	-161.47378540039062	93	93	-143.9161834716797	1
42	descending	81	81	-139.75595092773438	81	81	-134.89930725097656	0
43	descending	64	64	-127.4656982421875	64	64	-113.30476379394531	1
44	descending	82	82	-143.04470825195312	82	82	-121.94039916992188	1
45	descending	69	69	-131.31288146972656	69	69	-116.3773193359375	1
46	descending	110	110	-207.49331665039062	110	110	-160.79493713378906	0
47	descending	118	118	-208.54385375976562	118	118	-173.68157958984375	1
48	descending	87	87	-155.01193237304688	87	87	-140.44122314453125	0
49	descending	92	92	-169.74179077148438	92	92	-145.7662353515625	0
50	descending	64	64	-119.31256866455078	64	64	-106.9798355102539	0
51	descending	102	102	-175.54515075683594	102	102	-153.8881072998047	0
52	descending	104	104	-188.28240966796875	104	104	-152.1767120361328	0
53	descending	101	101	-185.63128662109375	101	101	-157.08163452148438	0
