index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ascending	64	66	-121.90702056884766	64	66	-104.21918487548828	1
1	ascending	58	60	-104.33441162109375	58	60	-96.52241516113281	0
2	ascending	52	54	-99.49874114990234	52	54	-88.1674575805664	0
3	ascending	91	93	-166.68650817871094	91	93	-133.25128173828125	0
4	ascending	82	84	-145.1361083984375	82	84	-124.06780242919922	1
5	ascending	117	119	-206.9476318359375	117	119	-157.55120849609375	0
6	ascending	99	101	-176.64971923828125	99	101	-144.69113159179688	0
7	ascending	64	66	-113.8643569946289	64	66	-90.82893371582031	1
8	ascending	75	77	-134.33184814453125	75	77	-109.77455139160156	0
9	ascending	57	59	-113.19420623779297	57	59	-92.94866180419922	0
10	ascending	105	107	-183.43214416503906	105	107	-145.1806182861328	0
11	ascending	94	96	-159.78887939453125	94	96	-128.37399291992188	1
12	ascending	99	101	-177.1579132080078	99	101	-132.71127319335938	0
13	ascending	64	66	-128.1881103515625	64	66	-102.44161987304688	0
14	ascending	99	101	-180.4396209716797	99	101	-134.052978515625	0
15	ascending	58	60	-117.42887115478516	58	60	-105.65773010253906	1
16	ascending	98	100	-182.19601440429688	98	100	-139.14324951171875	0
17	ascending	67	69	-132.45521545410156	67	69	-98.40422821044922	0
18	ascending	87	89	-152.8286895751953	87	89	-123.3502197265625	0
19	ascending	55	57	-107.71269989013672	55	57	-86.66376495361328	0
20	ascending	64	66	-119.67606353759766	64	66	-97.20684814453125	0
21	ascending	82	84	-150.3577117919922	82	84	-126.49952697753906	1
22	ascending	87	89	-162.93658447265625	87	89	-123.1250991821289	0
23	ascending	97	99	-178.3533172607422	97	99	-135.368408203125	0
24	ascending	93	95	-169.1869354248047	93	95	-130.2440185546875	1
25	ascending	87	89	-160.17625427246094	87	89	-119.16397094726562	0
26	ascending	70	72	-124.21775817871094	70	72	-103.97149658203125	1
27	ascending	106	108	-196.94522094726562	106	108	-153.56625366210938	0
28	ascending	56	58	-115.36463928222656	56	58	-90.60283660888672	1
29	ascending	105	107	-187.6284942626953	105	107	-138.31732177734375	0
30	ascending	105	107	-183.54615783691406	105	107	-141.0870819091797	0
31	ascending	74	76	-141.7052764892578	74	76	-105.57386016845703	0
32	ascending	75	77	-135.0144805908203	75	77	-106.86695098876953	0
33	ascending	70	72	-126.5179672241211	70	72	-105.9616928100586	1
34	ascending	92	94	-166.00250244140625	92	94	-132.43521118164062	0
35	ascending	76	78	-132.01222229003906	76	78	-112.14627075195312	1
36	ascending	64	66	-117.50809478759766	64	66	-97.04895782470703	0
37	ascending	92	94	-159.65280151367188	92	94	-134.7384490966797	0
38	ascending	63	65	-117.89837646484375	63	65	-89.53755950927734	0
39	ascending	117	119	-193.7467041015625	117	119	-152.21463012695312	0
40	ascending	72	74	-129.04837036132812	72	74	-104.37115478515625	0
41	ascending	93	95	-161.47378540039062	93	95	-123.9289321899414	0
42	ascending	81	83	-139.75595092773438	81	83	-114.07918548583984	0
43	ascending	64	66	-127.4656982421875	64	66	-106.31690979003906	0
44	ascending	82	84	-143.04470825195312	82	84	-118.1343994140625	1
45	ascending	69	71	-131.31288146972656	69	71	-106.41686248779297	0
46	ascending	110	112	-207.49331665039062	110	112	-152.55108642578125	0
47	ascending	118	120	-208.54385375976562	118	120	-166.52928161621094	1
48	ascending	87	89	-155.01193237304688	87	89	-125.0233383178711	0
49	ascending	92	94	-169.74179077148438	92	94	-133.00608825683594	0
50	ascending	64	66	-119.31256866455078	64	66	-103.06301879882812	0
51	ascending	102	104	-175.54515075683594	102	104	-143.5638885498047	0
52	ascending	104	106	-188.28240966796875	104	106	-134.26071166992188	0
53	ascending	101	103	-185.63128662109375	101	103	-141.4886932373047	0
54	ascending	100	102	-175.53875732421875	100	102	-138.00242614746094	1
55	ascending	116	118	-206.80032348632812	116	118	-154.83084106445312	0
56	ascending	110	112	-197.26422119140625	110	112	-149.41079711914062	0
57	ascending	92	94	-167.04080200195312	92	94	-132.7705535888672	0
58	ascending	110	112	-203.13059997558594	110	112	-151.53494262695312	0
59	ascending	91	93	-169.6039276123047	91	93	-128.0753631591797	0
60	ascending	93	95	-160.65057373046875	93	95	-121.6015396118164	0
61	ascending	114	116	-209.91781616210938	114	116	-155.7100830078125	0
62	ascending	58	60	-109.84709930419922	58	60	-90.53065490722656	1
63	ascending	81	83	-147.24559020996094	81	83	-115.06773376464844	0
64	ascending	93	95	-163.0205078125	93	95	-130.91632080078125	0
65	ascending	67	69	-132.2039031982422	67	69	-105.92765808105469	0
66	ascending	108	110	-191.50840759277344	108	110	-152.10626220703125	0
67	ascending	118	120	-211.97605895996094	118	120	-167.11692810058594	0
68	ascending	76	78	-139.28317260742188	76	78	-117.30764770507812	0
69	ascending	104	106	-185.80026245117188	104	106	-143.9535369873047	0
70	ascending	103	105	-181.99517822265625	103	105	-142.16896057128906	0
71	ascending	98	100	-183.931396484375	98	100	-141.6458282470703	0
72	ascending	75	77	-137.1107177734375	75	77	-104.97406005859375	0
73	ascending	64	66	-123.20808410644531	64	66	-95.95526885986328	1
74	ascending	57	59	-111.69860076904297	57	59	-90.36963653564453	0
75	ascending	63	65	-122.776611328125	63	65	-94.56352996826172	0
76	ascending	57	59	-109.2295913696289	57	59	-93.54935455322266	0
77	ascending	102	104	-194.414794921875	102	104	-147.2880859375	0
78	ascending	67	69	-128.3658905029297	67	69	-106.31781768798828	0
79	ascending	75	77	-143.01406860351562	75	77	-105.21282958984375	0
80	ascending	88	90	-154.47303771972656	88	90	-133.43399047851562	0
81	ascending	69	71	-129.30191040039062	69	71	-98.98698425292969	0
82	ascending	81	83	-148.8378143310547	81	83	-114.50695037841797	0
83	ascending	98	100	-181.68386840820312	98	100	-137.15724182128906	0
84	ascending	99	101	-176.2460174560547	99	101	-133.0743865966797	0
85	ascending	87	89	-155.2436981201172	87	89	-113.05194854736328	0
86	ascending	86	88	-161.33868408203125	86	88	-125.01095581054688	0
87	ascending	94	96	-170.93087768554688	94	96	-134.77500915527344	0
88	ascending	93	95	-171.47361755371094	93	95	-133.29148864746094	0
89	ascending	90	92	-169.66342163085938	90	92	-128.55929565429688	0
90	ascending	109	111	-201.4984893798828	109	111	-154.96694946289062	0
91	ascending	103	105	-183.77174377441406	103	105	-147.52633666992188	0
92	ascending	116	118	-204.52407836914062	116	118	-152.32508850097656	0
93	ascending	70	72	-127.91339874267578	70	72	-102.6851806640625	0
94	ascending	111	113	-197.13926696777344	111	113	-152.09210205078125	0
95	ascending	87	89	-153.97438049316406	87	89	-122.32538604736328	0
96	ascending	99	101	-170.48008728027344	99	101	-143.55996704101562	0
97	ascending	103	105	-187.7477569580078	103	105	-141.59474182128906	0
98	ascending	75	77	-129.47145080566406	75	77	-107.60003662109375	0
99	ascending	63	65	-119.84336853027344	63	65	-96.11164093017578	0
0	descending	64	66	-121.90702056884766	64	66	-113.57241821289062	0
1	descending	58	60	-104.33441162109375	58	60	-95.6978759765625	0
2	descending	52	54	-99.49874114990234	52	54	-98.30085754394531	0
3	descending	91	93	-166.68650817871094	91	93	-141.9584197998047	0
4	descending	82	84	-145.1361083984375	82	84	-131.08258056640625	0
5	descending	117	119	-206.9476318359375	117	119	-168.5682830810547	0
6	descending	99	101	-176.64971923828125	99	101	-145.9439239501953	0
7	descending	64	66	-113.8643569946289	64	66	-99.79991912841797	0
8	descending	75	77	-134.33184814453125	75	77	-119.99617004394531	0
9	descending	57	59	-113.19420623779297	57	59	-101.04177856445312	0
10	descending	105	107	-183.43214416503906	105	107	-160.23623657226562	0
11	descending	94	96	-159.78887939453125	94	96	-138.6323699951172	1
12	descending	99	101	-177.1579132080078	99	101	-147.19456481933594	0
13	descending	64	66	-128.1881103515625	64	66	-112.76972198486328	0
14	descending	99	101	-180.4396209716797	99	101	-154.33470153808594	0
15	descending	58	60	-117.42887115478516	58	60	-100.80919647216797	1
16	descending	98	100	-182.19601440429688	98	100	-160.07237243652344	0
17	descending	67	69	-132.45521545410156	67	69	-112.83172607421875	0
18	descending	87	89	-152.8286895751953	87	89	-132.3468017578125	0
19	descending	55	57	-107.71269989013672	55	57	-105.96366119384766	0
20	descending	64	66	-119.67606353759766	64	66	-103.85662841796875	0
21	descending	82	84	-150.3577117919922	82	84	-125.20317077636719	0
22	descending	87	89	-162.93658447265625	87	89	-131.0467529296875	0
23	descending	97	99	-178.3533172607422	97	99	-145.7152557373047	0
24	descending	93	95	-169.1869354248047	93	95	-143.874755859375	0
25	descending	87	89	-160.17625427246094	87	89	-139.82806396484375	0
26	descending	70	72	-124.21775817871094	70	72	-115.29130554199219	0
27	descending	106	108	-196.94522094726562	106	108	-163.737548828125	0
28	descending	56	58	-115.36463928222656	56	58	-93.46212005615234	0
29	descending	105	107	-187.6284942626953	105	107	-148.5858917236328	0
30	descending	105	107	-183.54615783691406	105	107	-159.7476348876953	0
31	descending	74	76	-141.7052764892578	74	76	-119.68585205078125	0
32	descending	75	77	-135.0144805908203	75	77	-116.06806945800781	0
33	descending	70	72	-126.5179672241211	70	72	-110.19278717041016	0
34	descending	92	94	-166.00250244140625	92	94	-146.4059295654297	0
35	descending	76	78	-132.01222229003906	76	78	-117.37189483642578	1
36	descending	64	66	-117.50809478759766	64	66	-104.71562957763672	0
37	descending	92	94	-159.65280151367188	92	94	-140.85621643066406	0
38	descending	63	65	-117.89837646484375	63	65	-105.60723876953125	0
39	descending	117	119	-193.7467041015625	117	119	-169.74485778808594	0
40	descending	72	74	-129.04837036132812	72	74	-110.05815887451172	0
41	descending	93	95	-161.47378540039062	93	95	-143.9161834716797	0
42	descending	81	83	-139.75595092773438	81	83	-134.89930725097656	0
43	descending	64	66	-127.4656982421875	64	66	-113.30476379394531	0
44	descending	82	84	-143.04470825195312	82	84	-121.94039916992188	0
45	descending	69	71	-131.31288146972656	69	71	-116.3773193359375	1
46	descending	110	112	-207.49331665039062	110	112	-160.79493713378906	0
47	descending	118	120	-208.54385375976562	118	120	-173.68157958984375	0
