index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ascending	64	43	-121.90702056884766	64	43	-104.21918487548828	0
1	ascending	58	39	-104.33441162109375	58	39	-96.52241516113281	1
2	ascending	52	34	-99.49874114990234	52	34	-88.1674575805664	1
3	ascending	91	60	-166.68650817871094	91	60	-133.25128173828125	1
4	ascending	82	55	-145.1361083984375	82	55	-124.06780242919922	0
5	ascending	117	78	-206.9476318359375	117	78	-157.55120849609375	1
6	ascending	99	66	-176.64971923828125	99	66	-144.69113159179688	1
7	ascending	64	43	-113.8643569946289	64	43	-90.82893371582031	0
8	ascending	75	50	-134.33184814453125	75	50	-109.77455139160156	1
9	ascending	57	38	-113.19420623779297	57	38	-92.94866180419922	1
10	ascending	105	70	-183.43214416503906	105	70	-145.1806182861328	1
11	ascending	94	63	-159.78887939453125	94	63	-128.37399291992188	1
12	ascending	99	66	-177.1579132080078	99	66	-132.71127319335938	0
13	ascending	64	43	-128.1881103515625	64	43	-102.44161987304688	1
14	ascending	99	66	-180.4396209716797	99	66	-134.052978515625	1
15	ascending	58	39	-117.42887115478516	58	39	-105.65773010253906	0
16	ascending	98	65	-182.19601440429688	98	65	-139.14324951171875	1
17	ascending	67	45	-132.45521545410156	67	45	-98.40422821044922	1
18	ascending	87	58	-152.8286895751953	87	58	-123.3502197265625	0
19	ascending	55	37	-107.71269989013672	55	37	-86.66376495361328	1
20	ascending	64	43	-119.67606353759766	64	43	-97.20684814453125	1
21	ascending	82	55	-150.3577117919922	82	55	-126.49952697753906	0
22	ascending	87	58	-162.93658447265625	87	58	-123.1250991821289	1
23	ascending	97	64	-178.3533172607422	97	64	-135.368408203125	0
24	ascending	93	62	-169.1869354248047	93	62	-130.2440185546875	1
25	ascending	87	58	-160.17625427246094	87	58	-119.16397094726562	1
26	ascending	70	47	-124.21775817871094	70	47	-103.97149658203125	0
27	ascending	106	71	-196.94522094726562	106	71	-153.56625366210938	0
28	ascending	56	38	-115.36463928222656	56	38	-90.60283660888672	1
29	ascending	105	70	-187.6284942626953	105	70	-138.31732177734375	1
30	ascending	105	70	-183.54615783691406	105	70	-141.0870819091797	0
31	ascending	74	49	-141.7052764892578	74	49	-105.57386016845703	0
32	ascending	75	50	-135.0144805908203	75	50	-106.86695098876953	1
33	ascending	70	47	-126.5179672241211	70	47	-105.9616928100586	1
34	ascending	92	61	-166.00250244140625	92	61	-132.43521118164062	1
35	ascending	76	51	-132.01222229003906	76	51	-112.14627075195312	0
36	ascending	64	43	-117.50809478759766	64	43	-97.04895782470703	1
37	ascending	92	61	-159.65280151367188	92	61	-134.7384490966797	0
38	ascending	63	42	-117.89837646484375	63	42	-89.53755950927734	1
39	ascending	117	78	-193.7467041015625	117	78	-152.21463012695312	0
40	ascending	72	47	-129.04837036132812	72	47	-104.37115478515625	1
41	ascending	93	62	-161.47378540039062	93	62	-123.9289321899414	1
42	ascending	81	54	-139.75595092773438	81	54	-114.07918548583984	0
43	ascending	64	43	-127.4656982421875	64	43	-106.31690979003906	1
44	ascending	82	55	-143.04470825195312	82	55	-118.1343994140625	0
45	ascending	69	46	-131.31288146972656	69	46	-106.41686248779297	1
46	ascending	110	73	-207.49331665039062	110	73	-152.55108642578125	1
47	ascending	118	79	-208.54385375976562	118	79	-166.52928161621094	0
48	ascending	87	58	-155.01193237304688	87	58	-125.0233383178711	1
49	ascending	92	61	-169.74179077148438	92	61	-133.00608825683594	1
50	ascending	64	43	-119.31256866455078	64	43	-103.06301879882812	0
51	ascending	102	67	-175.54515075683594	102	67	-143.5638885498047	1
52	ascending	104	69	-188.28240966796875	104	69	-134.26071166992188	0
53	ascending	101	67	-185.63128662109375	101	67	-141.4886932373047	0
54	ascending	100	67	-175.53875732421875	100	67	-138.00242614746094	1
55	ascending	116	77	-206.80032348632812	116	77	-154.83084106445312	0
56	ascending	110	73	-197.26422119140625	110	73	-149.41079711914062	0
57	ascending	92	61	-167.04080200195312	92	61	-132.7705535888672	0
58	ascending	110	73	-203.13059997558594	110	73	-151.53494262695312	1
59	ascending	91	61	-169.6039276123047	91	61	-128.0753631591797	0
60	ascending	93	62	-160.65057373046875	93	62	-121.6015396118164	1
61	ascending	114	75	-209.91781616210938	114	75	-155.7100830078125	0
62	ascending	58	39	-109.84709930419922	58	39	-90.53065490722656	1
63	ascending	81	54	-147.24559020996094	81	54	-115.06773376464844	1
64	ascending	93	62	-163.0205078125	93	62	-130.91632080078125	0
65	ascending	67	44	-132.2039031982422	67	44	-105.92765808105469	1
66	ascending	108	71	-191.50840759277344	108	71	-152.10626220703125	1
67	ascending	118	79	-211.97605895996094	118	79	-167.11692810058594	0
68	ascending	76	51	-139.28317260742188	76	51	-117.30764770507812	0
69	ascending	104	69	-185.80026245117188	104	69	-143.9535369873047	0
70	ascending	103	68	-181.99517822265625	103	68	-142.16896057128906	1
71	ascending	98	65	-183.931396484375	98	65	-141.6458282470703	0
72	ascending	75	50	-137.1107177734375	75	50	-104.97406005859375	1
73	ascending	64	43	-123.20808410644531	64	43	-95.95526885986328	0
74	ascending	57	38	-111.69860076904297	57	38	-90.36963653564453	0
75	ascending	63	42	-122.776611328125	63	42	-94.56352996826172	1
76	ascending	57	38	-109.2295913696289	57	38	-93.54935455322266	1
77	ascending	102	68	-194.414794921875	102	68	-147.2880859375	1
78	ascending	67	44	-128.3658905029297	67	44	-106.31781768798828	1
79	ascending	75	50	-143.01406860351562	75	50	-105.21282958984375	1
80	ascending	88	59	-154.47303771972656	88	59	-133.43399047851562	1
81	ascending	69	46	-129.30191040039062	69	46	-98.98698425292969	1
82	ascending	81	54	-148.8378143310547	81	54	-114.50695037841797	0
83	ascending	98	65	-181.68386840820312	98	65	-137.15724182128906	1
84	ascending	99	66	-176.2460174560547	99	66	-133.0743865966797	0
85	ascending	87	58	-155.2436981201172	87	58	-113.05194854736328	1
