index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ascending	64	65	-121.90702056884766	64	65	-104.21918487548828	1
1	ascending	58	59	-104.33441162109375	58	59	-96.52241516113281	0
2	ascending	52	53	-99.49874114990234	52	53	-88.1674575805664	0
3	ascending	91	92	-166.68650817871094	91	92	-133.25128173828125	1
4	ascending	82	83	-145.1361083984375	82	83	-124.06780242919922	1
5	ascending	117	118	-206.9476318359375	117	118	-157.55120849609375	0
6	ascending	99	100	-176.64971923828125	99	100	-144.69113159179688	0
7	ascending	64	65	-113.8643569946289	64	65	-90.82893371582031	1
8	ascending	75	76	-134.33184814453125	75	76	-109.77455139160156	1
9	ascending	57	58	-113.19420623779297	57	58	-92.94866180419922	1
10	ascending	105	106	-183.43214416503906	105	106	-145.1806182861328	1
11	ascending	94	95	-159.78887939453125	94	95	-128.37399291992188	1
12	ascending	99	100	-177.1579132080078	99	100	-132.71127319335938	0
13	ascending	64	65	-128.1881103515625	64	65	-102.44161987304688	1
14	ascending	99	100	-180.4396209716797	99	100	-134.052978515625	0
15	ascending	58	59	-117.42887115478516	58	59	-105.65773010253906	0
16	ascending	98	99	-182.19601440429688	98	99	-139.14324951171875	1
17	ascending	67	68	-132.45521545410156	67	68	-98.40422821044922	0
18	ascending	87	88	-152.8286895751953	87	88	-123.3502197265625	1
19	ascending	55	56	-107.71269989013672	55	56	-86.66376495361328	1
20	ascending	64	65	-119.67606353759766	64	65	-97.20684814453125	0
21	ascending	82	83	-150.3577117919922	82	83	-126.49952697753906	1
22	ascending	87	88	-162.93658447265625	87	88	-123.1250991821289	1
23	ascending	97	98	-178.3533172607422	97	98	-135.368408203125	0
24	ascending	93	94	-169.1869354248047	93	94	-130.2440185546875	0
25	ascending	87	88	-160.17625427246094	87	88	-119.16397094726562	0
26	ascending	70	71	-124.21775817871094	70	71	-103.97149658203125	0
27	ascending	106	107	-196.94522094726562	106	107	-153.56625366210938	0
28	ascending	56	57	-115.36463928222656	56	57	-90.60283660888672	1
29	ascending	105	106	-187.6284942626953	105	106	-138.31732177734375	0
30	ascending	105	106	-183.54615783691406	105	106	-141.0870819091797	1
31	ascending	74	75	-141.7052764892578	74	75	-105.57386016845703	1
32	ascending	75	76	-135.0144805908203	75	76	-106.86695098876953	0
33	ascending	70	71	-126.5179672241211	70	71	-105.9616928100586	1
34	ascending	92	93	-166.00250244140625	92	93	-132.43521118164062	0
35	ascending	76	77	-132.01222229003906	76	77	-112.14627075195312	1
36	ascending	64	65	-117.50809478759766	64	65	-97.04895782470703	1
37	ascending	92	93	-159.65280151367188	92	93	-134.7384490966797	0
38	ascending	63	64	-117.89837646484375	63	64	-89.53755950927734	1
39	ascending	117	118	-193.7467041015625	117	118	-152.21463012695312	0
40	ascending	72	73	-129.04837036132812	72	73	-104.37115478515625	0
41	ascending	93	94	-161.47378540039062	93	94	-123.9289321899414	0
42	ascending	81	82	-139.75595092773438	81	82	-114.07918548583984	0
43	ascending	64	65	-127.4656982421875	64	65	-106.31690979003906	0
44	ascending	82	83	-143.04470825195312	82	83	-118.1343994140625	0
45	ascending	69	70	-131.31288146972656	69	70	-106.41686248779297	1
46	ascending	110	111	-207.49331665039062	110	111	-152.55108642578125	0
47	ascending	118	119	-208.54385375976562	118	119	-166.52928161621094	1
48	ascending	87	88	-155.01193237304688	87	88	-125.0233383178711	0
49	ascending	92	93	-169.74179077148438	92	93	-133.00608825683594	1
50	ascending	64	65	-119.31256866455078	64	65	-103.06301879882812	1
51	ascending	102	103	-175.54515075683594	102	103	-143.5638885498047	0
52	ascending	104	105	-188.28240966796875	104	105	-134.26071166992188	0
