index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	fwd	91	27	-123.25765991210938	91	26	-112.79285430908203	1
1	fwd	120	26	-128.67987060546875	120	27	-116.5040512084961	1
2	fwd	153	35	-172.8846435546875	153	35	-166.41908264160156	1
3	fwd	99	28	-130.2933807373047	99	26	-115.17810821533203	1
4	fwd	99	25	-112.23854064941406	99	25	-115.87629699707031	1
5	fwd	188	42	-215.81198120117188	188	41	-193.2981414794922	1
6	fwd	99	24	-102.41925811767578	99	24	-101.88693237304688	0
7	fwd	115	31	-139.87339782714844	115	30	-125.60736846923828	1
8	fwd	116	29	-132.70492553710938	116	29	-125.0221939086914	0
9	fwd	118	24	-131.3771514892578	118	24	-129.9700927734375	1
10	fwd	113	27	-122.11563873291016	113	27	-117.6431884765625	0
11	fwd	117	23	-125.62895202636719	117	23	-122.20452880859375	1
12	fwd	141	40	-172.5321807861328	141	39	-161.52932739257812	1
13	fwd	135	34	-152.83038330078125	135	35	-142.93710327148438	1
14	fwd	172	42	-185.64508056640625	172	42	-169.44712829589844	1
15	fwd	159	32	-175.58338928222656	159	33	-172.01547241210938	0
16	fwd	167	39	-181.46804809570312	167	39	-177.5038604736328	0
17	fwd	83	24	-116.32106018066406	83	22	-114.55047607421875	1
18	fwd	177	42	-195.93655395507812	177	41	-163.01177978515625	1
19	fwd	133	31	-150.5763702392578	133	31	-127.36947631835938	1
20	fwd	107	28	-125.44706726074219	107	28	-123.62310791015625	1
21	fwd	111	28	-141.2747344970703	111	27	-118.44932556152344	1
22	fwd	188	44	-210.3421630859375	188	44	-199.43963623046875	1
23	fwd	115	32	-140.805419921875	115	32	-128.13880920410156	1
24	fwd	128	31	-142.63685607910156	128	31	-133.23443603515625	1
25	fwd	80	21	-101.03690338134766	80	21	-94.34373474121094	1
26	fwd	104	25	-129.1559600830078	104	24	-117.01789855957031	1
27	fwd	133	32	-152.81338500976562	133	32	-137.36314392089844	1
28	fwd	91	23	-98.91925048828125	91	22	-96.8592300415039	1
29	fwd	150	36	-173.60284423828125	150	36	-157.47592163085938	0
30	fwd	144	34	-174.294677734375	144	33	-151.1221466064453	1
31	fwd	154	30	-129.78582763671875	154	31	-135.44439697265625	1
32	fwd	185	47	-221.826416015625	185	46	-200.53712463378906	0
33	fwd	156	34	-156.15182495117188	156	34	-148.4907684326172	1
34	fwd	176	41	-185.71328735351562	176	41	-170.14132690429688	0
35	fwd	174	38	-168.97369384765625	174	38	-157.78436279296875	0
36	fwd	109	24	-129.31178283691406	109	25	-121.2452392578125	1
37	fwd	172	45	-212.5104217529297	172	44	-185.7021942138672	0
38	fwd	141	33	-152.10678100585938	141	31	-146.33724975585938	1
39	fwd	170	47	-209.6518096923828	170	46	-180.2009735107422	0
40	fwd	200	43	-204.10279846191406	200	43	-195.88966369628906	0
41	fwd	165	34	-171.0677032470703	165	35	-154.3430633544922	1
42	fwd	119	27	-133.89610290527344	119	27	-130.79586791992188	0
43	fwd	163	40	-180.58721923828125	163	39	-155.66397094726562	0
44	fwd	168	38	-183.4883270263672	168	38	-164.480712890625	0
45	fwd	107	26	-132.23574829101562	107	27	-127.91375732421875	1
46	fwd	98	22	-113.8587875366211	98	22	-105.22916412353516	1
47	fwd	101	22	-117.19314575195312	101	23	-119.30709075927734	1
48	fwd	124	29	-135.49859619140625	124	29	-131.1120147705078	1
49	fwd	204	46	-226.2564239501953	204	46	-190.33180236816406	0
50	fwd	145	33	-150.7604522705078	145	33	-145.58984375	1
51	fwd	134	28	-152.71853637695312	134	29	-148.3818359375	0
52	fwd	182	40	-178.061279296875	182	41	-164.87831115722656	0
53	fwd	199	48	-226.46585083007812	199	48	-216.72003173828125	1
54	fwd	99	24	-121.29706573486328	99	24	-103.7671890258789	1
55	fwd	112	27	-141.90658569335938	112	27	-129.5251922607422	1
56	fwd	99	24	-126.6588363647461	99	25	-107.6306381225586	1
57	fwd	101	23	-112.56201934814453	101	24	-110.2760009765625	1
58	fwd	89	23	-97.5777587890625	89	22	-95.26866149902344	1
59	fwd	165	37	-178.60328674316406	165	36	-166.5622100830078	1
60	fwd	101	25	-141.49197387695312	101	25	-122.3905258178711	0
61	fwd	152	32	-157.56126403808594	152	32	-136.39491271972656	1
62	fwd	93	24	-122.75965118408203	93	24	-111.60908508300781	1
63	fwd	155	40	-184.57664489746094	155	40	-161.2577667236328	1
64	fwd	176	46	-218.14541625976562	176	46	-184.0261993408203	0
65	fwd	142	35	-169.137451171875	142	34	-144.67947387695312	1
66	fwd	138	28	-140.42938232421875	138	27	-134.5536346435547	0
67	fwd	156	34	-167.20010375976562	156	34	-160.50326538085938	1
68	fwd	182	42	-201.644775390625	182	42	-189.2867889404297	1
69	fwd	126	29	-146.46055603027344	126	29	-132.60025024414062	1
70	fwd	116	28	-132.2886199951172	116	29	-130.34300231933594	1
71	fwd	167	41	-196.9936981201172	167	40	-184.49607849121094	0
72	fwd	193	43	-215.2674102783203	193	45	-185.75973510742188	0
73	fwd	193	47	-218.55287170410156	193	46	-196.51535034179688	0
74	fwd	145	39	-183.02471923828125	145	39	-163.09378051757812	1
75	fwd	116	30	-134.330322265625	116	30	-138.6477508544922	0
76	fwd	116	28	-139.14964294433594	116	27	-127.91867065429688	0
77	fwd	197	49	-230.0193634033203	197	48	-190.7798614501953	0
78	fwd	135	29	-143.1625213623047	135	30	-146.10638427734375	1
79	fwd	150	35	-177.99658203125	150	35	-169.5026397705078	0
80	fwd	125	29	-150.3054962158203	125	29	-128.72323608398438	1
81	fwd	178	46	-211.65390014648438	178	46	-194.70846557617188	1
82	fwd	158	36	-170.73861694335938	158	35	-163.1250762939453	1
83	fwd	105	24	-126.7083969116211	105	24	-117.13957214355469	1
84	fwd	115	23	-130.41265869140625	115	24	-121.09861755371094	0
85	fwd	144	39	-181.5006103515625	144	40	-163.98672485351562	0
86	fwd	189	49	-214.982666015625	189	49	-197.90122985839844	0
87	fwd	100	26	-136.69688415527344	100	26	-113.68042755126953	1
88	fwd	129	31	-139.0612030029297	129	32	-128.784423828125	1
89	fwd	194	43	-204.9332275390625	194	43	-190.98475646972656	0
90	fwd	208	51	-213.1156005859375	208	50	-182.5221405029297	0
91	fwd	128	33	-159.73593139648438	128	32	-130.85289001464844	0
92	fwd	128	28	-134.4037322998047	128	28	-132.43087768554688	1
93	fwd	129	31	-146.06961059570312	129	31	-132.79336547851562	1
94	fwd	105	24	-132.63812255859375	105	24	-108.32133483886719	1
95	fwd	152	34	-160.681884765625	152	34	-160.35667419433594	1
96	fwd	92	19	-102.52957153320312	92	19	-101.93496704101562	0
97	fwd	105	23	-123.09053802490234	105	23	-118.18710327148438	1
98	fwd	122	31	-147.33213806152344	122	30	-134.72579956054688	1
99	fwd	133	30	-143.16989135742188	133	30	-145.47793579101562	1
0	rev	91	27	-123.25765991210938	91	28	-122.75480651855469	0
1	rev	120	26	-128.67987060546875	120	25	-119.93104553222656	0
2	rev	153	35	-172.8846435546875	153	36	-174.84884643554688	0
3	rev	99	28	-130.2933807373047	99	28	-132.16273498535156	0
4	rev	99	25	-112.23854064941406	99	25	-116.69308471679688	0
5	rev	188	42	-215.81198120117188	188	42	-207.4723663330078	0
6	rev	99	24	-102.41925811767578	99	24	-108.57693481445312	0
7	rev	115	31	-139.87339782714844	115	30	-133.7738800048828	0
8	rev	116	29	-132.70492553710938	116	29	-137.82272338867188	0
9	rev	118	24	-131.3771514892578	118	24	-135.57513427734375	0
10	rev	113	27	-122.11563873291016	113	27	-125.46116638183594	0
11	rev	117	23	-125.62895202636719	117	23	-127.1689682006836	0
12	rev	141	40	-172.5321807861328	141	39	-169.50209045410156	0
13	rev	135	34	-152.83038330078125	135	35	-155.53369140625	0
14	rev	172	42	-185.64508056640625	172	42	-188.4180145263672	0
15	rev	159	32	-175.58338928222656	159	33	-173.35479736328125	0
16	rev	167	39	-181.46804809570312	167	40	-181.28628540039062	0
17	rev	83	24	-116.32106018066406	83	23	-117.42261505126953	0
18	rev	177	42	-195.93655395507812	177	42	-193.83482360839844	0
19	rev	133	31	-150.5763702392578	133	31	-140.8018035888672	0
20	rev	107	28	-125.44706726074219	107	28	-119.85260772705078	0
21	rev	111	28	-141.2747344970703	111	27	-134.7728271484375	0
22	rev	188	44	-210.3421630859375	188	43	-210.42254638671875	0
23	rev	115	32	-140.805419921875	115	33	-142.4557342529297	0
24	rev	128	31	-142.63685607910156	128	32	-144.74952697753906	0
25	rev	80	21	-101.03690338134766	80	21	-95.34981536865234	0
26	rev	104	25	-129.1559600830078	104	24	-134.4394073486328	0
27	rev	133	32	-152.81338500976562	133	32	-152.0807647705078	0
28	rev	91	23	-98.91925048828125	91	23	-99.5455093383789	0
29	rev	150	36	-173.60284423828125	150	37	-177.32608032226562	0
30	rev	144	34	-174.294677734375	144	33	-168.27642822265625	0
31	rev	154	30	-129.78582763671875	154	32	-140.12200927734375	0
32	rev	185	47	-221.826416015625	185	48	-229.97463989257812	0
33	rev	156	34	-156.15182495117188	156	35	-149.2126922607422	0
34	rev	176	41	-185.71328735351562	176	40	-186.9047088623047	0
35	rev	174	38	-168.97369384765625	174	38	-174.64602661132812	0
36	rev	109	24	-129.31178283691406	109	25	-122.00948333740234	0
37	rev	172	45	-212.5104217529297	172	46	-207.07008361816406	0
38	rev	141	33	-152.10678100585938	141	31	-141.81236267089844	0
39	rev	170	47	-209.6518096923828	170	46	-210.2965545654297	0
40	rev	200	43	-204.10279846191406	200	45	-211.86151123046875	0
41	rev	165	34	-171.0677032470703	165	35	-178.52256774902344	0
42	rev	119	27	-133.89610290527344	119	27	-132.50033569335938	0
43	rev	163	40	-180.58721923828125	163	40	-175.2759552001953	0
44	rev	168	38	-183.4883270263672	168	37	-185.74464416503906	0
45	rev	107	26	-132.23574829101562	107	28	-135.50892639160156	0
46	rev	98	22	-113.8587875366211	98	22	-104.89716339111328	0
47	rev	101	22	-117.19314575195312	101	23	-121.11767578125	0
48	rev	124	29	-135.49859619140625	124	29	-131.98646545410156	0
49	rev	204	46	-226.2564239501953	204	46	-209.04466247558594	0
50	rev	145	33	-150.7604522705078	145	33	-144.230224609375	0
51	rev	134	28	-152.71853637695312	134	28	-146.400634765625	0
52	rev	182	40	-178.061279296875	182	40	-171.818359375	0
53	rev	199	48	-226.46585083007812	199	49	-233.7074737548828	0
54	rev	99	24	-121.29706573486328	99	24	-123.45710754394531	0
55	rev	112	27	-141.90658569335938	112	28	-133.5289764404297	0
56	rev	99	24	-126.6588363647461	99	24	-114.02173614501953	0
