index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	fwd	91	35	-123.25765991210938	91	35	-112.79285430908203	0
1	fwd	120	42	-128.67987060546875	120	42	-116.5040512084961	0
2	fwd	153	45	-172.8846435546875	153	45	-166.41908264160156	0
3	fwd	99	36	-130.2933807373047	99	36	-115.17810821533203	0
4	fwd	99	33	-112.23854064941406	99	33	-115.87629699707031	0
5	fwd	188	63	-215.81198120117188	188	63	-193.2981414794922	0
6	fwd	99	37	-102.41925811767578	99	37	-101.88693237304688	0
7	fwd	115	40	-139.87339782714844	115	40	-125.60736846923828	0
8	fwd	116	38	-132.70492553710938	116	38	-125.0221939086914	0
9	fwd	118	39	-131.3771514892578	118	39	-129.9700927734375	0
10	fwd	113	38	-122.11563873291016	113	38	-117.6431884765625	0
11	fwd	117	40	-125.62895202636719	117	40	-122.20452880859375	1
12	fwd	141	49	-172.5321807861328	141	49	-161.52932739257812	1
13	fwd	135	46	-152.83038330078125	135	46	-142.93710327148438	0
14	fwd	172	56	-185.64508056640625	172	56	-169.44712829589844	0
15	fwd	159	52	-175.58338928222656	159	52	-172.01547241210938	0
16	fwd	167	54	-181.46804809570312	167	54	-177.5038604736328	0
17	fwd	83	34	-116.32106018066406	83	34	-114.55047607421875	1
18	fwd	177	64	-195.93655395507812	177	64	-163.01177978515625	1
19	fwd	133	44	-150.5763702392578	133	44	-127.36947631835938	1
20	fwd	107	39	-125.44706726074219	107	39	-123.62310791015625	0
21	fwd	111	41	-141.2747344970703	111	41	-118.44932556152344	0
22	fwd	188	65	-210.3421630859375	188	65	-199.43963623046875	0
23	fwd	115	41	-140.805419921875	115	41	-128.13880920410156	0
24	fwd	128	47	-142.63685607910156	128	47	-133.23443603515625	1
25	fwd	80	28	-101.03690338134766	80	28	-94.34373474121094	0
26	fwd	104	32	-129.1559600830078	104	32	-117.01789855957031	0
27	fwd	133	40	-152.81338500976562	133	40	-137.36314392089844	0
28	fwd	91	30	-98.91925048828125	91	30	-96.8592300415039	0
29	fwd	150	47	-173.60284423828125	150	47	-157.47592163085938	0
30	fwd	144	48	-174.294677734375	144	48	-151.1221466064453	0
31	fwd	154	47	-129.78582763671875	154	47	-135.44439697265625	0
32	fwd	185	65	-221.826416015625	185	65	-200.53712463378906	0
33	fwd	156	49	-156.15182495117188	156	49	-148.4907684326172	0
34	fwd	176	56	-185.71328735351562	176	56	-170.14132690429688	0
35	fwd	174	55	-168.97369384765625	174	55	-157.78436279296875	0
36	fwd	109	36	-129.31178283691406	109	36	-121.2452392578125	0
37	fwd	172	62	-212.5104217529297	172	62	-185.7021942138672	0
38	fwd	141	41	-152.10678100585938	141	41	-146.33724975585938	0
39	fwd	170	62	-209.6518096923828	170	62	-180.2009735107422	0
40	fwd	200	62	-204.10279846191406	200	62	-195.88966369628906	0
41	fwd	165	52	-171.0677032470703	165	52	-154.3430633544922	0
42	fwd	119	39	-133.89610290527344	119	39	-130.79586791992188	1
43	fwd	163	59	-180.58721923828125	163	59	-155.66397094726562	0
44	fwd	168	55	-183.4883270263672	168	55	-164.480712890625	0
45	fwd	107	33	-132.23574829101562	107	33	-127.91375732421875	0
46	fwd	98	31	-113.8587875366211	98	31	-105.22916412353516	0
