index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	fwd	91	32	-123.25765991210938	91	32	-112.79285430908203	1
1	fwd	120	36	-128.67987060546875	120	36	-116.5040512084961	0
2	fwd	153	43	-172.8846435546875	153	43	-166.41908264160156	1
3	fwd	99	31	-130.2933807373047	99	31	-115.17810821533203	1
4	fwd	99	31	-112.23854064941406	99	31	-115.87629699707031	1
5	fwd	188	56	-215.81198120117188	188	56	-193.2981414794922	0
6	fwd	99	30	-102.41925811767578	99	30	-101.88693237304688	1
7	fwd	115	36	-139.87339782714844	115	36	-125.60736846923828	0
8	fwd	116	35	-132.70492553710938	116	35	-125.0221939086914	1
9	fwd	118	34	-131.3771514892578	118	34	-129.9700927734375	1
10	fwd	113	35	-122.11563873291016	113	35	-117.6431884765625	0
11	fwd	117	37	-125.62895202636719	117	37	-122.20452880859375	1
12	fwd	141	46	-172.5321807861328	141	46	-161.52932739257812	1
13	fwd	135	42	-152.83038330078125	135	42	-142.93710327148438	1
14	fwd	172	51	-185.64508056640625	172	51	-169.44712829589844	0
15	fwd	159	47	-175.58338928222656	159	47	-172.01547241210938	0
16	fwd	167	50	-181.46804809570312	167	50	-177.5038604736328	1
17	fwd	83	30	-116.32106018066406	83	30	-114.55047607421875	1
18	fwd	177	56	-195.93655395507812	177	56	-163.01177978515625	1
19	fwd	133	39	-150.5763702392578	133	39	-127.36947631835938	1
20	fwd	107	35	-125.44706726074219	107	35	-123.62310791015625	0
21	fwd	111	36	-141.2747344970703	111	36	-118.44932556152344	1
22	fwd	188	58	-210.3421630859375	188	58	-199.43963623046875	0
23	fwd	115	37	-140.805419921875	115	37	-128.13880920410156	1
24	fwd	128	42	-142.63685607910156	128	42	-133.23443603515625	1
25	fwd	80	25	-101.03690338134766	80	25	-94.34373474121094	1
26	fwd	104	31	-129.1559600830078	104	31	-117.01789855957031	0
27	fwd	133	37	-152.81338500976562	133	37	-137.36314392089844	1
28	fwd	91	28	-98.91925048828125	91	28	-96.8592300415039	1
29	fwd	150	46	-173.60284423828125	150	46	-157.47592163085938	0
30	fwd	144	45	-174.294677734375	144	45	-151.1221466064453	0
31	fwd	154	43	-129.78582763671875	154	43	-135.44439697265625	1
32	fwd	185	62	-221.826416015625	185	62	-200.53712463378906	0
33	fwd	156	44	-156.15182495117188	156	44	-148.4907684326172	1
34	fwd	176	50	-185.71328735351562	176	50	-170.14132690429688	1
35	fwd	174	46	-168.97369384765625	174	46	-157.78436279296875	1
36	fwd	109	32	-129.31178283691406	109	32	-121.2452392578125	0
37	fwd	172	54	-212.5104217529297	172	54	-185.7021942138672	0
38	fwd	141	40	-152.10678100585938	141	40	-146.33724975585938	0
39	fwd	170	55	-209.6518096923828	170	55	-180.2009735107422	1
40	fwd	200	55	-204.10279846191406	200	55	-195.88966369628906	0
41	fwd	165	48	-171.0677032470703	165	48	-154.3430633544922	1
42	fwd	119	39	-133.89610290527344	119	39	-130.79586791992188	1
43	fwd	163	52	-180.58721923828125	163	52	-155.66397094726562	0
44	fwd	168	51	-183.4883270263672	168	51	-164.480712890625	1
45	fwd	107	32	-132.23574829101562	107	32	-127.91375732421875	0
46	fwd	98	29	-113.8587875366211	98	29	-105.22916412353516	1
47	fwd	101	31	-117.19314575195312	101	31	-119.30709075927734	1
48	fwd	124	34	-135.49859619140625	124	34	-131.1120147705078	1
49	fwd	204	63	-226.2564239501953	204	63	-190.33180236816406	1
50	fwd	145	42	-150.7604522705078	145	42	-145.58984375	1
51	fwd	134	42	-152.71853637695312	134	42	-148.3818359375	0
52	fwd	182	52	-178.061279296875	182	52	-164.87831115722656	1
53	fwd	199	64	-226.46585083007812	199	64	-216.72003173828125	1
54	fwd	99	35	-121.29706573486328	99	35	-103.7671890258789	0
55	fwd	112	34	-141.90658569335938	112	34	-129.5251922607422	1
56	fwd	99	32	-126.6588363647461	99	32	-107.6306381225586	1
57	fwd	101	32	-112.56201934814453	101	32	-110.2760009765625	1
58	fwd	89	26	-97.5777587890625	89	26	-95.26866149902344	0
59	fwd	165	48	-178.60328674316406	165	48	-166.5622100830078	1
60	fwd	101	33	-141.49197387695312	101	33	-122.3905258178711	0
61	fwd	152	41	-157.56126403808594	152	41	-136.39491271972656	0
62	fwd	93	31	-122.75965118408203	93	31	-111.60908508300781	1
63	fwd	155	56	-184.57664489746094	155	56	-161.2577667236328	0
64	fwd	176	60	-218.14541625976562	176	60	-184.0261993408203	1
65	fwd	142	44	-169.137451171875	142	44	-144.67947387695312	1
66	fwd	138	38	-140.42938232421875	138	38	-134.5536346435547	0
67	fwd	156	48	-167.20010375976562	156	48	-160.50326538085938	1
68	fwd	182	60	-201.644775390625	182	60	-189.2867889404297	1
69	fwd	126	40	-146.46055603027344	126	40	-132.60025024414062	1
70	fwd	116	36	-132.2886199951172	116	36	-130.34300231933594	1
71	fwd	167	52	-196.9936981201172	167	52	-184.49607849121094	0
72	fwd	193	59	-215.2674102783203	193	59	-185.75973510742188	1
73	fwd	193	58	-218.55287170410156	193	58	-196.51535034179688	0
74	fwd	145	49	-183.02471923828125	145	49	-163.09378051757812	0
75	fwd	116	37	-134.330322265625	116	37	-138.6477508544922	1
76	fwd	116	37	-139.14964294433594	116	37	-127.91867065429688	0
77	fwd	197	64	-230.0193634033203	197	64	-190.7798614501953	1
78	fwd	135	39	-143.1625213623047	135	39	-146.10638427734375	1
79	fwd	150	45	-177.99658203125	150	45	-169.5026397705078	1
80	fwd	125	36	-150.3054962158203	125	36	-128.72323608398438	1
81	fwd	178	58	-211.65390014648438	178	58	-194.70846557617188	0
82	fwd	158	48	-170.73861694335938	158	48	-163.1250762939453	1
83	fwd	105	32	-126.7083969116211	105	32	-117.13957214355469	1
84	fwd	115	31	-130.41265869140625	115	31	-121.09861755371094	0
85	fwd	144	50	-181.5006103515625	144	50	-163.98672485351562	1
86	fwd	189	60	-214.982666015625	189	60	-197.90122985839844	1
87	fwd	100	34	-136.69688415527344	100	34	-113.68042755126953	1
88	fwd	129	40	-139.0612030029297	129	40	-128.784423828125	1
89	fwd	194	56	-204.9332275390625	194	56	-190.98475646972656	1
