index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	fwd	91	23	-123.25765991210938	91	23	-112.79285430908203	0
1	fwd	120	23	-128.67987060546875	120	23	-116.5040512084961	0
2	fwd	153	33	-172.8846435546875	153	33	-166.41908264160156	0
3	fwd	99	24	-130.2933807373047	99	24	-115.17810821533203	0
4	fwd	99	23	-112.23854064941406	99	23	-115.87629699707031	0
5	fwd	188	38	-215.81198120117188	188	38	-193.2981414794922	0
6	fwd	99	21	-102.41925811767578	99	21	-101.88693237304688	0
7	fwd	115	23	-139.87339782714844	115	23	-125.60736846923828	0
8	fwd	116	26	-132.70492553710938	116	26	-125.0221939086914	0
9	fwd	118	24	-131.3771514892578	118	24	-129.9700927734375	0
10	fwd	113	27	-122.11563873291016	113	27	-117.6431884765625	0
11	fwd	117	23	-125.62895202636719	117	23	-122.20452880859375	0
12	fwd	141	35	-172.5321807861328	141	35	-161.52932739257812	0
13	fwd	135	34	-152.83038330078125	135	34	-142.93710327148438	0
14	fwd	172	37	-185.64508056640625	172	37	-169.44712829589844	0
15	fwd	159	33	-175.58338928222656	159	33	-172.01547241210938	0
16	fwd	167	37	-181.46804809570312	167	37	-177.5038604736328	0
17	fwd	83	19	-116.32106018066406	83	19	-114.55047607421875	0
18	fwd	177	35	-195.93655395507812	177	35	-163.01177978515625	0
19	fwd	133	28	-150.5763702392578	133	28	-127.36947631835938	0
20	fwd	107	26	-125.44706726074219	107	26	-123.62310791015625	0
21	fwd	111	25	-141.2747344970703	111	25	-118.44932556152344	0
22	fwd	188	39	-210.3421630859375	188	39	-199.43963623046875	0
23	fwd	115	26	-140.805419921875	115	26	-128.13880920410156	0
24	fwd	128	29	-142.63685607910156	128	29	-133.23443603515625	0
25	fwd	80	21	-101.03690338134766	80	21	-94.34373474121094	1
26	fwd	104	24	-129.1559600830078	104	24	-117.01789855957031	0
27	fwd	133	29	-152.81338500976562	133	29	-137.36314392089844	0
28	fwd	91	21	-98.91925048828125	91	21	-96.8592300415039	0
29	fwd	150	32	-173.60284423828125	150	32	-157.47592163085938	0
30	fwd	144	30	-174.294677734375	144	30	-151.1221466064453	0
31	fwd	154	28	-129.78582763671875	154	28	-135.44439697265625	0
32	fwd	185	43	-221.826416015625	185	43	-200.53712463378906	0
33	fwd	156	31	-156.15182495117188	156	31	-148.4907684326172	0
34	fwd	176	38	-185.71328735351562	176	38	-170.14132690429688	0
35	fwd	174	32	-168.97369384765625	174	32	-157.78436279296875	0
36	fwd	109	22	-129.31178283691406	109	22	-121.2452392578125	0
37	fwd	172	41	-212.5104217529297	172	41	-185.7021942138672	0
38	fwd	141	30	-152.10678100585938	141	30	-146.33724975585938	0
39	fwd	170	37	-209.6518096923828	170	37	-180.2009735107422	0
40	fwd	200	40	-204.10279846191406	200	40	-195.88966369628906	0
41	fwd	165	32	-171.0677032470703	165	32	-154.3430633544922	0
42	fwd	119	26	-133.89610290527344	119	26	-130.79586791992188	0
43	fwd	163	33	-180.58721923828125	163	33	-155.66397094726562	0
44	fwd	168	36	-183.4883270263672	168	36	-164.480712890625	0
45	fwd	107	25	-132.23574829101562	107	25	-127.91375732421875	0
46	fwd	98	22	-113.8587875366211	98	22	-105.22916412353516	0
47	fwd	101	19	-117.19314575195312	101	19	-119.30709075927734	0
48	fwd	124	27	-135.49859619140625	124	27	-131.1120147705078	0
49	fwd	204	45	-226.2564239501953	204	45	-190.33180236816406	0
50	fwd	145	30	-150.7604522705078	145	30	-145.58984375	0
51	fwd	134	30	-152.71853637695312	134	30	-148.3818359375	1
52	fwd	182	38	-178.061279296875	182	38	-164.87831115722656	0
53	fwd	199	44	-226.46585083007812	199	44	-216.72003173828125	0
54	fwd	99	23	-121.29706573486328	99	23	-103.7671890258789	0
55	fwd	112	25	-141.90658569335938	112	25	-129.5251922607422	0
56	fwd	99	22	-126.6588363647461	99	22	-107.6306381225586	0
57	fwd	101	23	-112.56201934814453	101	23	-110.2760009765625	0
58	fwd	89	20	-97.5777587890625	89	20	-95.26866149902344	0
59	fwd	165	36	-178.60328674316406	165	36	-166.5622100830078	0
60	fwd	101	23	-141.49197387695312	101	23	-122.3905258178711	0
61	fwd	152	32	-157.56126403808594	152	32	-136.39491271972656	0
62	fwd	93	22	-122.75965118408203	93	22	-111.60908508300781	0
63	fwd	155	35	-184.57664489746094	155	35	-161.2577667236328	0
64	fwd	176	40	-218.14541625976562	176	40	-184.0261993408203	0
65	fwd	142	33	-169.137451171875	142	33	-144.67947387695312	0
66	fwd	138	27	-140.42938232421875	138	27	-134.5536346435547	0
67	fwd	156	30	-167.20010375976562	156	30	-160.50326538085938	0
68	fwd	182	46	-201.644775390625	182	46	-189.2867889404297	0
69	fwd	126	29	-146.46055603027344	126	29	-132.60025024414062	0
70	fwd	116	27	-132.2886199951172	116	27	-130.34300231933594	0
71	fwd	167	34	-196.9936981201172	167	34	-184.49607849121094	0
72	fwd	193	44	-215.2674102783203	193	44	-185.75973510742188	0
73	fwd	193	43	-218.55287170410156	193	43	-196.51535034179688	0
74	fwd	145	37	-183.02471923828125	145	37	-163.09378051757812	0
75	fwd	116	29	-134.330322265625	116	29	-138.6477508544922	0
76	fwd	116	23	-139.14964294433594	116	23	-127.91867065429688	0
77	fwd	197	43	-230.0193634033203	197	43	-190.7798614501953	0
78	fwd	135	28	-143.1625213623047	135	28	-146.10638427734375	0
79	fwd	150	32	-177.99658203125	150	32	-169.5026397705078	0
80	fwd	125	27	-150.3054962158203	125	27	-128.72323608398438	0
81	fwd	178	42	-211.65390014648438	178	42	-194.70846557617188	0
82	fwd	158	34	-170.73861694335938	158	34	-163.1250762939453	0
83	fwd	105	21	-126.7083969116211	105	21	-117.13957214355469	0
