index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	11	-26.487857818603516	52	11	-46.691993713378906	0
1	37	10	-24.102802276611328	37	10	-46.03460693359375	1
2	61	17	-34.44636535644531	61	17	-47.508846282958984	0
3	62	15	-39.41438293457031	62	15	-74.10127258300781	0
4	53	13	-32.106292724609375	53	13	-48.38036346435547	0
5	44	10	-31.455020904541016	44	10	-46.2429313659668	1
6	69	15	-34.30731201171875	69	15	-52.53154373168945	0
7	90	18	-53.77836227416992	90	18	-71.995361328125	0
8	69	16	-42.806087493896484	69	16	-61.498905181884766	0
9	70	15	-40.61770248413086	70	15	-57.09590530395508	1
10	65	13	-35.572120666503906	65	13	-55.23802947998047	0
11	65	12	-34.81201934814453	65	12	-62.22992706298828	1
12	74	17	-45.26503372192383	74	17	-77.2080307006836	1
13	66	12	-29.896778106689453	66	12	-63.53164291381836	1
14	133	27	-75.66192626953125	133	27	-113.83096313476562	0
15	50	9	-36.58509826660156	50	9	-43.69316101074219	1
16	104	19	-56.213897705078125	104	19	-75.02804565429688	0
17	91	21	-51.83712387084961	91	21	-69.40094757080078	0
18	98	20	-67.5525131225586	98	20	-87.04248809814453	0
19	82	17	-54.44925308227539	82	17	-76.22283935546875	0
20	70	16	-54.637413024902344	70	16	-67.17481231689453	0
21	146	31	-81.09586334228516	146	31	-140.9327392578125	0
22	162	28	-90.02587890625	162	28	-100.88836669921875	0
23	95	24	-78.00137329101562	95	24	-105.04881286621094	0
24	29	8	-44.1298828125	29	8	-64.4375991821289	1
25	97	24	-49.25296401977539	97	24	-68.74981689453125	0
26	93	18	-52.16108703613281	93	18	-76.84888458251953	1
27	114	17	-61.24848175048828	114	17	-73.3160171508789	0
28	63	13	-50.787513732910156	63	13	-64.6828842163086	1
29	143	25	-78.53861999511719	143	25	-88.28504180908203	0
30	135	26	-86.52629089355469	135	26	-111.8379135131836	0
31	77	15	-54.41032409667969	77	15	-69.59552001953125	1
32	120	22	-70.99903106689453	120	22	-108.44232177734375	1
33	178	31	-101.25211334228516	178	31	-115.69271850585938	0
34	167	33	-110.52104187011719	167	33	-145.6909942626953	0
35	151	31	-92.17733764648438	151	31	-163.8385467529297	1
36	141	26	-83.23876953125	141	26	-93.75218963623047	0
37	70	13	-35.653202056884766	70	13	-46.239601135253906	0
38	87	19	-52.46434783935547	87	19	-93.53790283203125	0
39	155	31	-67.22700500488281	155	31	-97.23017883300781	0
40	111	27	-88.43778228759766	111	27	-130.20462036132812	0
41	118	23	-80.39952850341797	118	23	-96.36698150634766	0
42	116	21	-65.73139190673828	116	21	-95.03923034667969	0
43	143	25	-81.18196105957031	143	25	-111.16072082519531	0
