index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	12	-26.487857818603516	52	12	-46.691993713378906	1
1	37	11	-24.102802276611328	37	11	-46.03460693359375	1
2	61	18	-34.44636535644531	61	18	-47.508846282958984	0
3	62	16	-39.41438293457031	62	16	-74.10127258300781	0
4	53	14	-32.106292724609375	53	14	-48.38036346435547	0
5	44	11	-31.455020904541016	44	11	-46.2429313659668	1
6	69	16	-34.30731201171875	69	16	-52.53154373168945	0
7	90	20	-53.77836227416992	90	20	-71.995361328125	0
8	69	19	-42.806087493896484	69	19	-61.498905181884766	1
9	70	16	-40.61770248413086	70	16	-57.09590530395508	0
10	65	15	-35.572120666503906	65	15	-55.23802947998047	0
11	65	13	-34.81201934814453	65	13	-62.22992706298828	0
12	74	21	-45.26503372192383	74	21	-77.2080307006836	0
13	66	13	-29.896778106689453	66	13	-63.53164291381836	0
14	133	34	-75.66192626953125	133	34	-113.83096313476562	0
15	50	10	-36.58509826660156	50	10	-43.69316101074219	1
16	104	21	-56.213897705078125	104	21	-75.02804565429688	0
17	91	22	-51.83712387084961	91	22	-69.40094757080078	0
18	98	24	-67.5525131225586	98	24	-87.04248809814453	0
19	82	18	-54.44925308227539	82	18	-76.22283935546875	0
20	70	18	-54.637413024902344	70	18	-67.17481231689453	0
21	146	33	-81.09586334228516	146	33	-140.9327392578125	0
22	162	32	-90.02587890625	162	32	-100.88836669921875	0
23	95	29	-78.00137329101562	95	29	-105.04881286621094	0
24	29	10	-44.1298828125	29	10	-64.4375991821289	0
25	97	26	-49.25296401977539	97	26	-68.74981689453125	1
26	93	19	-52.16108703613281	93	19	-76.84888458251953	0
27	114	20	-61.24848175048828	114	20	-73.3160171508789	0
28	63	16	-50.787513732910156	63	16	-64.6828842163086	1
29	143	29	-78.53861999511719	143	29	-88.28504180908203	0
30	135	32	-86.52629089355469	135	32	-111.8379135131836	0
31	77	16	-54.41032409667969	77	16	-69.59552001953125	1
32	120	24	-70.99903106689453	120	24	-108.44232177734375	0
33	178	38	-101.25211334228516	178	38	-115.69271850585938	0
34	167	36	-110.52104187011719	167	36	-145.6909942626953	0
35	151	36	-92.17733764648438	151	36	-163.8385467529297	0
36	141	29	-83.23876953125	141	29	-93.75218963623047	0
37	70	15	-35.653202056884766	70	15	-46.239601135253906	0
38	87	21	-52.46434783935547	87	21	-93.53790283203125	0
39	155	36	-67.22700500488281	155	36	-97.23017883300781	0
40	111	28	-88.43778228759766	111	28	-130.20462036132812	0
41	118	27	-80.39952850341797	118	27	-96.36698150634766	1
42	116	24	-65.73139190673828	116	24	-95.03923034667969	0
43	143	31	-81.18196105957031	143	31	-111.16072082519531	0
44	148	31	-73.00980377197266	148	31	-160.8088836669922	0
45	66	16	-37.51624298095703	66	16	-53.947349548339844	0
46	221	50	-117.86180114746094	221	50	-175.38015747070312	0
47	179	38	-89.49186706542969	179	38	-121.10499572753906	0
48	40	11	-30.319931030273438	40	11	-52.7393798828125	0
49	83	22	-47.37077713012695	83	22	-66.00640106201172	0
50	101	27	-67.709716796875	101	27	-75.52490234375	0
51	100	22	-63.276084899902344	100	22	-81.21041870117188	0
52	161	35	-99.6169662475586	161	35	-126.65309143066406	0
53	154	32	-103.782470703125	154	32	-116.58109283447266	0
54	128	30	-46.309505462646484	128	30	-98.77627563476562	0
55	80	16	-46.31581497192383	80	16	-84.44624328613281	0
56	95	24	-81.11656188964844	95	24	-101.73800659179688	0
57	134	32	-84.08912658691406	134	32	-114.86749267578125	0
58	86	22	-68.72773742675781	86	22	-94.87811279296875	0
59	169	40	-114.88834381103516	169	40	-201.69204711914062	0
60	46	12	-41.38873291015625	46	12	-53.16937255859375	0
61	51	15	-37.935394287109375	51	15	-55.51337432861328	1
62	42	11	-29.03803062438965	42	11	-50.86640167236328	1
63	83	20	-47.11981201171875	83	20	-68.19285583496094	0
