index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	12	-26.487857818603516	52	12	-46.691993713378906	1
1	37	11	-24.102802276611328	37	11	-46.03460693359375	1
2	61	18	-34.44636535644531	61	18	-47.508846282958984	0
3	62	16	-39.41438293457031	62	16	-74.10127258300781	0
4	53	14	-32.106292724609375	53	14	-48.38036346435547	0
5	44	11	-31.455020904541016	44	11	-46.2429313659668	1
6	69	16	-34.30731201171875	69	16	-52.53154373168945	0
7	90	19	-53.77836227416992	90	19	-71.995361328125	1
8	69	17	-42.806087493896484	69	17	-61.498905181884766	1
9	70	16	-40.61770248413086	70	16	-57.09590530395508	0
10	65	14	-35.572120666503906	65	14	-55.23802947998047	1
11	65	13	-34.81201934814453	65	13	-62.22992706298828	1
12	74	18	-45.26503372192383	74	18	-77.2080307006836	1
13	66	13	-29.896778106689453	66	13	-63.53164291381836	1
14	133	28	-75.66192626953125	133	28	-113.83096313476562	1
15	50	10	-36.58509826660156	50	10	-43.69316101074219	1
16	104	20	-56.213897705078125	104	20	-75.02804565429688	1
17	91	22	-51.83712387084961	91	22	-69.40094757080078	0
18	98	21	-67.5525131225586	98	21	-87.04248809814453	1
19	82	18	-54.44925308227539	82	18	-76.22283935546875	1
20	70	17	-54.637413024902344	70	17	-67.17481231689453	1
21	146	32	-81.09586334228516	146	32	-140.9327392578125	1
22	162	29	-90.02587890625	162	29	-100.88836669921875	1
23	95	25	-78.00137329101562	95	25	-105.04881286621094	1
24	29	9	-44.1298828125	29	9	-64.4375991821289	1
25	97	25	-49.25296401977539	97	25	-68.74981689453125	1
26	93	19	-52.16108703613281	93	19	-76.84888458251953	1
27	114	18	-61.24848175048828	114	18	-73.3160171508789	0
28	63	14	-50.787513732910156	63	14	-64.6828842163086	1
29	143	26	-78.53861999511719	143	26	-88.28504180908203	0
30	135	27	-86.52629089355469	135	27	-111.8379135131836	0
31	77	16	-54.41032409667969	77	16	-69.59552001953125	0
32	120	23	-70.99903106689453	120	23	-108.44232177734375	0
33	178	32	-101.25211334228516	178	32	-115.69271850585938	1
34	167	34	-110.52104187011719	167	34	-145.6909942626953	0
35	151	32	-92.17733764648438	151	32	-163.8385467529297	1
36	141	27	-83.23876953125	141	27	-93.75218963623047	0
37	70	14	-35.653202056884766	70	14	-46.239601135253906	0
38	87	20	-52.46434783935547	87	20	-93.53790283203125	1
39	155	32	-67.22700500488281	155	32	-97.23017883300781	1
40	111	28	-88.43778228759766	111	28	-130.20462036132812	0
41	118	24	-80.39952850341797	118	24	-96.36698150634766	0
42	116	22	-65.73139190673828	116	22	-95.03923034667969	1
43	143	26	-81.18196105957031	143	26	-111.16072082519531	0
44	148	31	-73.00980377197266	148	31	-160.8088836669922	1
45	66	15	-37.51624298095703	66	15	-53.947349548339844	1
46	221	45	-117.86180114746094	221	45	-175.38015747070312	1
47	179	36	-89.49186706542969	179	36	-121.10499572753906	1
48	40	11	-30.319931030273438	40	11	-52.7393798828125	1
49	83	22	-47.37077713012695	83	22	-66.00640106201172	1
50	101	23	-67.709716796875	101	23	-75.52490234375	0
51	100	20	-63.276084899902344	100	20	-81.21041870117188	1
52	161	32	-99.6169662475586	161	32	-126.65309143066406	0
53	154	28	-103.782470703125	154	28	-116.58109283447266	0
54	128	27	-46.309505462646484	128	27	-98.77627563476562	1
55	80	15	-46.31581497192383	80	15	-84.44624328613281	1
56	95	23	-81.11656188964844	95	23	-101.73800659179688	0
57	134	30	-84.08912658691406	134	30	-114.86749267578125	1
58	86	20	-68.72773742675781	86	20	-94.87811279296875	1
59	169	37	-114.88834381103516	169	37	-201.69204711914062	0
60	46	12	-41.38873291015625	46	12	-53.16937255859375	1
61	51	13	-37.935394287109375	51	13	-55.51337432861328	1
62	42	11	-29.03803062438965	42	11	-50.86640167236328	1
63	83	17	-47.11981201171875	83	17	-68.19285583496094	0
