index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	11	-46.691993713378906	52	11	-26.487857818603516	0
1	37	10	-46.03460693359375	37	10	-24.102802276611328	1
2	61	17	-47.508846282958984	61	17	-34.44636535644531	0
3	62	15	-74.10127258300781	62	15	-39.41438293457031	1
4	53	13	-48.38036346435547	53	13	-32.106292724609375	1
5	44	10	-46.2429313659668	44	10	-31.455020904541016	1
6	69	15	-52.53154373168945	69	15	-34.30731201171875	0
7	90	18	-71.995361328125	90	18	-53.77836227416992	1
8	69	16	-61.498905181884766	69	16	-42.806087493896484	1
9	70	15	-57.09590530395508	70	15	-40.61770248413086	1
10	65	13	-55.23802947998047	65	13	-35.572120666503906	1
11	65	12	-62.22992706298828	65	12	-34.81201934814453	1
12	74	17	-77.2080307006836	74	17	-45.26503372192383	0
13	66	12	-63.53164291381836	66	12	-29.896778106689453	1
14	133	27	-113.83096313476562	133	27	-75.66192626953125	1
15	50	9	-43.69316101074219	50	9	-36.58509826660156	0
16	104	19	-75.02804565429688	104	19	-56.213897705078125	0
17	91	21	-69.40094757080078	91	21	-51.83712387084961	0
18	98	20	-87.04248809814453	98	20	-67.5525131225586	1
19	82	17	-76.22283935546875	82	17	-54.44925308227539	0
20	70	16	-67.17481231689453	70	16	-54.637413024902344	1
21	146	31	-140.9327392578125	146	31	-81.09586334228516	0
22	162	28	-100.88836669921875	162	28	-90.02587890625	1
23	95	24	-105.04881286621094	95	24	-78.00137329101562	1
24	29	8	-64.4375991821289	29	8	-44.1298828125	0
25	97	24	-68.74981689453125	97	24	-49.25296401977539	1
26	93	18	-76.84888458251953	93	18	-52.16108703613281	1
27	114	17	-73.3160171508789	114	17	-61.24848175048828	1
28	63	13	-64.6828842163086	63	13	-50.787513732910156	1
29	143	25	-88.28504180908203	143	25	-78.53861999511719	0
30	135	26	-111.8379135131836	135	26	-86.52629089355469	0
31	77	15	-69.59552001953125	77	15	-54.41032409667969	0
32	120	22	-108.44232177734375	120	22	-70.99903106689453	1
33	178	31	-115.69271850585938	178	31	-101.25211334228516	1
34	167	33	-145.6909942626953	167	33	-110.52104187011719	0
35	151	31	-163.8385467529297	151	31	-92.17733764648438	0
36	141	26	-93.75218963623047	141	26	-83.23876953125	1
37	70	13	-46.239601135253906	70	13	-35.653202056884766	1
38	87	19	-93.53790283203125	87	19	-52.46434783935547	1
39	155	31	-97.23017883300781	155	31	-67.22700500488281	1
40	111	27	-130.20462036132812	111	27	-88.43778228759766	0
41	118	23	-96.36698150634766	118	23	-80.39952850341797	0
42	116	21	-95.03923034667969	116	21	-65.73139190673828	0
43	143	25	-111.16072082519531	143	25	-81.18196105957031	1
44	148	30	-160.8088836669922	148	30	-73.00980377197266	1
45	66	14	-53.947349548339844	66	14	-37.51624298095703	1
46	221	44	-175.38015747070312	221	44	-117.86180114746094	1
47	179	35	-121.10499572753906	179	35	-89.49186706542969	0
48	40	10	-52.7393798828125	40	10	-30.319931030273438	0
49	83	21	-66.00640106201172	83	21	-47.37077713012695	0
50	101	22	-75.52490234375	101	22	-67.709716796875	0
51	100	19	-81.21041870117188	100	19	-63.276084899902344	0
52	161	31	-126.65309143066406	161	31	-99.6169662475586	0
53	154	27	-116.58109283447266	154	27	-103.782470703125	0
54	128	26	-98.77627563476562	128	26	-46.309505462646484	1
55	80	14	-84.44624328613281	80	14	-46.31581497192383	0
56	95	22	-101.73800659179688	95	22	-81.11656188964844	0
57	134	29	-114.86749267578125	134	29	-84.08912658691406	0
58	86	19	-94.87811279296875	86	19	-68.72773742675781	1
59	169	36	-201.69204711914062	169	36	-114.88834381103516	0
60	46	11	-53.16937255859375	46	11	-41.38873291015625	0
61	51	12	-55.51337432861328	51	12	-37.935394287109375	0
62	42	10	-50.86640167236328	42	10	-29.03803062438965	0
63	83	16	-68.19285583496094	83	16	-47.11981201171875	0
64	156	27	-134.22698974609375	156	27	-94.82017517089844	1
65	144	28	-127.30752563476562	144	28	-77.32567596435547	0
66	192	36	-142.42178344726562	192	36	-107.0641098022461	0
67	140	25	-107.43919372558594	140	25	-77.22598266601562	1
68	203	39	-203.51080322265625	203	39	-144.43240356445312	1
69	129	25	-148.78662109375	129	25	-103.402587890625	0
70	260	44	-154.89649963378906	260	44	-111.01770782470703	1
71	100	19	-72.33915710449219	100	19	-55.656375885009766	1
72	125	22	-116.83418273925781	125	22	-93.34061431884766	0
73	140	28	-156.5228271484375	140	28	-115.77862548828125	1
74	153	26	-116.84680938720703	153	26	-79.9798355102539	0
75	125	24	-120.85954284667969	125	24	-71.73199462890625	1
76	62	13	-82.13874053955078	62	13	-58.977210998535156	1
77	49	12	-54.52320861816406	49	12	-44.53474807739258	1
78	104	21	-82.54312896728516	104	21	-62.24327087402344	1
79	53	11	-67.15778350830078	53	11	-27.878192901611328	0
80	129	26	-126.99048614501953	129	26	-88.30364227294922	1
81	160	24	-78.66394805908203	160	24	-70.42312622070312	1
82	146	26	-135.41529846191406	146	26	-107.357421875	0
83	101	20	-96.1521224975586	101	20	-67.35828399658203	1
84	136	24	-132.0488739013672	136	24	-97.5032730102539	1
85	141	31	-116.43064880371094	141	31	-86.6181640625	0
86	62	14	-75.61294555664062	62	14	-60.72880172729492	0
87	63	13	-74.71090698242188	63	13	-45.789791107177734	0
88	95	18	-78.39220428466797	95	18	-70.04893493652344	1
89	94	19	-96.43973541259766	94	19	-72.61630249023438	1
90	107	22	-113.81477355957031	107	22	-91.8647232055664	0
91	103	18	-107.66433715820312	103	18	-66.44187927246094	1
92	120	26	-124.14603424072266	120	26	-98.74581146240234	0
93	290	60	-261.44512939453125	290	60	-204.59742736816406	1
94	100	17	-74.81918334960938	100	17	-65.101318359375	0
95	52	10	-47.62724685668945	52	10	-35.56616973876953	0
96	212	41	-177.1584014892578	212	41	-142.29055786132812	1
97	49	10	-47.857025146484375	49	10	-36.517276763916016	1
98	96	19	-92.20259094238281	96	19	-48.265296936035156	1
99	77	16	-105.2391357421875	77	16	-74.53230285644531	1
0	52	11	-68.8941650390625	52	11	-56.336585998535156	0
1	37	10	-51.36363220214844	37	10	-37.72868347167969	1
2	61	17	-57.18472671508789	61	17	-44.63418197631836	0
3	62	15	-87.59790802001953	62	15	-62.829322814941406	1
4	53	13	-67.28814697265625	53	13	-51.447181701660156	0
5	44	10	-66.4576644897461	44	10	-61.31944274902344	0
6	69	15	-68.50311279296875	69	15	-51.186561584472656	0
7	90	18	-115.00170135498047	90	18	-104.95890808105469	0
8	69	16	-72.91146850585938	69	16	-55.8104133605957	1
9	70	15	-86.21420288085938	70	15	-69.09652709960938	0
10	65	13	-75.06641387939453	65	13	-58.61865997314453	1
11	65	12	-73.57451629638672	65	12	-54.88179397583008	1
12	74	17	-82.5172119140625	74	17	-58.634700775146484	0
13	66	12	-90.9374771118164	66	12	-64.46392822265625	0
14	133	27	-120.18134307861328	133	27	-82.76875305175781	1
15	50	9	-68.40596771240234	50	9	-62.75787353515625	0
16	104	19	-102.89036560058594	104	19	-86.14431762695312	0
17	91	21	-86.68035888671875	91	21	-67.23995971679688	0
18	98	20	-111.1324691772461	98	20	-94.51675415039062	0
19	82	17	-103.28340148925781	82	17	-94.15605163574219	0
20	70	16	-97.78410339355469	70	16	-92.0731430053711	0
21	146	31	-182.1757049560547	146	31	-140.87254333496094	0
22	162	28	-161.88937377929688	162	28	-153.15679931640625	0
23	95	24	-150.48910522460938	95	24	-131.8828582763672	0
24	29	8	-51.9669075012207	29	8	-36.8006706237793	0
25	97	24	-78.95406341552734	97	24	-59.99668502807617	1
26	93	18	-94.9647445678711	93	18	-71.20692443847656	0
27	114	17	-115.9716796875	114	17	-110.13970184326172	0
28	63	13	-85.73440551757812	63	13	-70.688720703125	1
29	143	25	-132.6501922607422	143	25	-121.60993957519531	1
30	135	26	-157.76168823242188	135	26	-136.6209259033203	0
31	77	15	-90.69442749023438	77	15	-82.8093490600586	0
32	120	24	-150.2071533203125	120	24	-129.29835510253906	0
33	178	31	-152.89242553710938	178	31	-138.9797821044922	0
34	167	33	-199.15843200683594	167	33	-169.75743103027344	0
35	151	31	-192.16673278808594	151	31	-137.33811950683594	1
36	141	26	-134.9361114501953	141	26	-126.63919830322266	0
37	70	12	-54.85969161987305	70	12	-54.85377502441406	1
38	87	19	-102.64346313476562	87	19	-68.9218978881836	0
39	155	31	-112.64480590820312	155	31	-90.50906372070312	1
40	111	27	-162.80039978027344	111	27	-124.15742492675781	0
41	118	23	-120.91649627685547	118	23	-107.23682403564453	0
