index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	12	-46.691993713378906	52	12	-26.487857818603516	1
1	37	11	-46.03460693359375	37	11	-24.102802276611328	1
2	61	18	-47.508846282958984	61	18	-34.44636535644531	1
3	62	16	-74.10127258300781	62	16	-39.41438293457031	1
4	53	14	-48.38036346435547	53	14	-32.106292724609375	1
5	44	11	-46.2429313659668	44	11	-31.455020904541016	1
6	69	16	-52.53154373168945	69	16	-34.30731201171875	1
7	90	20	-71.995361328125	90	20	-53.77836227416992	1
8	69	19	-61.498905181884766	69	19	-42.806087493896484	1
9	70	16	-57.09590530395508	70	16	-40.61770248413086	0
10	65	15	-55.23802947998047	65	15	-35.572120666503906	1
11	65	13	-62.22992706298828	65	13	-34.81201934814453	0
12	74	21	-77.2080307006836	74	21	-45.26503372192383	0
13	66	13	-63.53164291381836	66	13	-29.896778106689453	1
14	133	34	-113.83096313476562	133	34	-75.66192626953125	1
15	50	10	-43.69316101074219	50	10	-36.58509826660156	0
16	104	21	-75.02804565429688	104	21	-56.213897705078125	1
17	91	22	-69.40094757080078	91	22	-51.83712387084961	1
18	98	24	-87.04248809814453	98	24	-67.5525131225586	0
19	82	18	-76.22283935546875	82	18	-54.44925308227539	0
20	70	18	-67.17481231689453	70	18	-54.637413024902344	0
21	146	33	-140.9327392578125	146	33	-81.09586334228516	1
22	162	32	-100.88836669921875	162	32	-90.02587890625	1
23	95	29	-105.04881286621094	95	29	-78.00137329101562	1
24	29	10	-64.4375991821289	29	10	-44.1298828125	1
25	97	26	-68.74981689453125	97	26	-49.25296401977539	1
26	93	19	-76.84888458251953	93	19	-52.16108703613281	0
27	114	20	-73.3160171508789	114	20	-61.24848175048828	1
28	63	16	-64.6828842163086	63	16	-50.787513732910156	1
29	143	29	-88.28504180908203	143	29	-78.53861999511719	0
30	135	32	-111.8379135131836	135	32	-86.52629089355469	1
31	77	16	-69.59552001953125	77	16	-54.41032409667969	1
32	120	24	-108.44232177734375	120	24	-70.99903106689453	1
33	178	38	-115.69271850585938	178	38	-101.25211334228516	0
34	167	36	-145.6909942626953	167	36	-110.52104187011719	0
35	151	36	-163.8385467529297	151	36	-92.17733764648438	1
