index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	12	-41.569183349609375	52	12	-26.487857818603516	1
1	37	11	-37.46870803833008	37	11	-24.102802276611328	1
2	61	18	-46.78606414794922	61	18	-34.44636535644531	0
3	62	16	-75.74175262451172	62	16	-39.41438293457031	0
4	53	14	-49.86595153808594	53	14	-32.106292724609375	0
5	44	11	-43.560813903808594	44	11	-31.455020904541016	1
6	69	16	-51.788978576660156	69	16	-34.30731201171875	1
7	90	20	-68.1319351196289	90	20	-53.77836227416992	1
8	69	19	-60.009029388427734	69	19	-42.806087493896484	1
9	70	16	-54.67420196533203	70	16	-40.61770248413086	1
10	65	15	-64.73133850097656	65	15	-35.572120666503906	0
11	65	13	-68.25069427490234	65	13	-34.81201934814453	0
12	74	21	-81.04663848876953	74	21	-45.26503372192383	1
13	66	13	-62.65765380859375	66	13	-29.896778106689453	1
14	133	34	-110.85566711425781	133	34	-75.66192626953125	1
15	50	10	-47.16536331176758	50	10	-36.58509826660156	0
16	104	21	-72.99736785888672	104	21	-56.213897705078125	0
17	91	22	-72.69771575927734	91	22	-51.83712387084961	1
18	98	24	-90.62393188476562	98	24	-67.5525131225586	1
19	82	18	-85.5877685546875	82	18	-54.44925308227539	0
20	70	18	-67.43592834472656	70	18	-54.637413024902344	0
21	146	33	-147.66256713867188	146	33	-81.09586334228516	0
22	162	32	-105.38589477539062	162	32	-90.02587890625	0
23	95	29	-104.41655731201172	95	29	-78.00137329101562	0
24	29	10	-54.1016960144043	29	10	-44.1298828125	0
25	97	26	-59.96437072753906	97	26	-49.25296401977539	1
26	93	19	-80.33026123046875	93	19	-52.16108703613281	0
27	114	20	-80.84805297851562	114	20	-61.24848175048828	1
28	63	16	-63.74231719970703	63	16	-50.787513732910156	0
29	143	29	-91.6915512084961	143	29	-78.53861999511719	0
30	135	32	-100.35188293457031	135	32	-86.52629089355469	0
31	77	16	-74.24418640136719	77	16	-54.41032409667969	1
32	120	24	-105.50594329833984	120	24	-70.99903106689453	1
33	178	38	-119.29349517822266	178	38	-101.25211334228516	1
34	167	36	-135.46250915527344	167	36	-110.52104187011719	0
35	151	36	-147.9136199951172	151	36	-92.17733764648438	0
36	141	29	-88.35172271728516	141	29	-83.23876953125	0
37	70	15	-55.783077239990234	70	15	-35.653202056884766	1
38	87	21	-76.03202819824219	87	21	-52.46434783935547	0
39	155	36	-99.96267700195312	155	36	-67.22700500488281	0
40	111	28	-127.864990234375	111	28	-88.43778228759766	0
41	118	27	-96.64038848876953	118	27	-80.39952850341797	0
42	116	24	-88.12409210205078	116	24	-65.73139190673828	0
43	143	31	-113.57988739013672	143	31	-81.18196105957031	1
44	148	31	-141.91146850585938	148	31	-73.00980377197266	0
45	66	16	-52.52669906616211	66	16	-37.51624298095703	1
46	221	50	-166.64598083496094	221	50	-117.86180114746094	1
47	179	38	-123.51200866699219	179	38	-89.49186706542969	1
48	40	11	-44.57054138183594	40	11	-30.319931030273438	1
49	83	22	-64.56969451904297	83	22	-47.37077713012695	1
50	101	27	-86.78892517089844	101	27	-67.709716796875	0
51	100	22	-76.43592834472656	100	22	-63.276084899902344	0
52	161	35	-124.728271484375	161	35	-99.6169662475586	0
53	154	32	-122.31114196777344	154	32	-103.782470703125	0
54	128	30	-103.31412506103516	128	30	-46.309505462646484	1
55	80	16	-79.8059310913086	80	16	-46.31581497192383	1
56	95	24	-94.1667709350586	95	24	-81.11656188964844	1
57	134	32	-109.11859893798828	134	32	-84.08912658691406	1
58	86	22	-102.40348815917969	86	22	-68.72773742675781	0
59	169	40	-199.044921875	169	40	-114.88834381103516	0
60	46	12	-51.39769744873047	46	12	-41.38873291015625	1
61	51	15	-54.55078125	51	15	-37.935394287109375	1
62	42	11	-42.62013244628906	42	11	-29.03803062438965	0
63	83	20	-62.445068359375	83	20	-47.11981201171875	1
64	156	32	-144.1385955810547	156	32	-94.82017517089844	0
65	144	29	-106.91058349609375	144	29	-77.32567596435547	0
66	192	41	-135.16720581054688	192	41	-107.0641098022461	0
67	140	29	-101.239501953125	140	29	-77.22598266601562	0
68	203	46	-192.56591796875	203	46	-144.43240356445312	0
69	129	27	-153.50888061523438	129	27	-103.402587890625	1
70	260	49	-163.52903747558594	260	49	-111.01770782470703	0
71	100	25	-69.422607421875	100	25	-55.656375885009766	1
72	125	27	-106.82081604003906	125	27	-93.34061431884766	0
73	140	37	-154.93276977539062	140	37	-115.77862548828125	0
74	153	31	-114.1383056640625	153	31	-79.9798355102539	0
75	125	26	-129.6280975341797	125	26	-71.73199462890625	1
76	62	15	-72.86845397949219	62	15	-58.977210998535156	0
77	49	15	-53.382606506347656	49	15	-44.53474807739258	0
78	104	24	-77.32013702392578	104	24	-62.24327087402344	1
79	53	12	-69.4574203491211	53	12	-27.878192901611328	1
80	129	32	-136.8800811767578	129	32	-88.30364227294922	1
81	160	32	-86.68538665771484	160	32	-70.42312622070312	1
82	146	30	-134.71490478515625	146	30	-107.357421875	0
83	101	24	-93.64714813232422	101	24	-67.35828399658203	0
84	136	30	-127.22117614746094	136	30	-97.5032730102539	0
85	141	34	-121.89850616455078	141	34	-86.6181640625	0
86	62	17	-74.76130676269531	62	17	-60.72880172729492	0
87	63	14	-77.20565032958984	63	14	-45.789791107177734	1
88	95	22	-77.23927307128906	95	22	-70.04893493652344	0
89	94	29	-91.5103988647461	94	29	-72.61630249023438	1
90	107	25	-119.46171569824219	107	25	-91.8647232055664	0
91	103	22	-114.03007507324219	103	22	-66.44187927246094	0
92	120	32	-123.09700012207031	120	32	-98.74581146240234	0
93	290	72	-254.7168426513672	290	72	-204.59742736816406	0
94	100	22	-86.17566680908203	100	22	-65.101318359375	1
95	52	12	-53.30750274658203	52	12	-35.56616973876953	1
96	212	48	-178.146484375	212	48	-142.29055786132812	0
97	49	12	-53.87382507324219	49	12	-36.517276763916016	1
98	96	22	-86.30348205566406	96	22	-48.265296936035156	0
99	77	18	-105.80238342285156	77	18	-74.53230285644531	1
0	52	13	-60.80555725097656	52	13	-56.336585998535156	1
1	37	12	-48.635459899902344	37	12	-37.72868347167969	0
2	61	18	-56.1373176574707	61	18	-44.63418197631836	0
3	62	16	-93.52782440185547	62	16	-62.829322814941406	0
4	53	15	-69.01309204101562	53	15	-51.447181701660156	0
5	44	12	-67.2739486694336	44	12	-61.31944274902344	0
6	69	19	-69.80411529541016	69	19	-51.186561584472656	1
7	90	21	-116.01329040527344	90	21	-104.95890808105469	0
8	69	18	-71.50350952148438	69	18	-55.8104133605957	1
9	70	16	-82.2919921875	70	16	-69.09652709960938	0
10	65	16	-88.22235870361328	65	16	-58.61865997314453	0
11	65	15	-82.77888488769531	65	15	-54.88179397583008	0
12	74	19	-85.70796203613281	74	19	-58.634700775146484	1
13	66	18	-90.00101470947266	66	18	-64.46392822265625	0
14	133	34	-116.181640625	133	34	-82.76875305175781	1
15	50	15	-74.55303192138672	50	15	-62.75787353515625	0
16	104	24	-101.87848663330078	104	24	-86.14431762695312	1
17	91	24	-86.443359375	91	24	-67.23995971679688	1
18	98	24	-111.82445526123047	98	24	-94.51675415039062	0
19	82	19	-109.68444061279297	82	19	-94.15605163574219	0
20	70	21	-102.14491271972656	70	21	-92.0731430053711	0
21	146	39	-186.93043518066406	146	39	-140.87254333496094	0
22	162	33	-166.5535888671875	162	33	-153.15679931640625	0
23	95	33	-157.9586639404297	95	33	-131.8828582763672	0
24	29	10	-44.809207916259766	29	10	-36.8006706237793	0
25	97	28	-69.48678588867188	97	28	-59.99668502807617	0
26	93	20	-98.9333267211914	93	20	-71.20692443847656	0
