index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	12	-41.569183349609375	52	12	-26.487857818603516	1
1	37	11	-37.46870803833008	37	11	-24.102802276611328	0
2	61	18	-46.78606414794922	61	18	-34.44636535644531	0
3	62	16	-75.74175262451172	62	16	-39.41438293457031	0
4	53	14	-49.86595153808594	53	14	-32.106292724609375	0
5	44	11	-43.560813903808594	44	11	-31.455020904541016	1
6	69	16	-51.788978576660156	69	16	-34.30731201171875	0
7	90	19	-68.1319351196289	90	19	-53.77836227416992	1
8	69	17	-60.009029388427734	69	17	-42.806087493896484	0
9	70	16	-54.67420196533203	70	16	-40.61770248413086	0
10	65	14	-64.73133850097656	65	14	-35.572120666503906	0
11	65	13	-68.25069427490234	65	13	-34.81201934814453	1
12	74	18	-81.04663848876953	74	18	-45.26503372192383	1
13	66	13	-62.65765380859375	66	13	-29.896778106689453	0
14	133	28	-110.85566711425781	133	28	-75.66192626953125	1
15	50	10	-47.16536331176758	50	10	-36.58509826660156	0
16	104	20	-72.99736785888672	104	20	-56.213897705078125	0
17	91	22	-72.69771575927734	91	22	-51.83712387084961	0
18	98	21	-90.62393188476562	98	21	-67.5525131225586	0
19	82	18	-85.5877685546875	82	18	-54.44925308227539	0
20	70	17	-67.43592834472656	70	17	-54.637413024902344	1
21	146	32	-147.66256713867188	146	32	-81.09586334228516	0
22	162	29	-105.38589477539062	162	29	-90.02587890625	0
23	95	25	-104.41655731201172	95	25	-78.00137329101562	0
24	29	9	-54.1016960144043	29	9	-44.1298828125	1
25	97	25	-59.96437072753906	97	25	-49.25296401977539	0
26	93	19	-80.33026123046875	93	19	-52.16108703613281	0
27	114	18	-80.84805297851562	114	18	-61.24848175048828	0
28	63	14	-63.74231719970703	63	14	-50.787513732910156	0
29	143	26	-91.6915512084961	143	26	-78.53861999511719	0
30	135	27	-100.35188293457031	135	27	-86.52629089355469	0
31	77	16	-74.24418640136719	77	16	-54.41032409667969	0
32	120	23	-105.50594329833984	120	23	-70.99903106689453	0
33	178	32	-119.29349517822266	178	32	-101.25211334228516	1
34	167	34	-135.46250915527344	167	34	-110.52104187011719	0
35	151	32	-147.9136199951172	151	32	-92.17733764648438	0
36	141	27	-88.35172271728516	141	27	-83.23876953125	0
37	70	14	-55.783077239990234	70	14	-35.653202056884766	0
38	87	20	-76.03202819824219	87	20	-52.46434783935547	1
39	155	32	-99.96267700195312	155	32	-67.22700500488281	0
40	111	28	-127.864990234375	111	28	-88.43778228759766	0
41	118	24	-96.64038848876953	118	24	-80.39952850341797	0
42	116	22	-88.12409210205078	116	22	-65.73139190673828	1
43	143	26	-113.57988739013672	143	26	-81.18196105957031	0
44	148	31	-141.91146850585938	148	31	-73.00980377197266	0
45	66	15	-52.52669906616211	66	15	-37.51624298095703	0
46	221	45	-166.64598083496094	221	45	-117.86180114746094	1
47	179	36	-123.51200866699219	179	36	-89.49186706542969	0
48	40	11	-44.57054138183594	40	11	-30.319931030273438	1
49	83	22	-64.56969451904297	83	22	-47.37077713012695	0
50	101	23	-86.78892517089844	101	23	-67.709716796875	0
51	100	20	-76.43592834472656	100	20	-63.276084899902344	0
52	161	32	-124.728271484375	161	32	-99.6169662475586	1
53	154	28	-122.31114196777344	154	28	-103.782470703125	0
54	128	27	-103.31412506103516	128	27	-46.309505462646484	0
55	80	15	-79.8059310913086	80	15	-46.31581497192383	0
56	95	23	-94.1667709350586	95	23	-81.11656188964844	0
57	134	30	-109.11859893798828	134	30	-84.08912658691406	0
58	86	20	-102.40348815917969	86	20	-68.72773742675781	0
59	169	37	-199.044921875	169	37	-114.88834381103516	0
60	46	12	-51.39769744873047	46	12	-41.38873291015625	1
61	51	13	-54.55078125	51	13	-37.935394287109375	1
62	42	11	-42.62013244628906	42	11	-29.03803062438965	1
63	83	17	-62.445068359375	83	17	-47.11981201171875	0
64	156	28	-144.1385955810547	156	28	-94.82017517089844	0
65	144	29	-106.91058349609375	144	29	-77.32567596435547	0
66	192	37	-135.16720581054688	192	37	-107.0641098022461	0
67	140	26	-101.239501953125	140	26	-77.22598266601562	0
68	203	40	-192.56591796875	203	40	-144.43240356445312	0
69	129	26	-153.50888061523438	129	26	-103.402587890625	0
70	260	45	-163.52903747558594	260	45	-111.01770782470703	0
71	100	20	-69.422607421875	100	20	-55.656375885009766	0
72	125	23	-106.82081604003906	125	23	-93.34061431884766	0
73	140	29	-154.93276977539062	140	29	-115.77862548828125	1
74	153	27	-114.1383056640625	153	27	-79.9798355102539	0
75	125	25	-129.6280975341797	125	25	-71.73199462890625	0
76	62	14	-72.86845397949219	62	14	-58.977210998535156	0
77	49	13	-53.382606506347656	49	13	-44.53474807739258	0
