index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	52	11	-41.569183349609375	52	11	-26.487857818603516	0
1	37	10	-37.46870803833008	37	10	-24.102802276611328	0
2	61	17	-46.78606414794922	61	17	-34.44636535644531	1
3	62	15	-75.74175262451172	62	15	-39.41438293457031	0
4	53	13	-49.86595153808594	53	13	-32.106292724609375	0
5	44	10	-43.560813903808594	44	10	-31.455020904541016	0
6	69	15	-51.788978576660156	69	15	-34.30731201171875	1
7	90	18	-68.1319351196289	90	18	-53.77836227416992	0
8	69	16	-60.009029388427734	69	16	-42.806087493896484	0
9	70	15	-54.67420196533203	70	15	-40.61770248413086	0
10	65	13	-64.73133850097656	65	13	-35.572120666503906	0
11	65	12	-68.25069427490234	65	12	-34.81201934814453	0
12	74	17	-81.04663848876953	74	17	-45.26503372192383	1
13	66	12	-62.65765380859375	66	12	-29.896778106689453	0
14	133	27	-110.85566711425781	133	27	-75.66192626953125	0
15	50	9	-47.16536331176758	50	9	-36.58509826660156	0
16	104	19	-72.99736785888672	104	19	-56.213897705078125	0
17	91	21	-72.69771575927734	91	21	-51.83712387084961	0
18	98	20	-90.62393188476562	98	20	-67.5525131225586	1
19	82	17	-85.5877685546875	82	17	-54.44925308227539	0
20	70	16	-67.43592834472656	70	16	-54.637413024902344	0
21	146	31	-147.66256713867188	146	31	-81.09586334228516	0
22	162	28	-105.38589477539062	162	28	-90.02587890625	0
23	95	24	-104.41655731201172	95	24	-78.00137329101562	0
24	29	8	-54.1016960144043	29	8	-44.1298828125	0
25	97	24	-59.96437072753906	97	24	-49.25296401977539	0
26	93	18	-80.33026123046875	93	18	-52.16108703613281	1
27	114	17	-80.84805297851562	114	17	-61.24848175048828	0
28	63	13	-63.74231719970703	63	13	-50.787513732910156	0
29	143	25	-91.6915512084961	143	25	-78.53861999511719	0
30	135	26	-100.35188293457031	135	26	-86.52629089355469	0
31	77	15	-74.24418640136719	77	15	-54.41032409667969	1
32	120	22	-105.50594329833984	120	22	-70.99903106689453	0
33	178	31	-119.29349517822266	178	31	-101.25211334228516	0
34	167	33	-135.46250915527344	167	33	-110.52104187011719	0
35	151	31	-147.9136199951172	151	31	-92.17733764648438	0
36	141	26	-88.35172271728516	141	26	-83.23876953125	0
37	70	13	-55.783077239990234	70	13	-35.653202056884766	0
38	87	19	-76.03202819824219	87	19	-52.46434783935547	0
39	155	31	-99.96267700195312	155	31	-67.22700500488281	0
40	111	27	-127.864990234375	111	27	-88.43778228759766	0
41	118	23	-96.64038848876953	118	23	-80.39952850341797	0
42	116	21	-88.12409210205078	116	21	-65.73139190673828	0
43	143	25	-113.57988739013672	143	25	-81.18196105957031	0
44	148	30	-141.91146850585938	148	30	-73.00980377197266	0
45	66	14	-52.52669906616211	66	14	-37.51624298095703	0
46	221	44	-166.64598083496094	221	44	-117.86180114746094	0
47	179	35	-123.51200866699219	179	35	-89.49186706542969	0
48	40	10	-44.57054138183594	40	10	-30.319931030273438	0
49	83	21	-64.56969451904297	83	21	-47.37077713012695	0
50	101	22	-86.78892517089844	101	22	-67.709716796875	0
51	100	19	-76.43592834472656	100	19	-63.276084899902344	0
52	161	31	-124.728271484375	161	31	-99.6169662475586	0
53	154	27	-122.31114196777344	154	27	-103.782470703125	0
54	128	26	-103.31412506103516	128	26	-46.309505462646484	0
55	80	14	-79.8059310913086	80	14	-46.31581497192383	0
56	95	22	-94.1667709350586	95	22	-81.11656188964844	0
57	134	29	-109.11859893798828	134	29	-84.08912658691406	0
58	86	19	-102.40348815917969	86	19	-68.72773742675781	1
59	169	36	-199.044921875	169	36	-114.88834381103516	0
60	46	11	-51.39769744873047	46	11	-41.38873291015625	1
61	51	12	-54.55078125	51	12	-37.935394287109375	0
62	42	10	-42.62013244628906	42	10	-29.03803062438965	0
63	83	16	-62.445068359375	83	16	-47.11981201171875	0
64	156	27	-144.1385955810547	156	27	-94.82017517089844	0
65	144	28	-106.91058349609375	144	28	-77.32567596435547	0
66	192	36	-135.16720581054688	192	36	-107.0641098022461	0
67	140	25	-101.239501953125	140	25	-77.22598266601562	0
68	203	39	-192.56591796875	203	39	-144.43240356445312	0
69	129	25	-153.50888061523438	129	25	-103.402587890625	0
70	260	44	-163.52903747558594	260	44	-111.01770782470703	0
71	100	19	-69.422607421875	100	19	-55.656375885009766	0
72	125	22	-106.82081604003906	125	22	-93.34061431884766	0
73	140	28	-154.93276977539062	140	28	-115.77862548828125	1
74	153	26	-114.1383056640625	153	26	-79.9798355102539	0
75	125	24	-129.6280975341797	125	24	-71.73199462890625	0
76	62	13	-72.86845397949219	62	13	-58.977210998535156	0
77	49	12	-53.382606506347656	49	12	-44.53474807739258	1
78	104	21	-77.32013702392578	104	21	-62.24327087402344	1
79	53	11	-69.4574203491211	53	11	-27.878192901611328	0
80	129	26	-136.8800811767578	129	26	-88.30364227294922	0
81	160	24	-86.68538665771484	160	24	-70.42312622070312	1
82	146	26	-134.71490478515625	146	26	-107.357421875	0
83	101	20	-93.64714813232422	101	20	-67.35828399658203	0
84	136	24	-127.22117614746094	136	24	-97.5032730102539	0
85	141	31	-121.89850616455078	141	31	-86.6181640625	0
86	62	14	-74.76130676269531	62	14	-60.72880172729492	0
87	63	13	-77.20565032958984	63	13	-45.789791107177734	1
88	95	18	-77.23927307128906	95	18	-70.04893493652344	0
89	94	19	-91.5103988647461	94	19	-72.61630249023438	0
90	107	22	-119.46171569824219	107	22	-91.8647232055664	0
91	103	18	-114.03007507324219	103	18	-66.44187927246094	0
92	120	26	-123.09700012207031	120	26	-98.74581146240234	0
