sentence	n_characters	n_gpt4_tokens	gpt2_logprob
But this time, there may also be another reason.	48	11	-30.73094367980957
Ohg guvf gvzr, gurer znl nyfb or nabgure ernfba.	48	22	-146.233642578125
To this day, we continue to follow these principles.	52	11	-31.848703384399414
Gb guvf qnl, jr pbagvahr gb sbyybj gurfr cevapvcyrf.	52	26	-169.29574584960938
Well, it was not exactly planned from the beginning.	52	11	-29.13664436340332
Jryy, vg jnf abg rknpgyl cynaarq sebz gur ortvaavat.	52	25	-177.57162475585938
I think everyone has their own path, and they can make it happen.	65	15	-40.32637023925781
V guvax rirelbar unf gurve bja cngu, naq gurl pna znxr vg unccra.	65	31	-212.54148864746094
I will not give up even for a moment.	37	10	-26.78089141845703
V jvyy abg tvir hc rira sbe n zbzrag.	37	18	-130.51776123046875
Most of our readers are young people under 45.	46	11	-34.90399932861328
Zbfg bs bhe ernqref ner lbhat crbcyr haqre 45.	46	21	-154.7038116455078
It would just take a few steps to get it into the right hands.	62	15	-42.229698181152344
Vg jbhyq whfg gnxr n srj fgrcf gb trg vg vagb gur evtug unaqf.	62	29	-202.67198181152344
Well, if they don't come, so be it.	35	12	-26.098857879638672
Jryy, vs gurl qba'g pbzr, fb or vg.	35	19	-126.10889434814453
First, she just posted to her Instagram story.	46	10	-37.60206985473633
Svefg, fur whfg cbfgrq gb ure Vafgntenz fgbel.	46	22	-169.74757385253906
Because of this, their names were changed for security reasons.	63	12	-34.939510345458984
Orpnhfr bs guvf, gurve anzrf jrer punatrq sbe frphevgl ernfbaf.	63	27	-205.92050170898438
The group does not have ties to any political party; each member has her own political ideas.	93	19	-55.88397979736328
Gur tebhc qbrf abg unir gvrf gb nal cbyvgvpny cnegl; rnpu zrzore unf ure bja cbyvgvpny vqrnf.	93	42	-287.9958801269531
Hopefully, our work is not affected by politics or religion.	60	12	-41.86402893066406
Ubcrshyyl, bhe jbex vf abg nssrpgrq ol cbyvgvpf be eryvtvba.	60	30	-209.5302276611328
I think there are a lot of good ways to bring change.	53	13	-34.78181838989258
V guvax gurer ner n ybg bs tbbq jnlf gb oevat punatr.	53	24	-179.45587158203125
This is why I wanted to dedicate it to all women.	49	12	-39.390106201171875
Guvf vf jul V jnagrq gb qrqvpngr vg gb nyy jbzra.	49	23	-168.74737548828125
Society is divided into distinct groups with different opinions.	64	11	-32.32732391357422
Fbpvrgl vf qvivqrq vagb qvfgvapg tebhcf jvgu qvssrerag bcvavbaf.	64	35	-216.2633056640625
Are they now building a bridge of their own?	44	10	-34.95002365112305
Ner gurl abj ohvyqvat n oevqtr bs gurve bja?	44	21	-158.47218322753906
Therefore, it is possible that those whom we often criticize have an interest in our work.	90	18	-56.941795349121094
Gurersber, vg vf cbffvoyr gung gubfr jubz jr bsgra pevgvpvmr unir na vagrerfg va bhe jbex.	90	37	-279.4214172363281
